code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,winrate,pf,trades
138A.T,1,1.2,2.0,0.8,0.05,0.05,0.25,0.3,4
138A.T,1,1.2,2.0,1.0,0.02,0.02,0.2,0.19999999999999998,5
138A.T,1,1.2,2.0,1.0,0.02,0.05,0.25,0.3,4
138A.T,1,1.2,2.0,1.0,0.05,0.02,0.2,0.19999999999999998,5
138A.T,1,1.2,2.0,1.0,0.05,0.05,0.25,0.3,4
138A.T,2,0.8,1.5,0.6,0.02,0.02,0.375,0.32000000000000006,8
138A.T,2,0.8,1.5,0.6,0.02,0.05,0.5,0.5333333333333334,6
138A.T,2,0.8,1.5,0.6,0.05,0.02,0.375,0.32000000000000006,8
138A.T,2,0.8,1.5,0.6,0.05,0.05,0.5,0.5333333333333334,6
138A.T,2,0.8,1.5,0.8,0.02,0.02,0.2857142857142857,0.21333333333333335,7
138A.T,2,0.8,1.5,0.8,0.02,0.05,0.4,0.35555555555555557,5
138A.T,2,0.8,1.5,0.8,0.05,0.02,0.2857142857142857,0.21333333333333335,7
138A.T,2,0.8,1.5,0.8,0.05,0.05,0.4,0.35555555555555557,5
138A.T,2,0.8,1.5,1.0,0.02,0.02,0.2,0.13333333333333333,5
138A.T,2,0.8,1.5,1.0,0.02,0.05,0.25,0.17777777777777778,4
138A.T,2,0.8,1.5,1.0,0.05,0.02,0.2,0.13333333333333333,5
138A.T,2,0.8,1.5,1.0,0.05,0.05,0.25,0.17777777777777778,4
138A.T,2,0.8,2.0,0.6,0.02,0.02,0.375,0.24000000000000005,8
138A.T,2,0.8,2.0,0.6,0.02,0.05,0.5,0.4000000000000001,6
138A.T,2,0.8,2.0,0.6,0.05,0.02,0.375,0.24000000000000005,8
138A.T,2,0.8,2.0,0.6,0.05,0.05,0.5,0.4000000000000001,6
138A.T,2,0.8,2.0,0.8,0.02,0.02,0.2857142857142857,0.16,7
138A.T,2,0.8,2.0,0.8,0.02,0.05,0.4,0.26666666666666666,5
138A.T,2,0.8,2.0,0.8,0.05,0.02,0.2857142857142857,0.16,7
138A.T,2,0.8,2.0,0.8,0.05,0.05,0.4,0.26666666666666666,5
138A.T,2,0.8,2.0,1.0,0.02,0.02,0.2,0.1,5
138A.T,2,0.8,2.0,1.0,0.02,0.05,0.25,0.13333333333333333,4
138A.T,2,0.8,2.0,1.0,0.05,0.02,0.2,0.1,5
138A.T,2,0.8,2.0,1.0,0.05,0.05,0.25,0.13333333333333333,4
