code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,TMAX,train_trades,train_winrate,train_pf,train_pf_eff,train_exp_bp,train_slices_pass,train_slices_total
215A.T,1,1.0,1.0,0.6,0.01,0.01,60,2,1.0,999.0,999.0,0.9992,0,2
3905.T,1,2.0,2.0,0.8,0.01,0.03,60,4,0.75,3.0,2.997600959616154,0.9992000000000001,0,2
5016.T,5,2.0,1.0,0.6,0.01,0.01,60,11,0.5454545454545454,2.4,2.397122302158273,0.6355636363636363,0,2
6301.T,5,1.0,1.0,0.4,0.01,0.01,60,1,1.0,999.0,999.0,0.9992,0,2
6954.T,8,2.0,2.0,0.4,0.01,0.01,60,9,0.4444444444444444,1.0,0.7993602558976408,-0.22302222222222234,0,2
7453.T,3,2.0,1.0,0.4,0.01,0.01,60,16,0.1875,0.46153846153846156,0.46098505810736035,-0.4382999999999999,0,2
8136.T,8,2.0,1.0,0.4,0.03,0.01,60,29,0.034482758620689655,0.07692307692307693,0.07134292565947242,-0.897351724137931,0,2
8630.T,1,2.0,1.0,0.4,0.01,0.01,60,8,0.5,2.0,1.997601918465228,0.4992000000000001,0,2
9432.T,1,2.0,1.5,0.4,0.01,0.01,60,30,0.36666666666666664,0.8627450980392157,0.7712097407698351,-0.21746666666666659,0,2
