code,mode,signal_mode,forward_trades,forward_winrate,forward_pf,forward_pf_eff,forward_exp_bp,forward_slices_pass,forward_slices_total
5105.T,coarse,full,3,0.3333333333333333,0.39999999999999997,0.3995202558635394,-0.6008000000000002,0,2
5108.T,coarse,full,9,0.2222222222222222,0.34285714285714286,0.3423546876784287,-0.5119111111111111,0,2
5246.T,coarse,full,0,0.0,0.0,0.0,0.0,0,2
5253.T,coarse,full,1,1.0,999.0,999.0,1.1992,0,2
5401.T,coarse,full,11,0.0,0.0,0.0,-1.5008,0,2
5406.T,coarse,full,3,0.0,0.0,0.0,-1.0008,0,2
5411.T,coarse,full,3,0.6666666666666666,999.0,1.1987205117952817,0.13253333333333328,0,2
5595.T,coarse,full,5,0.2,0.3,0.2995603517186251,-0.5608,0,2
5631.T,coarse,full,9,0.2222222222222222,0.25,0.2140857942537271,-1.2230222222222222,0,2
5706.T,coarse,full,6,0.6666666666666666,1.5,1.4986005597760896,0.33253333333333335,0,2
5711.T,coarse,full,7,0.14285714285714285,0.25,0.24966693312017055,-0.6436571428571428,0,2
5713.T,coarse,full,14,0.14285714285714285,0.15,0.12488337998134079,-1.5008,0,2
5724.T,coarse,full,1,0.0,0.0,0.0,-1.0008,0,2
5726.T,coarse,full,5,0.0,0.0,0.0,-1.0008,0,2
5801.T,coarse,full,5,0.6,2.25,2.2470023980815346,0.4992,0,2
5802.T,coarse,full,5,0.4,1.5,0.9986677324806824,-0.0007999999999998009,0,2
5803.T,coarse,full,8,0.5,1.5,1.4980015987210233,0.2492000000000001,1,2
5838.T,coarse,full,7,0.0,0.0,0.0,-1.0008,0,2
5991.T,coarse,full,1,0.0,0.0,0.0,-1.0008,0,2
6098.T,coarse,full,9,0.1111111111111111,0.10714285714285714,0.0936625349860056,-1.611911111111111,0,2
6141.T,coarse,full,0,0.0,0.0,0.0,0.0,0,2
6146.T,coarse,full,13,0.07692307692307693,0.13636363636363635,0.12483346656008527,-0.8084923076923076,0,2
6177.T,coarse,full,2,0.0,0.0,0.0,-1.0008,0,2
6178.T,coarse,full,7,0.2857142857142857,0.6,0.5992006394884093,-0.2865142857142857,0,2
6232.T,coarse,full,3,0.6666666666666666,3.0,2.9960031974420467,0.6658666666666667,0,2
6268.T,coarse,full,1,0.0,0.0,0.0,-1.0008,0,2
6301.T,coarse,full,6,0.3333333333333333,0.75,0.7490007993605117,-0.16746666666666665,0,2
6315.T,coarse,full,9,0.0,0.0,0.0,-1.0008,0,2
6323.T,coarse,full,6,0.6666666666666666,4.0,1.997867803837953,0.4992,1,2
6324.T,coarse,full,4,0.25,0.6,0.3994138022915002,-0.4507999999999999,0,2
6326.T,coarse,full,4,0.25,0.375,0.2497667599626816,-1.1258,0,2
