code,mode,signal_mode,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,TMAX,train_trades,train_winrate,train_pf,train_pf_eff,train_exp_bp,train_slices_pass,train_slices_total
9022.T,coarse,full,1,1.5,2.0,0.4,0.03,0.01,60,29,0.4482758620689655,0.609375,0.6088064774090365,-0.4318344827586206,0,2
9023.T,coarse,full,5,1.2,1.0,0.4,0.01,0.01,60,4,0.0,0.0,0.0,-1.0008,0,2
9024.T,coarse,full,5,1.5,1.5,0.8,0.01,0.01,60,8,0.625,5.0,1.6648898365316278,0.3742000000000001,0,2
9101.T,coarse,full,1,1.2,2.0,0.6,0.01,0.01,60,18,0.3333333333333333,0.3,0.29968012794882043,-0.9341333333333335,0,2
9104.T,coarse,full,1,1.5,1.5,0.4,0.01,0.01,60,33,0.30303030303030304,0.43478260869565216,0.4343190877908594,-0.5917090909090909,0,2
9107.T,coarse,full,1,1.5,2.0,0.4,0.03,0.01,60,26,0.19230769230769232,0.17857142857142858,0.17840482854477258,-1.3277230769230768,0,2
9143.T,coarse,full,1,1.2,1.0,0.4,0.01,0.01,60,0,0.0,0.0,0.0,0.0,0,2
9201.T,coarse,full,1,1.5,1.0,0.4,0.01,0.01,60,9,0.6666666666666666,3.0,2.9960031974420467,0.6658666666666667,0,2
9202.T,coarse,full,3,1.2,1.5,0.4,0.01,0.01,60,6,0.6666666666666666,1.5999999999999999,1.5980810234541576,0.2991999999999999,0,2
9432.T,coarse,full,1,1.5,1.5,0.6,0.01,0.01,60,23,0.30434782608695654,0.4666666666666667,0.43703358208955234,-0.5877565217391303,0,2
9433.T,coarse,full,1,1.5,1.5,0.4,0.05,0.01,60,20,0.3,0.46153846153846156,0.4281145293938471,-0.6008,0,2
9434.T,coarse,full,1,1.2,1.0,0.4,0.01,0.01,60,21,0.0,0.0,0.0,-1.0008,0,2
9501.T,coarse,full,5,1.2,1.0,0.4,0.01,0.01,60,18,0.3888888888888889,0.8400000000000001,0.7625172589201367,-0.14524444444444445,0,2
9502.T,coarse,full,1,1.5,1.5,0.4,0.01,0.01,60,4,0.75,999.0,2.99680170575693,0.7492000000000001,0,2
9503.T,coarse,full,1,1.5,1.5,0.4,0.03,0.01,60,10,0.1,0.14285714285714285,0.11099265576877519,-1.2007999999999999,0,2
9504.T,coarse,full,3,1.2,1.0,0.4,0.01,0.01,60,2,0.0,0.0,0.0,-1.0008,0,2
9509.T,coarse,full,5,1.2,1.0,0.6,0.01,0.05,60,5,0.2,0.39999999999999997,0.2995603517186251,-0.5608,0,2
9513.T,coarse,full,1,1.2,1.0,0.4,0.01,0.01,60,0,0.0,0.0,0.0,0.0,0,2
9602.T,coarse,full,3,1.2,2.0,0.4,0.05,0.01,60,2,1.0,999.0,999.0,1.1992,0,2
9697.T,coarse,full,3,1.5,1.0,0.4,0.01,0.03,60,10,0.3,0.9,0.6420006851661529,-0.25079999999999986,0,2
9831.T,coarse,full,1,1.2,1.0,0.4,0.01,0.01,60,6,0.0,0.0,0.0,-1.0008,0,2
9843.T,coarse,full,5,1.5,1.5,1.0,0.01,0.05,60,9,0.4444444444444444,0.8,0.7991471215351812,-0.16746666666666665,0,2
9861.T,coarse,full,3,1.2,1.0,0.4,0.01,0.01,60,4,0.0,0.0,0.0,-1.0008,0,2
9962.T,coarse,full,3,1.2,1.5,0.4,0.01,0.01,60,2,0.5,999.0,0.799040511727079,-0.15079999999999993,0,2
9983.T,coarse,full,3,1.5,2.0,0.4,0.01,0.01,60,27,0.25925925925925924,0.2625,0.2622550979608157,-1.0933925925925925,0,2
9984.T,coarse,full,1,1.2,1.5,0.4,0.01,0.03,60,24,0.25,0.3,0.26634683724235964,-0.8257999999999999,0,2
