Ticker,count,mean,sum
6146.T,777,23.871299871299872,18548.0
8035.T,718,18.577994428969358,13339.0
7532.T,802,11.140373979601783,8934.57993164063
9984.T,771,10.309987029831388,7949.0
7735.T,797,5.558343789209536,4430.0
6920.T,800,4.36625,3493.0
4062.T,771,4.520363164721153,3485.200000000009
7013.T,746,4.1544988637315665,3099.256152343749
5801.T,778,2.6573264781491046,2067.4000000000033
3110.T,713,2.673211781206171,1906.0
7974.T,759,2.3530961791831357,1786.0
5803.T,731,1.9712722298221614,1441.0
5706.T,773,1.7637774902975416,1363.3999999999996
7003.T,724,1.5290055248618784,1107.0
8473.T,796,1.3698492462311564,1090.4000000000005
6323.T,779,1.2353016688061575,962.2999999999968
6857.T,792,1.1477272727272727,909.0
3853.T,758,1.1828496042216343,896.5999999999988
8015.T,784,1.1204081632653091,878.4000000000024
7453.T,821,1.0119366626065776,830.8000000000002
4661.T,763,1.0744429882044504,819.7999999999956
2413.T,809,0.9760197775030873,789.5999999999976
6976.T,792,0.9808080808080862,776.8000000000043
5802.T,819,0.9145299145299156,749.0000000000009
6594.T,790,0.933924050632914,737.800000000002
5016.T,750,0.9744000000000029,730.8000000000022
4704.T,815,0.8903067484662681,725.6000000000085
9843.T,704,0.996875000000001,701.8000000000006
7012.T,795,0.8392452830188757,667.2000000000062
6361.T,795,0.834465408805031,663.3999999999996
9101.T,780,0.7966666666666662,621.3999999999996
6501.T,776,0.7876288659793719,611.1999999999925
6702.T,768,0.7895833333333299,606.3999999999974
5713.T,830,0.7134939759035978,592.1999999999862
5726.T,769,0.7615084525357718,585.6000000000085
8591.T,785,0.7054777070063656,553.799999999997
8725.T,757,0.7260237780713311,549.5999999999976
6701.T,797,0.6860727728983657,546.7999999999975
9022.T,839,0.6436233611442171,539.9999999999982
4519.T,793,0.6703656998738867,531.5999999999922
6988.T,808,0.6561881188118759,530.1999999999957
8001.T,838,0.5952267303102639,498.8000000000011
8630.T,818,0.6056234718826334,495.3999999999942
7731.T,785,0.62891719745223,493.7000000000005
4385.T,838,0.5563245823389051,466.20000000000255
1802.T,799,0.5533166458072556,442.0999999999972
6723.T,800,0.5496249999999978,439.6999999999982
6506.T,714,0.6151260504201691,439.2000000000007
4751.T,749,0.5831775700934564,436.7999999999988
4506.T,800,0.5430000000000009,434.4000000000008
7733.T,833,0.5175270108043205,431.099999999999
9201.T,739,0.5822733423545297,430.29999999999745
5108.T,768,0.5578124999999972,428.3999999999978
8697.T,735,0.5704761904761919,419.3000000000011
8031.T,765,0.5424836601307124,414.999999999995
4901.T,741,0.5592442645074244,414.40000000000146
9503.T,851,0.48695652173912735,414.39999999999736
8267.T,757,0.536063408190223,405.7999999999988
9021.T,720,0.5536111111111072,398.5999999999972
6301.T,817,0.48372093023256124,395.20000000000255
6965.T,836,0.4633971291866027,387.39999999999986
6098.T,788,0.48908629441623397,385.39999999999236
3436.T,771,0.4932555123216613,380.30000000000086
7269.T,859,0.4423748544819497,379.99999999999477
8802.T,840,0.44523809523809305,373.9999999999982
7270.T,760,0.48947368421052573,371.99999999999955
6963.T,777,0.47129987129987194,366.2000000000005
9697.T,785,0.46012738853503915,361.20000000000573
9020.T,814,0.4427518427518384,360.39999999999645
7832.T,851,0.42303172737955985,360.00000000000546
8309.T,799,0.44180225281602004,353.0
4452.T,811,0.42589395807644276,345.3999999999951
3038.T,782,0.43631713554987306,341.2000000000007
9104.T,726,0.45454545454544953,329.99999999999636
8766.T,815,0.3916564417177778,319.1999999999889
4502.T,784,0.3987244897959084,312.5999999999922
4063.T,820,0.3807317073170685,312.1999999999962
8801.T,761,0.4099868593955328,312.00000000000045
8795.T,758,0.40791556728231504,309.1999999999948
3697.T,757,0.3947159841479515,298.7999999999993
1911.T,833,0.3551020408163259,295.7999999999995
6326.T,804,0.3470149253731326,278.99999999999864
3656.T,564,0.48014184397163034,270.7999999999995
4568.T,741,0.35951417004048597,266.4000000000001
6752.T,777,0.33951093951093797,263.7999999999988
7261.T,763,0.34456094364351303,262.90000000000043
2914.T,748,0.3347593582887611,250.39999999999327
8308.T,809,0.30593325092706847,247.4999999999984
9009.T,784,0.312882653061223,245.29999999999882
1605.T,787,0.30889453621347046,243.10000000000127
6503.T,713,0.3405329593267853,242.7999999999979
3231.T,787,0.30254075318158485,238.0995727539073
2802.T,817,0.28739290085677777,234.79999999998745
6869.T,759,0.3028985507246372,229.89999999999964
9502.T,741,0.3079622132253727,228.20000000000118
9202.T,782,0.29066496163683064,227.30000000000155
9508.T,789,0.2880861850443599,227.29999999999995
8053.T,778,0.2814910025706999,219.00000000000455
8058.T,759,0.2743083003952543,208.199999999998
9504.T,793,0.24877592570243617,197.2793090820319
4446.T,149,1.323489932885904,197.1999999999997
9433.T,779,0.25186136071886955,196.19999999999936
8316.T,776,0.24587628865978525,190.79999999999336
2267.T,767,0.2389830508474484,183.2999999999929
6971.T,728,0.2501373626373653,182.10000000000196
5535.T,559,0.32558139534883906,182.00000000000102
3382.T,766,0.23759791122715435,182.00000000000023
5991.T,754,0.23474801061008138,177.00000000000136
5020.T,829,0.21232807081197289,176.01997070312552
8750.T,801,0.21647940074905953,173.39999999999668
2502.T,805,0.20757763975155127,167.09999999999877
4503.T,797,0.19786700125470177,157.69999999999732
8002.T,731,0.21422708618330916,156.599999999999
4528.T,774,0.1985788113695088,153.69999999999982
6178.T,803,0.18767123287671125,150.69999999999914
6954.T,781,0.19282970550575823,150.59999999999718
9509.T,751,0.19960053262316954,149.90000000000032
3003.T,719,0.20570236439499506,147.90000000000146
