plan_tag,tickers,combos,trades_total,exp_profit_total_mil,exp_profit_daily_mil,avg_drawdown_k,max_drawdown_k
AM0930_j-cross,3,3,15,0.3870469161814115,0.09676172904535288,0.0,0.0
AM0930_j-only,10,10,141,9.72551139852511,2.4313778496312777,79.10519717185193,462.53839672172387
AM15_j-cross,1,1,5,0.12047016849312304,0.03011754212328076,0.0,0.0
AM15_j-only,10,10,70,2.367236731088546,0.5918091827721365,0.0,0.0
PM1430_j-cross,3,3,57,1.8329792362980735,0.45824480907451837,127.4097968203108,250.95656584631084
