Ticker,SignalMode,session,plan_tag,forward_winrate,forward_pf_eff,forward_trades,forward_exp_boot_mean,AllocBudget,ExpectedPnL,SessionKey
8035.T,j-only,AM15,AM0945_j-only,1.0,999.0,22,33.68408448846183,550000.0,1852.6246468654006,AM0945::j-only
8035.T,j-only,AM15,AM1000_j-only,1.0,999.0,23,33.45243822656567,457920.42583842285,1531.8554758042487,AM1000::j-only
8035.T,j-cross,AM15,AM0945_j-cross,1.0,999.0,7,43.6848652434311,437994.95233312965,1913.3750469975796,AM0945::j-cross
5706.T,j-only,AM15,AM1000_j-only,1.0,999.0,20,42.16943924470991,436114.6912746884,1839.0711977433396,AM1000::j-only
8035.T,j-cross,AM15,AM0930_j-cross,1.0,999.0,5,22.848842029307665,408210.6539698669,932.7140747237863,AM0930::j-cross
6857.T,j-cross,AM15,AM0930_j-cross,1.0,999.0,3,56.68206646977735,390067.9582378728,2210.985793656944,AM0930::j-cross
4568.T,j-cross,AM15,AM0945_j-cross,1.0,999.0,3,5.891653362028868,279055.9325488442,164.4100823195499,AM0945::j-cross
5016.T,j-only,AM15,AM0930_j-only,1.0,999.0,15,24.003594638879864,216573.84779245246,519.8550851792496,AM0930::j-only
8035.T,j-only,AM15,AM0930_j-only,1.0,999.0,15,27.7807231956702,216573.84779245246,601.6578116943332,AM0930::j-only
5706.T,j-only,AM15,AM0930_j-only,1.0,999.0,14,46.06126421205953,212636.14146895334,979.4289493234327,AM0930::j-only
7012.T,j-only,AM15,AM0930_j-only,1.0,999.0,10,16.595729388179777,196885.3161749568,326.74554277457975,AM0930::j-only
1357.T,j-only,AM15,AM0930_j-only,1.0,999.0,17,8.754209307265784,177720.49037799076,155.58023709588457,AM0930::j-only
6146.T,j-only,AM15,AM0930_j-only,1.0,999.0,5,26.317257046245256,177196.7845574611,466.3333326966845,AM0930::j-only
5016.T,j-only,AM15,AM0945_j-only,0.875,4.1233120144635445,24,18.978582553397768,3983.8807626938924,7.56084099376793,AM0945::j-only
7012.T,j-only,AM15,AM0945_j-only,0.9473684210526316,4.769913632056371,19,9.24177149936948,3717.0348662512165,3.435198688908314,AM0945::j-only
4592.T,j-only,AM15,AM0945_j-only,0.6206896551724138,4.277217504470607,58,170.92304318177665,3664.3583209745007,62.63232755294271,AM0945::j-only
5016.T,j-only,AM15,AM1000_j-only,0.8918918918918919,6.395996240845236,37,29.114468861220065,3195.914256549568,9.304734610544166,AM1000::j-only
6526.T,j-only,AM15,AM1000_j-only,0.8953488372093024,3.807013314039936,86,17.04429164436124,1984.04096471819,3.3816572837016663,AM1000::j-only
6758.T,j-only,AM15,AM0930_j-only,0.9166666666666666,10.26254718164731,12,18.87786668003668,1928.180934711532,3.639994262047281,AM0930::j-only
6723.T,j-cross,AM15,AM0945_j-cross,0.6666666666666666,6.612949236730714,3,53.7547644272962,1768.3903845136028,9.505940853502446,AM0945::j-cross
6723.T,j-cross,AM15,AM0930_j-cross,0.6666666666666666,6.612949236730714,3,53.7547644272962,1721.3877922604263,9.25327952609827,AM0930::j-cross
8306.T,j-cross,AM15,AM0945_j-cross,0.6666666666666666,4.127397804767876,6,20.58468388240388,1180.724733512545,2.4304845391491305,AM0945::j-cross
4592.T,j-only,AM15,AM1000_j-only,0.4137931034482758,3.2589104219124736,87,97.37526600410044,784.9276656210543,7.643254023382776,AM1000::j-only
4592.T,j-only,AM15,AM0930_j-only,0.40625,4.210056514126937,32,188.3985770255628,485.39090102153784,9.144695505361351,AM0930::j-only
