code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,TMAX,train_trades,train_winrate,train_pf,train_pf_eff,train_exp_bp,train_slices_pass,train_slices_total
3436.T,5,1.5,1.0,0.6,0.02,0.02,60,17,0.11764705882352941,0.2,0.19973354649613645,-0.7066823529411763,0,2
3563.T,5,1.5,1.0,0.6,0.05,0.02,60,20,0.2,0.375,0.37450039968025584,-0.5007999999999999,0,2
3635.T,1,1.2,1.0,0.6,0.02,0.02,60,2,0.0,0.0,0.0,-1.0008,0,2
3647.T,1,1.2,1.0,0.6,0.02,0.02,60,0,0.0,0.0,0.0,0.0,0,2
3687.T,1,1.5,1.0,0.6,0.02,0.02,60,2,0.5,999.0,1.4980015987210233,0.2492000000000001,0,2
3692.T,1,1.2,2.0,0.6,0.05,0.02,60,12,0.4166666666666667,0.42857142857142855,0.4281144684983151,-0.6674666666666664,0,2
3697.T,5,1.2,1.0,0.6,0.02,0.02,60,6,0.0,0.0,0.0,-1.0008,0,2
3861.T,3,1.2,1.0,0.6,0.02,0.02,60,7,0.0,0.0,0.0,-1.0008,0,2
3905.T,1,1.5,2.0,0.6,0.02,0.05,60,13,0.3076923076923077,0.375,0.3330223466169088,-0.923876923076923,0,2
4004.T,1,1.5,1.0,0.6,0.05,0.02,60,15,0.26666666666666666,0.75,0.544727854080372,-0.33413333333333334,0,2
4005.T,1,1.5,2.0,0.6,0.02,0.02,60,8,0.25,0.25,0.2497667599626816,-1.1258,0,2
402A.T,1,1.5,1.0,0.6,0.02,0.02,60,8,0.25,0.6,0.49933386624034115,-0.3757999999999999,0,2
4042.T,5,1.2,1.0,0.6,0.02,0.02,60,0,0.0,0.0,0.0,0.0,0,2
4043.T,1,1.2,1.0,0.6,0.02,0.02,60,2,0.0,0.0,0.0,-1.0008,0,2
4062.T,1,1.5,1.0,0.6,0.02,0.02,60,16,0.125,0.21428571428571427,0.21400022838871763,-0.6882999999999999,0,2
4063.T,1,1.5,2.0,0.6,0.02,0.02,60,24,0.3333333333333333,0.4,0.3746501399440224,-0.8341333333333334,0,2
4088.T,3,1.2,1.0,0.6,0.02,0.02,60,0,0.0,0.0,0.0,0.0,0,2
4182.T,3,1.2,1.0,0.6,0.02,0.02,60,1,0.0,0.0,0.0,-1.0008,0,2
4188.T,5,1.2,1.0,0.6,0.02,0.02,60,4,0.0,0.0,0.0,-1.0008,0,2
4204.T,1,1.5,2.0,0.6,0.02,0.02,60,4,0.5,999.0,0.7493002798880448,-0.2507999999999999,0,2
423A.T,1,1.2,1.0,0.6,0.02,0.02,60,0,0.0,0.0,0.0,0.0,0,2
4307.T,5,1.5,2.0,0.6,0.02,0.02,60,10,0.2,0.21428571428571427,0.18732506997201123,-1.3008,0,2
4385.T,1,1.5,1.0,0.6,0.02,0.02,60,11,0.09090909090909091,0.15,0.14980015987210235,-0.7735272727272726,0,2
4446.T,1,1.5,1.0,0.6,0.02,0.02,60,4,0.25,0.75,0.49933386624034115,-0.3757999999999999,0,2
4452.T,5,1.5,2.0,1.0,0.02,0.02,60,3,0.6666666666666666,1.5,1.4986005597760896,0.33253333333333335,0,2
4502.T,1,1.5,2.0,0.6,0.02,0.05,60,18,0.4444444444444444,0.6666666666666666,0.5994402239104357,-0.44524444444444455,0,2
4503.T,1,1.5,2.0,0.6,0.02,0.02,60,17,0.35294117647058826,0.4090909090909091,0.40870924357529725,-0.7655058823529409,0,2
4506.T,3,1.5,1.0,0.6,0.02,0.05,60,5,0.4,1.0,0.9986677324806824,-0.0007999999999998009,0,2
4507.T,1,1.5,1.0,0.6,0.02,0.02,60,4,0.5,1.5,1.4980015987210233,0.2492000000000001,0,2
4519.T,1,1.5,1.0,0.6,0.02,0.02,60,25,0.16,0.3,0.2853336378516235,-0.6007999999999998,0,2
4523.T,1,1.5,1.0,0.6,0.02,0.02,60,8,0.5,2.0,1.4980015987210233,0.2492000000000001,0,2
4528.T,1,1.2,1.0,0.6,0.02,0.02,60,0,0.0,0.0,0.0,0.0,0,2
4543.T,5,1.5,2.0,0.6,0.02,0.05,60,16,0.5,0.75,0.7493002798880448,-0.2507999999999999,0,2
4568.T,1,1.5,1.0,0.6,0.05,0.02,60,14,0.21428571428571427,0.4090909090909091,0.4085458905602791,-0.46508571428571416,0,2
4571.T,1,1.2,1.0,0.6,0.02,0.02,60,3,0.0,0.0,0.0,-1.0008,0,2
4578.T,1,1.2,1.0,1.0,0.02,0.02,60,4,0.5,1.2,1.1982414068745006,0.09920000000000007,0,2
4588.T,1,1.2,1.0,0.6,0.02,0.02,60,0,0.0,0.0,0.0,0.0,0,2
4592.T,1,1.5,1.0,0.6,0.02,0.02,60,21,0.19047619047619047,0.42857142857142855,0.35247096440494663,-0.5246095238095239,0,2
4612.T,1,1.2,1.0,0.6,0.02,0.02,60,0,0.0,0.0,0.0,0.0,0,2
4661.T,1,1.5,2.0,1.0,0.02,0.02,60,13,0.23076923076923078,0.225,0.2247900839664135,-1.193107692307692,0,2
4680.T,1,1.2,2.0,0.6,0.02,0.02,60,5,0.4,1.2,0.39957350393176067,-0.7207999999999999,0,2
4689.T,1,1.5,1.0,0.6,0.02,0.02,60,9,0.3333333333333333,0.75,0.7490007993605117,-0.16746666666666665,0,2
4704.T,5,1.5,1.0,0.6,0.02,0.05,60,4,0.5,1.5,1.4980015987210233,0.2492000000000001,0,2
4732.T,3,1.2,1.0,0.6,0.02,0.02,60,1,1.0,999.0,999.0,1.1992,0,2
4751.T,1,1.2,1.0,0.6,0.02,0.02,60,2,0.0,0.0,0.0,-1.0008,0,2
4755.T,1,1.5,2.0,0.6,0.02,0.02,60,18,0.2222222222222222,0.21428571428571427,0.2140857942537271,-1.2230222222222222,0,2
4814.T,1,1.2,1.0,0.6,0.02,0.02,60,0,0.0,0.0,0.0,0.0,0,2
