code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,TMAX,train_trades,train_winrate,train_pf,train_pf_eff,train_exp_bp,train_slices_pass,train_slices_total
6594.T,1,1.5,2.0,0.6,0.05,0.02,60,14,0.2857142857142857,0.3333333333333333,0.2997201119552179,-1.0008,0,2
6701.T,1,1.5,1.0,0.6,0.02,0.05,60,14,0.14285714285714285,0.2727272727272727,0.24966693312017055,-0.6436571428571428,0,2
6702.T,1,1.2,1.0,0.6,0.02,0.02,60,6,0.0,0.0,0.0,-1.0008,0,2
6723.T,1,1.5,2.0,0.6,0.05,0.02,60,19,0.2631578947368421,0.26785714285714285,0.2676072428171588,-1.0797473684210528,0,2
6752.T,1,1.5,1.0,0.6,0.05,0.02,60,24,0.4583333333333333,1.2692307692307692,1.2675398143024041,0.14503333333333335,0,2
6758.T,1,1.5,1.0,0.6,0.02,0.02,60,16,0.25,0.5,0.49933386624034115,-0.3757999999999999,0,2
6762.T,1,1.5,2.0,0.6,0.05,0.02,60,11,0.36363636363636365,0.42857142857142855,0.42817158850745424,-0.7280727272727271,0,2
6814.T,1,1.5,1.0,0.6,0.02,0.02,60,5,0.2,0.5,0.37450039968025584,-0.5007999999999999,0,2
6857.T,1,1.5,1.0,0.6,0.02,0.02,60,18,0.3888888888888889,0.9545454545454546,0.9532737446406511,-0.028577777777777813,0,2
6861.T,1,1.5,1.0,0.6,0.02,0.02,60,25,0.36,0.9,0.8426258992805755,-0.1008,0,2
6869.T,5,1.2,1.0,0.6,0.02,0.02,60,4,0.0,0.0,0.0,-1.0008,0,2
6871.T,1,1.2,1.0,0.6,0.02,0.02,60,10,0.0,0.0,0.0,-1.0008,0,2
6902.T,1,1.5,1.0,0.6,0.02,0.02,60,13,0.07692307692307693,0.125,0.12483346656008527,-0.8084923076923076,0,2
6920.T,3,1.5,1.0,0.6,0.02,0.02,60,18,0.05555555555555555,0.09375,0.08811774110123666,-0.8619111111111111,0,2
6954.T,1,1.5,1.0,0.6,0.05,0.05,60,22,0.22727272727272727,0.4411764705882353,0.44058870550618334,-0.43261818181818174,0,2
6963.T,1,1.5,1.0,0.6,0.02,0.05,60,18,0.1111111111111111,0.2,0.18725019984012792,-0.723022222222222,0,2
6965.T,1,1.5,1.0,0.6,0.02,0.02,60,6,0.6666666666666666,3.0,2.9960031974420467,0.6658666666666667,0,2
6971.T,5,1.5,1.0,0.6,0.05,0.05,60,2,0.5,1.5,1.4980015987210233,0.2492000000000001,0,2
6976.T,1,1.5,2.0,0.6,0.02,0.02,60,27,0.37037037037037035,0.5357142857142857,0.4407648705223793,-0.7045037037037037,0,2
6981.T,3,1.5,1.0,0.6,0.05,0.02,60,18,0.2222222222222222,0.42857142857142855,0.4280004567774352,-0.44524444444444444,0,2
6988.T,1,1.5,2.0,0.6,0.02,0.02,60,8,0.25,0.25,0.2497667599626816,-1.1258,0,2
7003.T,1,1.5,1.0,0.6,0.02,0.02,60,24,0.16666666666666666,0.3157894736842105,0.29960031974420465,-0.5841333333333333,0,2
7011.T,5,1.5,1.0,0.6,0.02,0.02,60,11,0.2727272727272727,0.5625,0.5617505995203838,-0.31898181818181814,0,2
7012.T,3,1.5,1.0,0.6,0.02,0.02,60,14,0.35714285714285715,1.0714285714285714,0.8322231104005686,-0.10794285714285701,0,2
7013.T,5,1.5,1.0,0.6,0.02,0.02,60,10,0.2,0.375,0.37450039968025584,-0.5007999999999999,0,2
7167.T,5,1.5,2.0,0.6,0.02,0.02,60,2,0.5,999.0,0.7493002798880448,-0.2507999999999999,0,2
7182.T,1,1.5,1.0,1.0,0.02,0.02,60,17,0.058823529411764705,0.1,0.09362509992006396,-0.8537411764705881,0,2
7186.T,1,1.2,1.0,0.6,0.02,0.02,60,6,0.3333333333333333,0.6,0.5991207034372502,-0.2674666666666667,0,2
7201.T,3,1.2,1.0,0.6,0.02,0.02,60,17,0.0,0.0,0.0,-1.0008,0,2
7202.T,5,1.2,1.0,1.0,0.05,0.02,60,1,1.0,999.0,999.0,1.1992,0,2
7203.T,3,1.5,2.0,0.6,0.02,0.05,60,14,0.14285714285714285,0.15,0.12488337998134079,-1.5008,0,2
7211.T,1,1.2,1.0,0.6,0.02,0.02,60,4,0.0,0.0,0.0,-1.0008,0,2
7261.T,1,1.5,1.0,0.6,0.02,0.02,60,10,0.1,0.16666666666666666,0.1664446220801137,-0.7507999999999999,0,2
7267.T,1,1.5,1.0,0.6,0.02,0.05,60,20,0.3,0.6428571428571429,0.6420006851661529,-0.25079999999999986,0,2
7269.T,1,1.5,2.0,0.6,0.02,0.02,60,11,0.2727272727272727,0.28125,0.28098760495801683,-1.0462545454545453,0,2
7270.T,1,1.5,1.0,0.6,0.02,0.05,60,9,0.1111111111111111,0.1875,0.18725019984012792,-0.723022222222222,0,2
7272.T,1,1.5,2.0,0.6,0.02,0.02,60,7,0.2857142857142857,1.5,0.2997201119552179,-1.0008,0,2
7453.T,1,1.5,1.0,0.6,0.05,0.05,60,15,0.26666666666666666,0.5454545454545454,0.544727854080372,-0.33413333333333334,0,2
7532.T,1,1.5,1.0,0.6,0.02,0.02,60,16,0.375,1.0,0.898800959232614,-0.06329999999999991,0,2
7711.T,5,1.5,1.0,0.6,0.02,0.02,60,10,0.3,0.9,0.6420006851661529,-0.25079999999999986,0,2
7731.T,1,1.2,1.0,0.6,0.02,0.02,60,0,0.0,0.0,0.0,0.0,0,2
7733.T,1,1.2,1.0,0.6,0.05,0.02,60,4,1.0,999.0,999.0,1.1992,0,2
7735.T,1,1.5,2.0,0.6,0.02,0.02,60,22,0.09090909090909091,0.075,0.07493002798880449,-1.6826181818181818,0,2
7741.T,1,1.2,1.0,0.6,0.02,0.02,60,27,0.2222222222222222,0.3428571428571428,0.3423546876784287,-0.5119111111111111,0,2
7751.T,1,1.5,1.0,0.6,0.02,0.02,60,22,0.4090909090909091,1.0384615384615385,1.0370780298837858,0.021927272727273017,0,2
7832.T,3,1.5,1.0,0.6,0.02,0.02,60,10,0.2,0.375,0.37450039968025584,-0.5007999999999999,0,2
7911.T,5,1.2,1.0,0.6,0.02,0.02,60,6,0.0,0.0,0.0,-1.0008,0,2
7912.T,1,1.2,1.0,0.6,0.02,0.02,60,1,0.0,0.0,0.0,-1.0008,0,2
7936.T,1,1.5,2.0,0.6,0.05,0.02,60,17,0.23529411764705882,0.25,0.23055393227324458,-1.1772705882352938,0,2
7974.T,1,1.5,1.0,0.6,0.02,0.02,60,14,0.2857142857142857,0.6,0.5992006394884093,-0.2865142857142857,0,2
8001.T,1,1.5,1.0,0.6,0.02,0.02,60,22,0.5,1.65,1.4980015987210233,0.2492000000000001,0,2
8002.T,1,1.5,1.0,1.0,0.02,0.02,60,5,0.2,0.375,0.37450039968025584,-0.5007999999999999,0,2
8015.T,3,1.2,1.0,0.6,0.02,0.02,60,2,0.0,0.0,0.0,-1.0008,0,2
8031.T,3,1.5,1.0,0.6,0.02,0.02,60,16,0.5,2.0,1.4980015987210233,0.2492000000000001,0,2
8035.T,1,1.2,1.0,0.6,0.02,0.02,60,18,0.0,0.0,0.0,-1.0008,0,2
8053.T,5,1.5,1.0,0.6,0.02,0.02,60,15,0.2,0.375,0.37450039968025584,-0.5007999999999999,0,2
8058.T,1,1.5,1.0,0.6,0.02,0.02,60,17,0.17647058823529413,0.32142857142857145,0.32100034258307647,-0.5596235294117646,0,2
8105.T,5,1.5,1.0,0.6,0.02,0.02,60,3,0.3333333333333333,1.5,0.7490007993605117,-0.16746666666666665,0,2
8113.T,1,1.5,1.0,0.6,0.02,0.02,60,4,0.5,1.5,1.4980015987210233,0.2492000000000001,0,2
8136.T,5,1.5,1.0,0.6,0.02,0.02,60,18,0.05555555555555555,0.09375,0.08811774110123666,-0.8619111111111111,0,2
8233.T,3,1.5,1.0,1.0,0.02,0.02,60,5,0.4,1.5,0.9986677324806824,-0.0007999999999998009,0,2
8267.T,1,1.5,2.0,0.6,0.02,0.02,60,19,0.21052631578947367,0.2,0.1998134079701453,-1.263957894736842,0,2
8306.T,1,1.5,1.0,0.6,0.02,0.02,60,20,0.15,0.2647058823529412,0.26435322330371,-0.6257999999999999,0,2
8308.T,1,1.5,1.0,0.6,0.02,0.02,60,11,0.36363636363636365,0.8571428571428571,0.8560009135548705,-0.09170909090909085,0,2
8309.T,1,1.5,2.0,0.6,0.02,0.02,60,15,0.13333333333333333,0.11538461538461539,0.11527696613662228,-1.5341333333333333,0,2
8316.T,1,1.5,2.0,0.6,0.05,0.02,60,18,0.2222222222222222,0.21428571428571427,0.2140857942537271,-1.2230222222222222,0,2
8331.T,1,1.5,1.0,0.6,0.02,0.02,60,3,0.6666666666666666,999.0,2.9960031974420467,0.6658666666666667,0,2
8411.T,5,1.5,1.0,0.6,0.02,0.02,60,14,0.2857142857142857,0.8571428571428571,0.5992006394884093,-0.2865142857142857,0,2
8473.T,1,1.5,1.0,0.6,0.02,0.02,60,13,0.07692307692307693,0.13636363636363635,0.12483346656008527,-0.8084923076923076,0,2
8591.T,1,1.5,2.0,0.6,0.02,0.02,60,18,0.3333333333333333,0.4090909090909091,0.3746501399440224,-0.8341333333333334,0,2
8601.T,1,1.5,1.0,0.6,0.02,0.02,60,7,0.14285714285714285,0.25,0.24966693312017055,-0.6436571428571428,0,2
8604.T,3,1.5,2.0,0.6,0.02,0.05,60,4,0.5,0.75,0.7493002798880448,-0.2507999999999999,0,2
8630.T,1,1.5,1.0,0.6,0.05,0.02,60,15,0.5333333333333333,1.7142857142857142,1.712001827109741,0.3325333333333334,0,2
8697.T,3,1.5,1.0,0.6,0.02,0.02,60,9,0.3333333333333333,0.9,0.7490007993605117,-0.16746666666666665,0,2
8725.T,5,1.5,1.0,1.0,0.02,0.02,60,7,0.2857142857142857,0.75,0.5992006394884093,-0.2865142857142857,0,2
8729.T,1,1.5,2.0,0.6,0.02,0.02,60,11,0.45454545454545453,0.625,0.624416899906704,-0.409890909090909,0,2
8750.T,1,1.5,1.0,0.6,0.05,0.02,60,19,0.2631578947368421,0.5357142857142857,0.535000570971794,-0.34290526315789477,0,2
8766.T,5,1.5,1.0,0.6,0.02,0.02,60,20,0.25,0.625,0.49933386624034115,-0.3757999999999999,0,2
8795.T,5,1.2,1.0,0.6,0.02,0.02,60,5,0.0,0.0,0.0,-1.0008,0,2
8801.T,1,1.2,1.0,0.6,0.02,0.05,60,17,0.17647058823529413,0.2571428571428571,0.2567660157588216,-0.6125647058823528,0,2
8802.T,1,1.5,1.0,0.6,0.02,0.05,60,14,0.14285714285714285,0.25,0.24966693312017055,-0.6436571428571428,0,2
8830.T,3,1.5,1.0,0.6,0.02,0.02,60,7,0.14285714285714285,0.3,0.24966693312017055,-0.6436571428571428,0,2
9020.T,1,1.2,1.0,1.0,0.05,0.02,60,15,0.2,0.3,0.2995603517186251,-0.5608,0,2
9021.T,1,1.2,1.0,0.6,0.02,0.02,60,5,0.0,0.0,0.0,-1.0008,0,2
9022.T,1,1.5,1.0,0.6,0.02,0.02,60,26,0.2692307692307692,0.5526315789473685,0.5518953258445876,-0.3277230769230769,0,2
9023.T,1,1.2,1.0,0.6,0.02,0.02,60,2,0.0,0.0,0.0,-1.0008,0,2
9024.T,5,1.2,1.0,0.6,0.02,0.02,60,7,0.8571428571428571,7.199999999999999,7.189448441247,0.8849142857142857,0,2
9101.T,1,1.2,2.0,0.6,0.02,0.02,60,18,0.3333333333333333,0.3,0.29968012794882043,-0.9341333333333335,0,2
9104.T,5,1.5,1.0,0.6,0.05,0.02,60,11,0.18181818181818182,0.3333333333333333,0.33288924416022747,-0.5462545454545453,0,2
9107.T,1,1.5,2.0,0.6,0.02,0.02,60,21,0.14285714285714285,0.125,0.12488337998134079,-1.5008,0,2
9143.T,5,1.2,1.0,0.6,0.02,0.02,60,1,0.0,0.0,0.0,-1.0008,0,2
9201.T,1,1.5,1.0,0.6,0.02,0.02,60,9,0.6666666666666666,3.0,2.9960031974420467,0.6658666666666667,0,2
9202.T,3,1.5,2.0,0.6,0.02,0.02,60,4,0.5,0.75,0.7493002798880448,-0.2507999999999999,0,2
9432.T,3,1.5,1.0,0.6,0.02,0.02,60,12,0.3333333333333333,0.75,0.7490007993605117,-0.16746666666666665,0,2
9433.T,1,1.5,1.0,1.0,0.05,0.02,60,9,0.4444444444444444,1.2,1.1984012789768186,0.11031111111111114,0,2
9434.T,1,1.2,1.0,0.6,0.02,0.02,60,21,0.0,0.0,0.0,-1.0008,0,2
9501.T,1,1.5,2.0,0.6,0.05,0.02,60,16,0.125,0.125,0.10704289712686355,-1.5633,0,2
9502.T,1,1.2,1.0,0.6,0.02,0.02,60,1,0.0,0.0,0.0,-1.0008,0,2
9503.T,1,1.5,1.0,0.6,0.02,0.02,60,10,0.0,0.0,0.0,-1.0008,0,2
9504.T,1,1.2,1.0,0.6,0.02,0.02,60,1,0.0,0.0,0.0,-1.0008,0,2
9509.T,5,1.5,2.0,0.6,0.02,0.02,60,9,0.2222222222222222,0.25,0.2140857942537271,-1.2230222222222222,0,2
9513.T,5,1.2,1.0,0.6,0.02,0.02,60,0,0.0,0.0,0.0,0.0,0,2
9602.T,1,1.5,1.0,0.6,0.02,0.02,60,8,0.25,0.75,0.49933386624034115,-0.3757999999999999,0,2
9697.T,1,1.5,2.0,0.6,0.02,0.02,60,11,0.18181818181818182,0.1875,0.1665111733084544,-1.3644363636363634,0,2
9831.T,1,1.2,1.0,0.6,0.02,0.02,60,6,0.0,0.0,0.0,-1.0008,0,2
9843.T,3,1.5,1.0,0.6,0.02,0.02,60,18,0.3333333333333333,0.75,0.7490007993605117,-0.16746666666666665,0,2
9861.T,3,1.2,1.0,0.6,0.02,0.02,60,4,0.0,0.0,0.0,-1.0008,0,2
9962.T,5,1.5,2.0,0.6,0.02,0.02,60,2,0.5,999.0,0.7493002798880448,-0.2507999999999999,0,2
9983.T,1,1.5,1.0,0.6,0.02,0.02,60,16,0.125,0.23076923076923078,0.21400022838871763,-0.6882999999999999,0,2
9984.T,1,1.2,1.0,0.6,0.02,0.02,60,21,0.19047619047619047,0.3,0.281939154558706,-0.5817523809523809,0,2
