[2025-11-01 09:55:27] Run started
[2025-11-01 09:55:27] Run type resolved to weekend
[2025-11-01 09:55:28] Codes limited via output\bt30\NIGHTLY_20251101\universe_amt_top_300_2025-10-31.csv: 300 tickers (was 20)
[2025-11-01 09:58:05] Fetching Yahoo Finance 1m bars for 300 tickers (lookback=60, chunk=5)
[2025-11-01 09:59:39] Entry window marks set: 251314 rows flagged out of 2955447
[2025-11-01 09:59:42] Liquidity filter q=0.50 kept 222 tickers and 1595369 rows
[2025-11-01 09:59:42] Using 5 rolling slices (train=12, forward=4)
[2025-11-01 09:59:42] Parameter grid size: 240 (mode=coarse, signal=j-cross)
[2025-11-01 10:09:23] [50/222] 3656.T: best train_pf_eff=999.000, forward_pf_eff=0.000, trades=6/0
[2025-11-01 10:10:10] [51/222] 402A.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-01 10:10:11] [52/222] 3905.T: best train_pf_eff=2.079, forward_pf_eff=0.636, trades=8/11
[2025-11-01 10:10:30] [53/222] 3436.T: best train_pf_eff=0.415, forward_pf_eff=0.383, trades=38/19
[2025-11-01 10:10:33] [54/222] 3382.T: best train_pf_eff=0.622, forward_pf_eff=0.532, trades=126/43
[2025-11-01 10:10:56] [55/222] 3697.T: best train_pf_eff=0.496, forward_pf_eff=999.000, trades=7/3
[2025-11-01 10:11:08] [56/222] 4005.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=9/3
[2025-11-01 10:11:26] [57/222] 4088.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-01 10:11:38] [58/222] 4188.T: best train_pf_eff=1.439, forward_pf_eff=1.439, trades=4/2
[2025-11-01 10:11:46] [59/222] 4004.T: best train_pf_eff=1.159, forward_pf_eff=3.709, trades=10/2
[2025-11-01 10:12:26] [60/222] 4446.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-01 10:13:07] [61/222] 4062.T: best train_pf_eff=0.000, forward_pf_eff=1.523, trades=4/3
[2025-11-01 10:14:17] [62/222] 4385.T: best train_pf_eff=0.826, forward_pf_eff=0.449, trades=57/25
[2025-11-01 10:14:24] [63/222] 4063.T: best train_pf_eff=0.798, forward_pf_eff=0.349, trades=93/17
[2025-11-01 10:14:25] [64/222] 4507.T: best train_pf_eff=0.421, forward_pf_eff=0.503, trades=8/6
[2025-11-01 10:14:51] [65/222] 4452.T: best train_pf_eff=2.407, forward_pf_eff=2.409, trades=48/20
[2025-11-01 10:15:06] [66/222] 4503.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=29/12
[2025-11-01 10:15:21] [67/222] 4506.T: best train_pf_eff=1.532, forward_pf_eff=3.612, trades=10/4
[2025-11-01 10:15:33] [68/222] 4502.T: best train_pf_eff=0.159, forward_pf_eff=0.247, trades=63/23
[2025-11-01 10:15:43] [69/222] 4528.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-01 10:16:01] [70/222] 4571.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-01 10:16:25] [71/222] 4586.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=6/3
[2025-11-01 10:16:53] [72/222] 4543.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=3/5
[2025-11-01 10:17:03] [73/222] 4519.T: best train_pf_eff=0.425, forward_pf_eff=0.291, trades=36/7
[2025-11-01 10:17:07] [74/222] 4592.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=5/4
[2025-11-01 10:17:12] [75/222] 4612.T: best train_pf_eff=5.610, forward_pf_eff=2.805, trades=7/4
[2025-11-01 10:17:18] [76/222] 4680.T: best train_pf_eff=0.000, forward_pf_eff=999.000, trades=0/1
[2025-11-01 10:18:10] [77/222] 4568.T: best train_pf_eff=0.499, forward_pf_eff=27.309, trades=36/12
[2025-11-01 10:19:17] [78/222] 4689.T: best train_pf_eff=0.612, forward_pf_eff=3.115, trades=12/5
[2025-11-01 10:19:41] [79/222] 4751.T: best train_pf_eff=4.655, forward_pf_eff=4.497, trades=5/6
[2025-11-01 10:19:51] [80/222] 4661.T: best train_pf_eff=0.854, forward_pf_eff=0.501, trades=47/24
[2025-11-01 10:20:08] [81/222] 4911.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=13/6
[2025-11-01 10:20:15] [82/222] 4901.T: best train_pf_eff=0.991, forward_pf_eff=1.321, trades=41/25
[2025-11-01 10:20:54] [83/222] 4755.T: best train_pf_eff=0.098, forward_pf_eff=3.327, trades=8/4
[2025-11-01 10:20:54] [84/222] 5076.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=2/2
[2025-11-01 10:21:07] [85/222] 5016.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=16/4
[2025-11-01 10:21:21] [86/222] 5020.T: best train_pf_eff=0.997, forward_pf_eff=2.393, trades=28/9
[2025-11-01 10:21:33] [87/222] 5406.T: best train_pf_eff=0.000, forward_pf_eff=999.000, trades=2/5
[2025-11-01 10:22:14] [88/222] 5595.T: best train_pf_eff=0.000, forward_pf_eff=999.000, trades=0/3
[2025-11-01 10:22:35] [89/222] 5411.T: best train_pf_eff=0.391, forward_pf_eff=0.124, trades=6/5
[2025-11-01 10:22:46] [90/222] 5711.T: best train_pf_eff=0.000, forward_pf_eff=999.000, trades=0/4
[2025-11-01 10:23:16] [91/222] 5108.T: best train_pf_eff=0.373, forward_pf_eff=0.180, trades=63/27
[2025-11-01 10:23:35] [92/222] 5401.T: best train_pf_eff=1.267, forward_pf_eff=1.867, trades=46/15
[2025-11-01 10:24:14] [93/222] 5706.T: best train_pf_eff=0.993, forward_pf_eff=999.000, trades=19/4
[2025-11-01 10:24:21] [94/222] 5726.T: best train_pf_eff=0.414, forward_pf_eff=0.316, trades=6/5
[2025-11-01 10:25:06] [95/222] 5713.T: best train_pf_eff=0.307, forward_pf_eff=0.196, trades=40/13
[2025-11-01 10:25:27] [96/222] 6177.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-01 10:26:08] [97/222] 5801.T: best train_pf_eff=0.942, forward_pf_eff=3.814, trades=20/10
[2025-11-01 10:26:31] [98/222] 5802.T: best train_pf_eff=1.593, forward_pf_eff=0.427, trades=38/13
[2025-11-01 10:26:39] [99/222] 6178.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=22/17
[2025-11-01 10:26:43] [100/222] 5803.T: best train_pf_eff=0.373, forward_pf_eff=0.597, trades=24/17
[2025-11-01 10:26:49] [101/222] 6268.T: best train_pf_eff=0.000, forward_pf_eff=1.469, trades=0/4
[2025-11-01 10:27:16] [102/222] 6098.T: best train_pf_eff=1.411, forward_pf_eff=2.110, trades=18/11
[2025-11-01 10:27:38] [103/222] 6146.T: best train_pf_eff=5.459, forward_pf_eff=2.444, trades=29/14
[2025-11-01 10:27:51] [104/222] 6324.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-01 10:27:57] [105/222] 6330.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-01 10:28:47] [106/222] 6301.T: best train_pf_eff=0.056, forward_pf_eff=999.000, trades=9/2
[2025-11-01 10:28:59] [107/222] 6479.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-01 10:29:02] [108/222] 6326.T: best train_pf_eff=2.278, forward_pf_eff=1.912, trades=13/10
[2025-11-01 10:29:04] [109/222] 6323.T: best train_pf_eff=3.772, forward_pf_eff=2.625, trades=26/12
[2025-11-01 10:29:30] [110/222] 6361.T: best train_pf_eff=1.580, forward_pf_eff=0.691, trades=16/7
[2025-11-01 10:29:32] [111/222] 6315.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=11/3
[2025-11-01 10:31:44] [112/222] 6501.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=21/4
[2025-11-01 10:31:50] [113/222] 6506.T: best train_pf_eff=5.400, forward_pf_eff=6.423, trades=23/9
[2025-11-01 10:32:10] [114/222] 6503.T: best train_pf_eff=1.363, forward_pf_eff=1.623, trades=21/7
[2025-11-01 10:33:14] [115/222] 6594.T: best train_pf_eff=1.331, forward_pf_eff=2.384, trades=46/22
[2025-11-01 10:33:15] [116/222] 6526.T: best train_pf_eff=2.433, forward_pf_eff=4.071, trades=48/15
[2025-11-01 10:33:26] [117/222] 6740.T: best train_pf_eff=0.000, forward_pf_eff=999.000, trades=0/1
[2025-11-01 10:33:28] [118/222] 6525.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=19/11
[2025-11-01 10:33:48] [119/222] 6702.T: best train_pf_eff=0.504, forward_pf_eff=2.381, trades=27/7
[2025-11-01 10:33:53] [120/222] 6701.T: best train_pf_eff=23.934, forward_pf_eff=3.004, trades=28/8
[2025-11-01 10:34:44] [121/222] 6814.T: best train_pf_eff=0.000, forward_pf_eff=999.000, trades=0/2
[2025-11-01 10:35:22] [122/222] 6869.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=3/3
[2025-11-01 10:35:49] [123/222] 6723.T: best train_pf_eff=1.429, forward_pf_eff=1.784, trades=40/16
[2025-11-01 10:36:05] [124/222] 6752.T: best train_pf_eff=0.634, forward_pf_eff=0.165, trades=45/19
[2025-11-01 10:37:07] [125/222] 6758.T: best train_pf_eff=5.033, forward_pf_eff=5.209, trades=38/9
[2025-11-01 10:37:12] [126/222] 6762.T: best train_pf_eff=1.231, forward_pf_eff=3.435, trades=33/14
[2025-11-01 10:37:42] [127/222] 6965.T: best train_pf_eff=0.000, forward_pf_eff=3.034, trades=0/4
[2025-11-01 10:37:48] [128/222] 6857.T: best train_pf_eff=18.547, forward_pf_eff=2.941, trades=19/8
[2025-11-01 10:37:56] [129/222] 6902.T: best train_pf_eff=0.831, forward_pf_eff=3.713, trades=63/30
[2025-11-01 10:38:23] [130/222] 6920.T: best train_pf_eff=0.714, forward_pf_eff=2.781, trades=36/8
[2025-11-01 10:39:09] [131/222] 6971.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=7/4
[2025-11-01 10:39:09] [132/222] 6954.T: best train_pf_eff=1.270, forward_pf_eff=0.799, trades=68/28
[2025-11-01 10:39:15] [133/222] 6963.T: best train_pf_eff=1.426, forward_pf_eff=1.352, trades=25/5
[2025-11-01 10:39:23] [134/222] 6976.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=5/3
[2025-11-01 10:40:37] [135/222] 6988.T: best train_pf_eff=0.000, forward_pf_eff=0.007, trades=3/8
[2025-11-01 10:41:07] [136/222] 7014.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=1/4
[2025-11-01 10:41:08] [137/222] 6981.T: best train_pf_eff=3.241, forward_pf_eff=999.000, trades=33/5
[2025-11-01 10:41:21] [138/222] 7003.T: best train_pf_eff=0.819, forward_pf_eff=0.404, trades=78/23
[2025-11-01 10:41:27] [139/222] 7011.T: best train_pf_eff=2.508, forward_pf_eff=2.024, trades=11/4
[2025-11-01 10:42:08] [140/222] 7186.T: best train_pf_eff=4.471, forward_pf_eff=4.471, trades=2/2
[2025-11-01 10:42:23] [141/222] 7013.T: best train_pf_eff=0.515, forward_pf_eff=0.345, trades=40/16
[2025-11-01 10:42:27] [142/222] 7012.T: best train_pf_eff=1.043, forward_pf_eff=4.460, trades=41/6
[2025-11-01 10:42:32] [143/222] 7211.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-01 10:42:39] [144/222] 7182.T: best train_pf_eff=0.879, forward_pf_eff=2.284, trades=51/14
[2025-11-01 10:42:49] [145/222] 7202.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-01 10:44:07] [146/222] 7259.T: best train_pf_eff=2.235, forward_pf_eff=2.051, trades=5/4
[2025-11-01 10:44:23] [147/222] 7201.T: best train_pf_eff=0.583, forward_pf_eff=1.076, trades=53/22
[2025-11-01 10:44:41] [148/222] 7203.T: best train_pf_eff=5.161, forward_pf_eff=1.441, trades=49/14
[2025-11-01 10:44:42] [149/222] 7272.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=4/3
[2025-11-01 10:44:51] [150/222] 7261.T: best train_pf_eff=0.454, forward_pf_eff=0.000, trades=10/4
[2025-11-01 10:45:09] [151/222] 7270.T: best train_pf_eff=1.874, forward_pf_eff=0.849, trades=33/17
[2025-11-01 10:45:22] [152/222] 7269.T: best train_pf_eff=2.758, forward_pf_eff=999.000, trades=46/15
[2025-11-01 10:45:34] [153/222] 7267.T: best train_pf_eff=2.154, forward_pf_eff=1.779, trades=20/5
[2025-11-01 10:45:47] [154/222] 7599.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=4/2
[2025-11-01 10:46:05] [155/222] 7731.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-01 10:46:09] [156/222] 7711.T: best train_pf_eff=4.652, forward_pf_eff=4.652, trades=4/2
[2025-11-01 10:46:45] [157/222] 7746.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/2
[2025-11-01 10:47:17] [158/222] 7532.T: best train_pf_eff=0.972, forward_pf_eff=0.824, trades=39/21
[2025-11-01 10:47:25] [159/222] 7733.T: best train_pf_eff=1.839, forward_pf_eff=0.329, trades=12/9
[2025-11-01 10:47:31] [160/222] 7762.T: best train_pf_eff=0.267, forward_pf_eff=0.267, trades=12/6
[2025-11-01 10:47:36] [161/222] 7453.T: best train_pf_eff=0.820, forward_pf_eff=0.239, trades=69/23
[2025-11-01 10:48:21] [162/222] 7735.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=19/9
[2025-11-01 10:49:06] [163/222] 7832.T: best train_pf_eff=2.201, forward_pf_eff=1.396, trades=14/6
[2025-11-01 10:49:19] [164/222] 7751.T: best train_pf_eff=0.582, forward_pf_eff=0.470, trades=73/30
[2025-11-01 10:49:36] [165/222] 8015.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=2/4
[2025-11-01 10:50:41] [166/222] 7936.T: best train_pf_eff=0.662, forward_pf_eff=4.441, trades=5/3
[2025-11-01 10:51:17] [167/222] 7974.T: best train_pf_eff=3.318, forward_pf_eff=5.432, trades=37/14
[2025-11-01 10:51:24] [168/222] 8002.T: best train_pf_eff=95.655, forward_pf_eff=31.238, trades=21/7
[2025-11-01 10:51:24] [169/222] 8001.T: best train_pf_eff=0.640, forward_pf_eff=0.614, trades=72/28
[2025-11-01 10:52:07] [170/222] 8031.T: best train_pf_eff=1.717, forward_pf_eff=2.612, trades=62/25
[2025-11-01 10:52:12] [171/222] 8105.T: best train_pf_eff=1.745, forward_pf_eff=1.745, trades=4/2
[2025-11-01 10:53:01] [172/222] 8113.T: best train_pf_eff=999.000, forward_pf_eff=0.000, trades=4/0
[2025-11-01 10:53:16] [173/222] 8035.T: best train_pf_eff=2.542, forward_pf_eff=5.029, trades=19/8
[2025-11-01 10:53:24] [174/222] 8053.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=53/17
[2025-11-01 10:53:55] [175/222] 8233.T: best train_pf_eff=0.321, forward_pf_eff=0.753, trades=13/10
[2025-11-01 10:54:05] [176/222] 8058.T: best train_pf_eff=1.144, forward_pf_eff=999.000, trades=62/13
[2025-11-01 10:55:14] [177/222] 8136.T: best train_pf_eff=0.989, forward_pf_eff=2.358, trades=80/11
[2025-11-01 10:55:23] [178/222] 8331.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-01 10:55:40] [179/222] 8267.T: best train_pf_eff=1.596, forward_pf_eff=1.144, trades=75/23
[2025-11-01 10:55:52] [180/222] 8410.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-01 10:56:11] [181/222] 8306.T: best train_pf_eff=3.308, forward_pf_eff=1.804, trades=48/19
