[2025-11-02 16:51:24] Run started
[2025-11-02 16:51:24] Run type resolved to weekend
[2025-11-02 16:51:24] Codes limited via output\\bt30\\NIGHTLY_20251101\\universe_amt_top_150_2025-10-31.csv: 150 tickers (was 20)
[2025-11-02 16:52:05] Fetching Yahoo Finance 1m bars for 1 tickers (lookback=60, chunk=5)
[2025-11-02 16:52:32] Entry window marks set: 219761 rows flagged out of 1714299
[2025-11-02 16:52:34] Liquidity filter q=0.50 kept 133 tickers and 861466 rows
[2025-11-02 16:52:34] Using 1 rolling slices (train=12, forward=20)
[2025-11-02 16:52:34] Parameter grid size: 24 (mode=coarse, signal=j-only)
[2025-11-02 16:55:38] [50/133] 6330.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-02 16:55:38] [51/133] 6315.T: best train_pf_eff=0.000, forward_pf_eff=999.000, trades=0/2
[2025-11-02 16:55:54] [52/133] 6361.T: best train_pf_eff=0.000, forward_pf_eff=0.267, trades=0/29
[2025-11-02 16:56:01] [53/133] 6506.T: best train_pf_eff=0.000, forward_pf_eff=0.307, trades=0/42
[2025-11-02 16:56:12] [54/133] 6525.T: best train_pf_eff=999.000, forward_pf_eff=5.272, trades=10/21
[2025-11-02 16:56:13] [55/133] 6503.T: best train_pf_eff=1.077, forward_pf_eff=0.452, trades=90/99
[2025-11-02 16:56:18] [56/133] 6501.T: best train_pf_eff=1.153, forward_pf_eff=1.118, trades=6/71
[2025-11-02 16:56:22] [57/133] 6701.T: best train_pf_eff=1.794, forward_pf_eff=1.225, trades=72/116
[2025-11-02 16:56:23] [58/133] 6594.T: best train_pf_eff=4.394, forward_pf_eff=0.500, trades=45/82
[2025-11-02 16:56:25] [59/133] 6526.T: best train_pf_eff=2.076, forward_pf_eff=3.177, trades=27/45
[2025-11-02 16:56:42] [60/133] 6702.T: best train_pf_eff=0.589, forward_pf_eff=0.368, trades=92/46
[2025-11-02 16:56:46] [61/133] 6723.T: best train_pf_eff=999.000, forward_pf_eff=0.558, trades=17/150
[2025-11-02 16:56:48] [62/133] 6752.T: best train_pf_eff=0.000, forward_pf_eff=0.355, trades=0/107
[2025-11-02 16:56:49] [63/133] 6814.T: best train_pf_eff=0.000, forward_pf_eff=0.048, trades=0/24
[2025-11-02 16:56:56] [64/133] 6758.T: best train_pf_eff=0.750, forward_pf_eff=0.756, trades=67/90
[2025-11-02 16:57:03] [65/133] 6902.T: best train_pf_eff=0.319, forward_pf_eff=0.000, trades=21/0
[2025-11-02 16:57:05] [66/133] 6857.T: best train_pf_eff=0.893, forward_pf_eff=0.821, trades=25/75
[2025-11-02 16:57:08] [67/133] 6762.T: best train_pf_eff=0.532, forward_pf_eff=1.363, trades=123/95
[2025-11-02 16:57:09] [68/133] 6976.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-02 16:57:15] [69/133] 6963.T: best train_pf_eff=0.535, forward_pf_eff=0.000, trades=50/0
[2025-11-02 16:57:20] [70/133] 6954.T: best train_pf_eff=999.000, forward_pf_eff=2.301, trades=2/63
[2025-11-02 16:57:21] [71/133] 6920.T: best train_pf_eff=0.291, forward_pf_eff=0.650, trades=82/61
[2025-11-02 16:57:24] [72/133] 6988.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-02 16:57:30] [73/133] 6981.T: best train_pf_eff=1.973, forward_pf_eff=5.510, trades=37/34
[2025-11-02 16:57:43] [74/133] 7014.T: best train_pf_eff=0.000, forward_pf_eff=999.000, trades=0/3
[2025-11-02 16:57:45] [75/133] 7003.T: best train_pf_eff=1.208, forward_pf_eff=0.316, trades=108/126
[2025-11-02 16:57:47] [76/133] 7012.T: best train_pf_eff=0.840, forward_pf_eff=0.945, trades=66/45
[2025-11-02 16:57:50] [77/133] 7011.T: best train_pf_eff=2.019, forward_pf_eff=1.011, trades=45/56
[2025-11-02 16:57:50] [78/133] 7182.T: best train_pf_eff=0.428, forward_pf_eff=999.000, trades=25/1
[2025-11-02 16:57:52] [79/133] 7013.T: best train_pf_eff=0.481, forward_pf_eff=2.791, trades=34/50
[2025-11-02 16:57:58] [80/133] 7259.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-02 16:58:00] [81/133] 7201.T: best train_pf_eff=0.980, forward_pf_eff=0.329, trades=32/75
[2025-11-02 16:58:03] [82/133] 7203.T: best train_pf_eff=5.059, forward_pf_eff=0.395, trades=46/103
[2025-11-02 16:58:06] [83/133] 7261.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-02 16:58:10] [84/133] 7270.T: best train_pf_eff=999.000, forward_pf_eff=0.000, trades=27/0
[2025-11-02 16:58:17] [85/133] 7532.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-02 16:58:18] [86/133] 7746.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-02 16:58:21] [87/133] 7269.T: best train_pf_eff=0.686, forward_pf_eff=999.000, trades=24/31
[2025-11-02 16:58:21] [88/133] 7267.T: best train_pf_eff=0.469, forward_pf_eff=0.308, trades=43/140
[2025-11-02 16:58:32] [89/133] 7453.T: best train_pf_eff=0.848, forward_pf_eff=0.372, trades=100/144
[2025-11-02 16:58:40] [90/133] 7832.T: best train_pf_eff=0.514, forward_pf_eff=0.000, trades=37/0
[2025-11-02 16:58:43] [91/133] 7735.T: best train_pf_eff=1.194, forward_pf_eff=0.990, trades=16/63
[2025-11-02 16:58:46] [92/133] 7751.T: best train_pf_eff=3.892, forward_pf_eff=0.123, trades=72/85
[2025-11-02 16:59:01] [93/133] 7936.T: best train_pf_eff=2.314, forward_pf_eff=0.428, trades=75/54
[2025-11-02 16:59:06] [94/133] 7974.T: best train_pf_eff=0.980, forward_pf_eff=0.334, trades=39/73
[2025-11-02 16:59:08] [95/133] 8002.T: best train_pf_eff=999.000, forward_pf_eff=0.513, trades=14/119
[2025-11-02 16:59:19] [96/133] 8001.T: best train_pf_eff=0.835, forward_pf_eff=0.569, trades=68/172
[2025-11-02 16:59:25] [97/133] 8053.T: best train_pf_eff=0.878, forward_pf_eff=999.000, trades=42/17
[2025-11-02 16:59:27] [98/133] 8031.T: best train_pf_eff=0.646, forward_pf_eff=0.841, trades=90/193
[2025-11-02 16:59:30] [99/133] 8035.T: best train_pf_eff=0.032, forward_pf_eff=4.304, trades=20/31
[2025-11-02 16:59:34] [100/133] 8267.T: best train_pf_eff=999.000, forward_pf_eff=0.056, trades=23/38
[2025-11-02 16:59:38] [101/133] 8058.T: best train_pf_eff=0.299, forward_pf_eff=2.506, trades=67/67
[2025-11-02 16:59:47] [102/133] 8136.T: best train_pf_eff=0.735, forward_pf_eff=0.343, trades=110/79
[2025-11-02 16:59:51] [103/133] 8306.T: best train_pf_eff=1.142, forward_pf_eff=0.362, trades=27/123
[2025-11-02 16:59:56] [104/133] 8591.T: best train_pf_eff=0.080, forward_pf_eff=0.000, trades=18/0
[2025-11-02 16:59:58] [105/133] 8308.T: best train_pf_eff=0.140, forward_pf_eff=999.000, trades=10/33
[2025-11-02 17:00:01] [106/133] 8604.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-02 17:00:08] [107/133] 8411.T: best train_pf_eff=0.350, forward_pf_eff=3.462, trades=44/96
[2025-11-02 17:00:09] [108/133] 8697.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-02 17:00:10] [109/133] 8630.T: best train_pf_eff=0.000, forward_pf_eff=0.086, trades=0/18
[2025-11-02 17:00:11] [110/133] 8316.T: best train_pf_eff=0.803, forward_pf_eff=0.730, trades=99/161
[2025-11-02 17:00:12] [111/133] 8473.T: best train_pf_eff=5.508, forward_pf_eff=0.391, trades=102/184
[2025-11-02 17:00:19] [112/133] 8750.T: best train_pf_eff=999.000, forward_pf_eff=0.000, trades=10/0
[2025-11-02 17:00:27] [113/133] 8802.T: best train_pf_eff=0.000, forward_pf_eff=6.150, trades=0/14
