[2025-10-17 07:14:17] Run started
[2025-10-17 07:14:17] Fetching Yahoo Finance 1m bars for 300 tickers (lookback=60, chunk=5)
[2025-10-17 07:15:55] Session filter kept 69029 / 1824752 rows
[2025-10-17 07:15:55] Liquidity filter quantile=0.50 kept 262 tickers
[2025-10-17 07:15:55] Using 2 rolling slices (train=12, forward=4)
[2025-10-17 07:15:55] Parameter grid size: 96 (mode=coarse)
[2025-10-17 07:16:47] [52/262] 3382.T: best train_pf_eff=0.075, forward_pf_eff=0.000, trades=21/8
[2025-10-17 07:16:47] [53/262] 3402.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=2/0
[2025-10-17 07:16:48] [54/262] 3405.T: best train_pf_eff=0.000, forward_pf_eff=1.198, trades=4/2
[2025-10-17 07:16:49] [55/262] 3407.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/1
[2025-10-17 07:16:50] [56/262] 3436.T: best train_pf_eff=0.200, forward_pf_eff=0.499, trades=17/8
[2025-10-17 07:16:51] [57/262] 3563.T: best train_pf_eff=0.375, forward_pf_eff=0.499, trades=20/8
[2025-10-17 07:16:52] [58/262] 3635.T: best train_pf_eff=0.000, forward_pf_eff=1.198, trades=2/2
[2025-10-17 07:16:53] [59/262] 3647.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 07:16:53] [60/262] 3687.T: best train_pf_eff=1.498, forward_pf_eff=1.498, trades=2/2
[2025-10-17 07:16:54] [61/262] 3692.T: best train_pf_eff=0.428, forward_pf_eff=0.300, trades=12/6
[2025-10-17 07:16:56] [62/262] 3697.T: best train_pf_eff=0.000, forward_pf_eff=0.240, trades=6/6
[2025-10-17 07:16:56] [63/262] 3861.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=7/0
[2025-10-17 07:16:57] [64/262] 3905.T: best train_pf_eff=0.333, forward_pf_eff=1.499, trades=13/3
[2025-10-17 07:16:59] [65/262] 4004.T: best train_pf_eff=0.545, forward_pf_eff=0.749, trades=15/9
[2025-10-17 07:17:00] [66/262] 4005.T: best train_pf_eff=0.250, forward_pf_eff=0.000, trades=8/1
[2025-10-17 07:17:01] [67/262] 402A.T: best train_pf_eff=0.499, forward_pf_eff=0.999, trades=8/5
[2025-10-17 07:17:01] [68/262] 4042.T: best train_pf_eff=0.000, forward_pf_eff=0.599, trades=0/3
[2025-10-17 07:17:02] [69/262] 4043.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=2/0
[2025-10-17 07:17:03] [70/262] 4062.T: best train_pf_eff=0.214, forward_pf_eff=0.000, trades=16/6
[2025-10-17 07:17:04] [71/262] 4063.T: best train_pf_eff=0.375, forward_pf_eff=0.187, trades=24/5
[2025-10-17 07:17:05] [72/262] 4088.T: best train_pf_eff=0.000, forward_pf_eff=999.000, trades=0/3
[2025-10-17 07:17:05] [73/262] 4182.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=1/3
[2025-10-17 07:17:06] [74/262] 4188.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=4/1
[2025-10-17 07:17:07] [75/262] 4204.T: best train_pf_eff=0.749, forward_pf_eff=0.749, trades=4/2
[2025-10-17 07:17:07] [76/262] 423A.T: best train_pf_eff=0.000, forward_pf_eff=999.000, trades=0/1
[2025-10-17 07:17:09] [77/262] 4307.T: best train_pf_eff=0.187, forward_pf_eff=0.000, trades=10/5
[2025-10-17 07:17:10] [78/262] 4385.T: best train_pf_eff=0.150, forward_pf_eff=0.499, trades=11/4
[2025-10-17 07:17:10] [79/262] 4446.T: best train_pf_eff=0.499, forward_pf_eff=0.499, trades=4/4
[2025-10-17 07:17:12] [80/262] 4452.T: best train_pf_eff=1.499, forward_pf_eff=0.000, trades=3/2
[2025-10-17 07:17:13] [81/262] 4502.T: best train_pf_eff=0.599, forward_pf_eff=0.321, trades=18/10
[2025-10-17 07:17:14] [82/262] 4503.T: best train_pf_eff=0.409, forward_pf_eff=2.248, trades=17/4
[2025-10-17 07:17:16] [83/262] 4506.T: best train_pf_eff=0.999, forward_pf_eff=0.300, trades=5/6
[2025-10-17 07:17:16] [84/262] 4507.T: best train_pf_eff=1.498, forward_pf_eff=1.498, trades=4/2
[2025-10-17 07:17:18] [85/262] 4519.T: best train_pf_eff=0.285, forward_pf_eff=0.599, trades=25/7
[2025-10-17 07:17:19] [86/262] 4523.T: best train_pf_eff=1.498, forward_pf_eff=2.996, trades=8/6
[2025-10-17 07:17:19] [87/262] 4528.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 07:17:21] [88/262] 4543.T: best train_pf_eff=0.749, forward_pf_eff=0.749, trades=16/2
[2025-10-17 07:17:22] [89/262] 4568.T: best train_pf_eff=0.409, forward_pf_eff=0.499, trades=14/4
[2025-10-17 07:17:23] [90/262] 4571.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=3/5
[2025-10-17 07:17:24] [91/262] 4578.T: best train_pf_eff=1.198, forward_pf_eff=999.000, trades=4/2
[2025-10-17 07:17:24] [92/262] 4588.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 07:17:25] [93/262] 4592.T: best train_pf_eff=0.352, forward_pf_eff=0.499, trades=21/8
[2025-10-17 07:17:26] [94/262] 4612.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 07:17:27] [95/262] 4661.T: best train_pf_eff=0.225, forward_pf_eff=0.000, trades=13/5
[2025-10-17 07:17:28] [96/262] 4680.T: best train_pf_eff=0.400, forward_pf_eff=0.000, trades=5/1
[2025-10-17 07:17:29] [97/262] 4689.T: best train_pf_eff=0.749, forward_pf_eff=0.000, trades=9/2
[2025-10-17 07:17:30] [98/262] 4704.T: best train_pf_eff=1.498, forward_pf_eff=0.000, trades=4/4
[2025-10-17 07:17:30] [99/262] 4732.T: best train_pf_eff=999.000, forward_pf_eff=0.000, trades=1/0
[2025-10-17 07:17:32] [100/262] 4751.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=2/2
[2025-10-17 07:17:33] [101/262] 4755.T: best train_pf_eff=0.214, forward_pf_eff=0.300, trades=18/7
[2025-10-17 07:17:34] [102/262] 4814.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 07:17:34] [103/262] 4889.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 07:17:36] [104/262] 4901.T: best train_pf_eff=0.173, forward_pf_eff=0.000, trades=16/4
[2025-10-17 07:17:37] [105/262] 4911.T: best train_pf_eff=0.187, forward_pf_eff=0.000, trades=9/4
[2025-10-17 07:17:38] [106/262] 5016.T: best train_pf_eff=1.798, forward_pf_eff=0.899, trades=11/8
[2025-10-17 07:17:39] [107/262] 5019.T: best train_pf_eff=1.498, forward_pf_eff=0.000, trades=2/0
