[2025-11-01 06:46:09] Run started
[2025-11-01 06:46:09] Run type resolved to weekend
[2025-11-01 06:46:10] Codes limited via output\bt30\NIGHTLY_20251101\universe_amt_top_300_2025-10-31.csv: 300 tickers (was 20)
[2025-11-01 06:48:26] Fetching Yahoo Finance 1m bars for 300 tickers (lookback=60, chunk=5)
[2025-11-01 06:50:04] Entry window marks set: 251314 rows flagged out of 2955449
[2025-11-01 06:50:07] Liquidity filter q=0.50 kept 222 tickers and 1595369 rows
[2025-11-01 06:50:07] Using 5 rolling slices (train=12, forward=4)
[2025-11-01 06:50:07] Parameter grid size: 240 (mode=coarse, signal=j-only)
[2025-11-01 07:04:39] [50/222] 3656.T: best train_pf_eff=999.000, forward_pf_eff=0.000, trades=6/0
[2025-11-01 07:05:12] [51/222] 3905.T: best train_pf_eff=999.000, forward_pf_eff=1.481, trades=2/11
[2025-11-01 07:05:39] [52/222] 3697.T: best train_pf_eff=1.094, forward_pf_eff=999.000, trades=56/13
[2025-11-01 07:05:52] [53/222] 4005.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=27/9
[2025-11-01 07:05:53] [54/222] 402A.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-01 07:06:18] [55/222] 3382.T: best train_pf_eff=0.437, forward_pf_eff=0.352, trades=541/191
[2025-11-01 07:06:21] [56/222] 3436.T: best train_pf_eff=0.264, forward_pf_eff=0.263, trades=197/94
[2025-11-01 07:06:31] [57/222] 4004.T: best train_pf_eff=0.171, forward_pf_eff=0.315, trades=120/39
[2025-11-01 07:07:29] [58/222] 4088.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-01 07:08:04] [59/222] 4188.T: best train_pf_eff=0.428, forward_pf_eff=0.428, trades=18/9
[2025-11-01 07:08:56] [60/222] 4446.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-01 07:12:02] [61/222] 4062.T: best train_pf_eff=0.157, forward_pf_eff=3.211, trades=64/9
[2025-11-01 07:12:10] [62/222] 4385.T: best train_pf_eff=1.154, forward_pf_eff=0.494, trades=308/95
[2025-11-01 07:12:11] [63/222] 4063.T: best train_pf_eff=0.255, forward_pf_eff=0.294, trades=343/94
[2025-11-01 07:12:36] [64/222] 4452.T: best train_pf_eff=0.472, forward_pf_eff=0.409, trades=281/135
[2025-11-01 07:12:50] [65/222] 4507.T: best train_pf_eff=0.117, forward_pf_eff=0.116, trades=42/29
[2025-11-01 07:13:24] [66/222] 4502.T: best train_pf_eff=0.242, forward_pf_eff=0.361, trades=277/85
[2025-11-01 07:14:00] [67/222] 4503.T: best train_pf_eff=2.821, forward_pf_eff=999.000, trades=13/3
[2025-11-01 07:14:22] [68/222] 4528.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-01 07:14:31] [69/222] 4506.T: best train_pf_eff=1.331, forward_pf_eff=2.550, trades=29/7
[2025-11-01 07:14:45] [70/222] 4571.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-01 07:15:11] [71/222] 4586.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=14/7
[2025-11-01 07:15:27] [72/222] 4543.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=3/8
[2025-11-01 07:16:11] [73/222] 4592.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=13/8
[2025-11-01 07:16:27] [74/222] 4612.T: best train_pf_eff=13.102, forward_pf_eff=6.551, trades=15/8
[2025-11-01 07:16:32] [75/222] 4680.T: best train_pf_eff=0.000, forward_pf_eff=999.000, trades=0/1
[2025-11-01 07:17:02] [76/222] 4519.T: best train_pf_eff=0.209, forward_pf_eff=0.065, trades=216/35
[2025-11-01 07:17:17] [77/222] 4568.T: best train_pf_eff=0.334, forward_pf_eff=19.584, trades=126/19
[2025-11-01 07:19:03] [78/222] 4751.T: best train_pf_eff=1.173, forward_pf_eff=1.101, trades=15/16
[2025-11-01 07:19:10] [79/222] 4689.T: best train_pf_eff=0.261, forward_pf_eff=0.392, trades=172/106
[2025-11-01 07:20:13] [80/222] 4661.T: best train_pf_eff=0.738, forward_pf_eff=0.595, trades=296/146
[2025-11-01 07:21:34] [81/222] 4901.T: best train_pf_eff=0.681, forward_pf_eff=0.414, trades=150/94
[2025-11-01 07:21:42] [82/222] 4911.T: best train_pf_eff=10.438, forward_pf_eff=15.812, trades=61/36
[2025-11-01 07:22:01] [83/222] 5076.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=10/10
[2025-11-01 07:22:14] [84/222] 5020.T: best train_pf_eff=0.675, forward_pf_eff=999.000, trades=38/2
[2025-11-01 07:22:31] [85/222] 4755.T: best train_pf_eff=0.179, forward_pf_eff=8.190, trades=56/8
[2025-11-01 07:23:27] [86/222] 5016.T: best train_pf_eff=2.298, forward_pf_eff=999.000, trades=94/24
[2025-11-01 07:23:58] [87/222] 5406.T: best train_pf_eff=0.000, forward_pf_eff=999.000, trades=13/7
[2025-11-01 07:24:25] [88/222] 5595.T: best train_pf_eff=0.000, forward_pf_eff=999.000, trades=0/5
[2025-11-01 07:25:01] [89/222] 5108.T: best train_pf_eff=0.310, forward_pf_eff=999.000, trades=57/9
[2025-11-01 07:25:12] [90/222] 5711.T: best train_pf_eff=0.000, forward_pf_eff=999.000, trades=0/8
[2025-11-01 07:25:42] [91/222] 5411.T: best train_pf_eff=0.167, forward_pf_eff=3.477, trades=20/6
[2025-11-01 07:25:45] [92/222] 5401.T: best train_pf_eff=0.498, forward_pf_eff=2.967, trades=120/37
[2025-11-01 07:27:28] [93/222] 5706.T: best train_pf_eff=0.698, forward_pf_eff=999.000, trades=117/8
[2025-11-01 07:27:51] [94/222] 5726.T: best train_pf_eff=3.796, forward_pf_eff=3.651, trades=17/16
[2025-11-01 07:28:58] [95/222] 5713.T: best train_pf_eff=0.331, forward_pf_eff=0.213, trades=194/57
[2025-11-01 07:29:34] [96/222] 5801.T: best train_pf_eff=1.274, forward_pf_eff=5.261, trades=71/22
[2025-11-01 07:29:44] [97/222] 6177.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-01 07:30:22] [98/222] 5802.T: best train_pf_eff=999.000, forward_pf_eff=1.372, trades=44/21
[2025-11-01 07:30:30] [99/222] 5803.T: best train_pf_eff=0.480, forward_pf_eff=0.312, trades=92/63
[2025-11-01 07:31:09] [100/222] 6178.T: best train_pf_eff=0.000, forward_pf_eff=999.000, trades=0/2
[2025-11-01 07:31:13] [101/222] 6268.T: best train_pf_eff=0.000, forward_pf_eff=0.280, trades=0/31
[2025-11-01 07:31:15] [102/222] 6098.T: best train_pf_eff=0.451, forward_pf_eff=999.000, trades=6/2
[2025-11-01 07:31:16] [103/222] 6146.T: best train_pf_eff=32.323, forward_pf_eff=3.677, trades=75/40
[2025-11-01 07:31:52] [104/222] 6324.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-01 07:32:41] [105/222] 6479.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-01 07:32:41] [106/222] 6330.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-01 07:33:56] [107/222] 6323.T: best train_pf_eff=6.915, forward_pf_eff=7.725, trades=43/24
[2025-11-01 07:34:13] [108/222] 6301.T: best train_pf_eff=0.148, forward_pf_eff=999.000, trades=19/2
[2025-11-01 07:34:19] [109/222] 6315.T: best train_pf_eff=5.056, forward_pf_eff=999.000, trades=84/10
[2025-11-01 07:34:31] [110/222] 6361.T: best train_pf_eff=0.456, forward_pf_eff=0.340, trades=33/41
[2025-11-01 07:34:38] [111/222] 6326.T: best train_pf_eff=6.805, forward_pf_eff=3.005, trades=58/62
[2025-11-01 07:37:44] [112/222] 6501.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=37/11
[2025-11-01 07:38:35] [113/222] 6506.T: best train_pf_eff=5.743, forward_pf_eff=6.704, trades=49/19
[2025-11-01 07:39:42] [114/222] 6503.T: best train_pf_eff=0.282, forward_pf_eff=1.936, trades=18/10
[2025-11-01 07:40:46] [115/222] 6525.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=33/19
[2025-11-01 07:41:03] [116/222] 6526.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=22/8
[2025-11-01 07:41:14] [117/222] 6594.T: best train_pf_eff=0.674, forward_pf_eff=0.586, trades=218/78
[2025-11-01 07:41:28] [118/222] 6740.T: best train_pf_eff=0.000, forward_pf_eff=999.000, trades=0/4
[2025-11-01 07:41:47] [119/222] 6701.T: best train_pf_eff=0.834, forward_pf_eff=1.393, trades=64/26
[2025-11-01 07:41:49] [120/222] 6702.T: best train_pf_eff=0.389, forward_pf_eff=1.380, trades=252/49
[2025-11-01 07:43:36] [121/222] 6814.T: best train_pf_eff=0.000, forward_pf_eff=999.000, trades=0/3
[2025-11-01 07:43:58] [122/222] 6723.T: best train_pf_eff=0.739, forward_pf_eff=0.905, trades=290/118
[2025-11-01 07:44:39] [123/222] 6869.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=5/5
[2025-11-01 07:45:54] [124/222] 6752.T: best train_pf_eff=1.029, forward_pf_eff=0.968, trades=224/100
[2025-11-01 07:47:05] [125/222] 6758.T: best train_pf_eff=3.180, forward_pf_eff=5.623, trades=24/11
[2025-11-01 07:47:31] [126/222] 6762.T: best train_pf_eff=0.770, forward_pf_eff=3.270, trades=208/38
[2025-11-01 07:48:03] [127/222] 6857.T: best train_pf_eff=1.177, forward_pf_eff=0.610, trades=84/50
[2025-11-01 07:48:32] [128/222] 6902.T: best train_pf_eff=0.975, forward_pf_eff=1.828, trades=287/120
[2025-11-01 07:48:47] [129/222] 6965.T: best train_pf_eff=0.000, forward_pf_eff=0.171, trades=0/28
[2025-11-01 07:50:10] [130/222] 6954.T: best train_pf_eff=0.581, forward_pf_eff=0.665, trades=359/136
[2025-11-01 07:50:19] [131/222] 6920.T: best train_pf_eff=2.523, forward_pf_eff=999.000, trades=27/5
[2025-11-01 07:50:39] [132/222] 6971.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=9/15
[2025-11-01 07:51:08] [133/222] 6963.T: best train_pf_eff=0.255, forward_pf_eff=0.146, trades=229/60
[2025-11-01 07:51:09] [134/222] 6976.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=12/6
[2025-11-01 07:52:44] [135/222] 6988.T: best train_pf_eff=0.000, forward_pf_eff=0.225, trades=3/61
[2025-11-01 07:53:49] [136/222] 6981.T: best train_pf_eff=1.552, forward_pf_eff=999.000, trades=100/22
[2025-11-01 07:54:16] [137/222] 7003.T: best train_pf_eff=1.228, forward_pf_eff=4.646, trades=44/7
[2025-11-01 07:54:22] [138/222] 7014.T: best train_pf_eff=0.843, forward_pf_eff=1.588, trades=17/27
[2025-11-01 07:54:47] [139/222] 7186.T: best train_pf_eff=0.644, forward_pf_eff=0.644, trades=17/17
[2025-11-01 07:55:10] [140/222] 7011.T: best train_pf_eff=1.072, forward_pf_eff=4.052, trades=52/11
[2025-11-01 07:55:44] [141/222] 7012.T: best train_pf_eff=3.122, forward_pf_eff=4.227, trades=83/20
[2025-11-01 07:55:59] [142/222] 7013.T: best train_pf_eff=0.428, forward_pf_eff=0.449, trades=168/76
[2025-11-01 07:56:11] [143/222] 7182.T: best train_pf_eff=2.497, forward_pf_eff=999.000, trades=126/44
[2025-11-01 07:56:44] [144/222] 7211.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-01 07:57:00] [145/222] 7202.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-01 07:57:40] [146/222] 7259.T: best train_pf_eff=2.235, forward_pf_eff=2.051, trades=5/4
[2025-11-01 07:59:45] [147/222] 7201.T: best train_pf_eff=0.291, forward_pf_eff=0.344, trades=323/95
[2025-11-01 08:00:31] [148/222] 7261.T: best train_pf_eff=1.358, forward_pf_eff=0.000, trades=54/10
[2025-11-01 08:00:40] [149/222] 7203.T: best train_pf_eff=999.000, forward_pf_eff=2.065, trades=9/18
[2025-11-01 08:00:41] [150/222] 7272.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=4/3
[2025-11-01 08:01:58] [151/222] 7270.T: best train_pf_eff=0.668, forward_pf_eff=0.163, trades=126/57
[2025-11-01 08:01:59] [152/222] 7269.T: best train_pf_eff=2.107, forward_pf_eff=999.000, trades=139/42
[2025-11-01 08:02:07] [153/222] 7267.T: best train_pf_eff=3.991, forward_pf_eff=2.394, trades=107/36
[2025-11-01 08:02:25] [154/222] 7599.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=6/3
[2025-11-01 08:03:09] [155/222] 7731.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-01 08:03:15] [156/222] 7453.T: best train_pf_eff=0.487, forward_pf_eff=0.314, trades=304/84
[2025-11-01 08:03:16] [157/222] 7711.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=4/2
[2025-11-01 08:03:59] [158/222] 7746.T: best train_pf_eff=0.000, forward_pf_eff=2.639, trades=0/9
[2025-11-01 08:04:59] [159/222] 7532.T: best train_pf_eff=2.102, forward_pf_eff=0.896, trades=163/78
[2025-11-01 08:05:37] [160/222] 7762.T: best train_pf_eff=0.408, forward_pf_eff=0.408, trades=28/14
[2025-11-01 08:05:53] [161/222] 7733.T: best train_pf_eff=1.376, forward_pf_eff=0.421, trades=48/42
[2025-11-01 08:07:26] [162/222] 7735.T: best train_pf_eff=20.995, forward_pf_eff=999.000, trades=48/19
[2025-11-01 08:07:45] [163/222] 7832.T: best train_pf_eff=4.112, forward_pf_eff=999.000, trades=14/9
[2025-11-01 08:08:40] [164/222] 7751.T: best train_pf_eff=0.496, forward_pf_eff=0.359, trades=447/150
[2025-11-01 08:09:24] [165/222] 8015.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=5/22
[2025-11-01 08:09:57] [166/222] 7936.T: best train_pf_eff=0.768, forward_pf_eff=999.000, trades=27/2
[2025-11-01 08:10:25] [167/222] 7974.T: best train_pf_eff=2.080, forward_pf_eff=3.322, trades=22/2
[2025-11-01 08:11:47] [168/222] 8001.T: best train_pf_eff=0.810, forward_pf_eff=0.572, trades=264/94
[2025-11-01 08:12:15] [169/222] 8002.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=35/9
[2025-11-01 08:12:26] [170/222] 8105.T: best train_pf_eff=3.859, forward_pf_eff=3.859, trades=8/4
[2025-11-01 08:13:28] [171/222] 8113.T: best train_pf_eff=999.000, forward_pf_eff=0.000, trades=26/0
[2025-11-01 08:13:59] [172/222] 8035.T: best train_pf_eff=1.305, forward_pf_eff=2.131, trades=66/25
[2025-11-01 08:14:11] [173/222] 8031.T: best train_pf_eff=1.402, forward_pf_eff=1.695, trades=224/80
[2025-11-01 08:14:57] [174/222] 8053.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=181/62
[2025-11-01 08:15:58] [175/222] 8058.T: best train_pf_eff=3.146, forward_pf_eff=999.000, trades=156/33
[2025-11-01 08:17:04] [176/222] 8233.T: best train_pf_eff=0.088, forward_pf_eff=0.384, trades=83/51
[2025-11-01 08:19:07] [177/222] 8331.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-01 08:19:33] [178/222] 8136.T: best train_pf_eff=0.867, forward_pf_eff=0.637, trades=319/60
[2025-11-01 08:20:25] [179/222] 8410.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
