[2025-10-17 17:11:41] Run started
[2025-10-17 17:11:41] Codes limited via output\bt30\NIGHTLY_20251017\universe_amt_top_300_2025-10-17.csv: 300 tickers
[2025-10-17 17:11:41] Fetching Yahoo Finance 1m bars for 300 tickers (lookback=60, chunk=5)
[2025-10-17 17:13:12] Entry window marks set: 34639 rows flagged out of 1553831
[2025-10-17 17:13:14] Liquidity filter q=0.50 kept 300 tickers and 811565 rows
[2025-10-17 17:13:14] Using 1 rolling slices (train=12, forward=4)
[2025-10-17 17:13:14] Parameter grid size: 72 (mode=coarse, signal=j-only)
[2025-10-17 17:15:03] [51/300] 2802.T: best train_pf_eff=3.636, forward_pf_eff=0.401, trades=18/8
[2025-10-17 17:15:03] [52/300] 3064.T: best train_pf_eff=999.000, forward_pf_eff=0.000, trades=2/0
[2025-10-17 17:15:03] [53/300] 3038.T: best train_pf_eff=999.000, forward_pf_eff=2.697, trades=1/8
[2025-10-17 17:15:05] [54/300] 314A.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:15:06] [55/300] 3289.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:15:07] [56/300] 3099.T: best train_pf_eff=999.000, forward_pf_eff=0.000, trades=6/0
[2025-10-17 17:15:09] [57/300] 285A.T: best train_pf_eff=999.000, forward_pf_eff=1.516, trades=8/5
[2025-10-17 17:15:12] [58/300] 3370.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:15:13] [59/300] 2914.T: best train_pf_eff=999.000, forward_pf_eff=0.004, trades=4/5
[2025-10-17 17:15:14] [60/300] 3349.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:15:14] [61/300] 3391.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:15:19] [62/300] 3407.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:15:20] [63/300] 3405.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:15:21] [64/300] 3687.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:15:25] [65/300] 3647.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 17:15:26] [66/300] 3402.T: best train_pf_eff=999.000, forward_pf_eff=0.000, trades=2/0
[2025-10-17 17:15:29] [67/300] 3635.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
