[2025-10-17 07:51:50] Run started
[2025-10-17 07:51:50] Fetching Yahoo Finance 1m bars for 300 tickers (lookback=60, chunk=5)
[2025-10-17 07:53:35] Session filter kept 69029 / 1824752 rows
[2025-10-17 07:53:35] Liquidity filter quantile=0.50 kept 262 tickers
[2025-10-17 07:53:35] Using 2 rolling slices (train=12, forward=4)
[2025-10-17 07:53:35] Parameter grid size: 648 (mode=coarse, signal=full)
[2025-10-17 07:59:51] [52/262] 3382.T: best train_pf_eff=0.107, forward_pf_eff=0.000, trades=30/11
[2025-10-17 07:59:56] [53/262] 3402.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=4/0
[2025-10-17 08:00:02] [54/262] 3405.T: best train_pf_eff=0.000, forward_pf_eff=0.599, trades=4/3
[2025-10-17 08:00:07] [55/262] 3407.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/1
[2025-10-17 08:00:17] [56/262] 3436.T: best train_pf_eff=0.158, forward_pf_eff=0.375, trades=21/10
[2025-10-17 08:00:27] [57/262] 3563.T: best train_pf_eff=0.691, forward_pf_eff=0.214, trades=19/8
[2025-10-17 08:00:33] [58/262] 3635.T: best train_pf_eff=1.797, forward_pf_eff=2.396, trades=5/3
[2025-10-17 08:00:35] [59/262] 3647.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-10-17 08:00:39] [60/262] 3687.T: best train_pf_eff=1.498, forward_pf_eff=1.498, trades=2/2
[2025-10-17 08:00:48] [61/262] 3692.T: best train_pf_eff=0.200, forward_pf_eff=0.000, trades=17/10
[2025-10-17 08:00:57] [62/262] 3697.T: best train_pf_eff=0.749, forward_pf_eff=1.498, trades=3/6
[2025-10-17 08:01:02] [63/262] 3861.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=7/0
[2025-10-17 08:01:11] [64/262] 3905.T: best train_pf_eff=0.167, forward_pf_eff=0.749, trades=22/4
[2025-10-17 08:01:20] [65/262] 4004.T: best train_pf_eff=1.498, forward_pf_eff=1.498, trades=8/6
