[2025-11-04 17:38:49] Run started
[2025-11-04 17:38:49] Run type resolved to weekday
[2025-11-04 17:38:50] Codes limited via C:\AI\asagake\output\bt30\NIGHTLY_20251101\universe_amt_top_300_2025-10-31.csv: 300 tickers (was 20)
[2025-11-04 17:41:02] Fetching Yahoo Finance 1m bars for 1 tickers (lookback=60, chunk=5)
[2025-11-04 17:41:31] Entry window marks set: 246483 rows flagged out of 2894552
[2025-11-04 17:41:33] Liquidity filter q=0.50 kept 222 tickers and 1564022 rows
[2025-11-04 17:41:33] Using 5 rolling slices (train=12, forward=4)
[2025-11-04 17:41:33] Parameter grid size: 240 (mode=coarse, signal=j-only)
[2025-11-04 17:41:33] Ineffective-band mask removed 96 combos for J_th values [0.3, 0.4, 0.6, 0.7, 0.8, 1.0]
[2025-11-04 17:44:09] [49/222] 3659.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-04 17:44:13] [50/222] 3656.T: best train_pf_eff=999.000, forward_pf_eff=0.000, trades=3/0
[2025-11-04 17:44:14] [51/222] 3382.T: best train_pf_eff=0.497, forward_pf_eff=1.094, trades=49/9
[2025-11-04 17:44:18] [52/222] 3436.T: best train_pf_eff=0.214, forward_pf_eff=0.184, trades=174/68
[2025-11-04 17:44:19] [53/222] 3905.T: best train_pf_eff=1.690, forward_pf_eff=0.926, trades=19/14
[2025-11-04 17:44:28] [54/222] 3697.T: best train_pf_eff=1.980, forward_pf_eff=999.000, trades=64/12
[2025-11-04 17:44:42] [55/222] 4005.T: best train_pf_eff=2.176, forward_pf_eff=2.139, trades=30/10
[2025-11-04 17:44:45] [56/222] 402A.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-04 17:44:51] [57/222] 4088.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-04 17:44:51] [58/222] 4004.T: best train_pf_eff=0.093, forward_pf_eff=0.197, trades=119/27
[2025-11-04 17:44:53] [59/222] 4188.T: best train_pf_eff=0.331, forward_pf_eff=0.331, trades=12/6
[2025-11-04 17:45:19] [60/222] 4446.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-04 17:45:20] [61/222] 4062.T: best train_pf_eff=0.347, forward_pf_eff=999.000, trades=30/2
[2025-11-04 17:45:23] [62/222] 4063.T: best train_pf_eff=0.271, forward_pf_eff=0.300, trades=236/79
[2025-11-04 17:45:35] [63/222] 4385.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=14/3
[2025-11-04 17:45:40] [64/222] 4452.T: best train_pf_eff=0.270, forward_pf_eff=0.261, trades=226/99
[2025-11-04 17:45:45] [65/222] 4506.T: best train_pf_eff=1.524, forward_pf_eff=1.760, trades=83/35
[2025-11-04 17:45:48] [66/222] 4507.T: best train_pf_eff=0.043, forward_pf_eff=0.043, trades=50/25
[2025-11-04 17:45:52] [67/222] 4528.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-04 17:45:52] [68/222] 4502.T: best train_pf_eff=0.210, forward_pf_eff=0.154, trades=174/66
[2025-11-04 17:45:54] [69/222] 4503.T: best train_pf_eff=1.789, forward_pf_eff=999.000, trades=97/40
[2025-11-04 17:46:06] [70/222] 4543.T: best train_pf_eff=1.694, forward_pf_eff=0.967, trades=25/36
[2025-11-04 17:46:10] [71/222] 4571.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-04 17:46:10] [72/222] 4519.T: best train_pf_eff=0.212, forward_pf_eff=0.133, trades=143/21
[2025-11-04 17:46:14] [73/222] 4586.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=21/7
[2025-11-04 17:46:17] [74/222] 4592.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=15/9
[2025-11-04 17:46:18] [75/222] 4612.T: best train_pf_eff=7.442, forward_pf_eff=7.442, trades=16/8
[2025-11-04 17:46:38] [76/222] 4568.T: best train_pf_eff=0.524, forward_pf_eff=999.000, trades=92/7
[2025-11-04 17:46:39] [77/222] 4680.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-04 17:47:02] [78/222] 4751.T: best train_pf_eff=0.248, forward_pf_eff=0.248, trades=18/9
[2025-11-04 17:47:04] [79/222] 4661.T: best train_pf_eff=0.665, forward_pf_eff=0.384, trades=189/77
[2025-11-04 17:47:20] [80/222] 4689.T: best train_pf_eff=1.557, forward_pf_eff=1.841, trades=60/21
