[2025-11-03 11:28:52] Run started
[2025-11-03 11:28:52] Run type resolved to weekend
[2025-11-03 11:28:53] Codes limited via output\\bt30\\NIGHTLY_20251101\\universe_amt_top_150_2025-10-31.csv: 150 tickers (was 20)
[2025-11-03 11:29:27] Fetching Yahoo Finance 1m bars for 1 tickers (lookback=60, chunk=5)
[2025-11-03 11:29:50] Entry window marks set: 170891 rows flagged out of 1760681
[2025-11-03 11:29:52] Liquidity filter q=0.50 kept 135 tickers and 884678 rows
[2025-11-03 11:29:52] Using 1 rolling slices (train=12, forward=20)
[2025-11-03 11:29:52] Parameter grid size: 24 (mode=coarse, signal=j-cross)
[2025-11-03 11:29:56] [1/135] 1306.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/5
[2025-11-03 11:29:56] [2/135] 1579.T: best train_pf_eff=0.000, forward_pf_eff=999.000, trades=0/2
[2025-11-03 11:29:57] [3/135] 1570.T: best train_pf_eff=0.000, forward_pf_eff=0.359, trades=0/12
[2025-11-03 11:29:57] [4/135] 1360.T: best train_pf_eff=0.000, forward_pf_eff=1.109, trades=0/6
[2025-11-03 11:29:57] [5/135] 1357.T: best train_pf_eff=0.000, forward_pf_eff=0.275, trades=0/8
[2025-11-03 11:29:58] [6/135] 1605.T: best train_pf_eff=0.657, forward_pf_eff=0.000, trades=6/1
[2025-11-03 11:29:58] [7/135] 2432.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-03 11:29:59] [8/135] 1911.T: best train_pf_eff=999.000, forward_pf_eff=0.000, trades=1/0
[2025-11-03 11:29:59] [9/135] 247A.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-03 11:30:00] [10/135] 2802.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-03 11:30:01] [11/135] 2502.T: best train_pf_eff=999.000, forward_pf_eff=3.938, trades=2/6
[2025-11-03 11:30:03] [12/135] 3064.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-03 11:30:03] [13/135] 2914.T: best train_pf_eff=999.000, forward_pf_eff=0.039, trades=1/13
[2025-11-03 11:30:03] [14/135] 285A.T: best train_pf_eff=0.000, forward_pf_eff=999.000, trades=0/8
[2025-11-03 11:30:04] [15/135] 3350.T: best train_pf_eff=0.000, forward_pf_eff=999.000, trades=0/1
[2025-11-03 11:30:06] [16/135] 3382.T: best train_pf_eff=0.821, forward_pf_eff=0.104, trades=14/10
[2025-11-03 11:30:07] [17/135] 3905.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-03 11:30:07] [18/135] 3436.T: best train_pf_eff=0.000, forward_pf_eff=999.000, trades=0/3
[2025-11-03 11:30:07] [19/135] 4005.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-03 11:30:09] [20/135] 3697.T: best train_pf_eff=0.000, forward_pf_eff=999.000, trades=0/7
[2025-11-03 11:30:10] [21/135] 4004.T: best train_pf_eff=0.000, forward_pf_eff=1.412, trades=0/2
[2025-11-03 11:30:11] [22/135] 4188.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-03 11:30:13] [23/135] 4063.T: best train_pf_eff=0.000, forward_pf_eff=1.041, trades=3/3
[2025-11-03 11:30:13] [24/135] 4062.T: best train_pf_eff=999.000, forward_pf_eff=0.000, trades=4/0
[2025-11-03 11:30:14] [25/135] 4503.T: best train_pf_eff=0.000, forward_pf_eff=999.000, trades=0/1
[2025-11-03 11:30:15] [26/135] 4502.T: best train_pf_eff=0.099, forward_pf_eff=0.169, trades=8/10
[2025-11-03 11:30:16] [27/135] 4528.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-03 11:30:17] [28/135] 4506.T: best train_pf_eff=0.000, forward_pf_eff=999.000, trades=2/2
[2025-11-03 11:30:18] [29/135] 4543.T: best train_pf_eff=0.000, forward_pf_eff=999.000, trades=0/2
[2025-11-03 11:30:19] [30/135] 4519.T: best train_pf_eff=0.440, forward_pf_eff=999.000, trades=4/3
[2025-11-03 11:30:21] [31/135] 4689.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-03 11:30:21] [32/135] 4568.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=5/5
[2025-11-03 11:30:22] [33/135] 4661.T: best train_pf_eff=0.210, forward_pf_eff=0.252, trades=9/2
[2025-11-03 11:30:24] [34/135] 4901.T: best train_pf_eff=0.000, forward_pf_eff=19.557, trades=0/2
[2025-11-03 11:30:25] [35/135] 4755.T: best train_pf_eff=2.233, forward_pf_eff=1.217, trades=5/4
[2025-11-03 11:30:26] [36/135] 5411.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-03 11:30:27] [37/135] 5016.T: best train_pf_eff=1.845, forward_pf_eff=0.077, trades=4/6
[2025-11-03 11:30:27] [38/135] 5401.T: best train_pf_eff=0.884, forward_pf_eff=0.177, trades=9/8
[2025-11-03 11:30:28] [39/135] 5108.T: best train_pf_eff=13.225, forward_pf_eff=0.000, trades=5/6
[2025-11-03 11:30:32] [40/135] 5706.T: best train_pf_eff=0.524, forward_pf_eff=0.000, trades=2/1
[2025-11-03 11:30:33] [41/135] 5713.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=1/1
[2025-11-03 11:30:34] [42/135] 5803.T: best train_pf_eff=999.000, forward_pf_eff=1.671, trades=3/4
[2025-11-03 11:30:34] [43/135] 5802.T: best train_pf_eff=0.086, forward_pf_eff=999.000, trades=3/2
[2025-11-03 11:30:34] [44/135] 5801.T: best train_pf_eff=3.553, forward_pf_eff=999.000, trades=4/3
[2025-11-03 11:30:35] [45/135] 6098.T: best train_pf_eff=3.011, forward_pf_eff=999.000, trades=5/5
[2025-11-03 11:30:37] [46/135] 6178.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-03 11:30:38] [47/135] 6326.T: best train_pf_eff=0.000, forward_pf_eff=0.000, trades=0/0
[2025-11-03 11:30:38] [48/135] 6301.T: best train_pf_eff=0.638, forward_pf_eff=0.106, trades=4/7
[2025-11-03 11:30:38] [49/135] 6146.T: best train_pf_eff=999.000, forward_pf_eff=999.000, trades=1/4
