mode,code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,TMAX,train_wins,train_losses,train_flats,train_trades,train_winrate,train_pf,train_pf_eff,train_exp_bp,train_slices_pass,train_slices_total,forward_wins,forward_losses,forward_flats,forward_trades,forward_winrate,forward_pf,forward_pf_eff,forward_exp_bp,forward_slices_pass,forward_slices_total
refine,2413.T,5,1.0,1.0,0.4,0.01,0.01,60,5,0,0,5,1.0,999.0,999.0,0.9992,0,2,3,0,0,3,1.0,999.0,999.0,0.9992,0,2
refine,4004.T,8,2.0,1.0,0.4,0.01,0.01,60,3,6,2,11,0.2727272727272727,1.0,0.7491007194244604,-0.1826181818181818,0,2,0,6,3,9,0.0,0.0,0.0,-1.0008,0,2
refine,5706.T,1,1.5,2.0,0.4,0.01,0.01,60,14,9,1,24,0.5833333333333334,1.1666666666666667,1.0490203918432628,0.04086666666666683,0,2,6,4,1,11,0.5454545454545454,1.125,0.8991603358656537,-0.09170909090909096,0,2
refine,6323.T,5,1.0,1.0,0.4,0.01,0.01,60,2,0,0,2,1.0,999.0,999.0,0.9992,0,2,1,3,1,5,0.2,0.3333333333333333,0.24960031974420466,-0.6008,0,2
refine,6981.T,5,2.0,1.0,0.4,0.05,0.03,60,3,11,1,15,0.2,0.5454545454545454,0.49940047961630696,-0.4008,0,2,2,4,1,7,0.2857142857142857,1.0,0.7990407673860912,-0.14365714285714282,0,2
refine,7532.T,5,1.0,1.0,0.4,0.01,0.01,60,4,0,0,4,1.0,999.0,999.0,0.9992,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0,2
refine,8306.T,5,2.0,1.0,0.4,0.03,0.01,60,4,17,2,23,0.17391304347826086,0.47058823529411764,0.42054777230846907,-0.47906086956521726,0,2,1,5,1,7,0.14285714285714285,0.4,0.332933653077538,-0.5722285714285713,0,2
refine,8729.T,1,2.0,1.0,0.4,0.01,0.03,60,5,8,0,13,0.38461538461538464,1.25,1.2485011990407675,0.15304615384615394,0,2,3,4,1,8,0.375,1.5,1.1985611510791367,0.12420000000000009,0,2
refine,9843.T,3,1.2,1.5,0.4,0.05,0.01,60,4,6,0,10,0.4,0.5333333333333333,0.5326936744847194,-0.4207999999999999,0,2,4,3,0,7,0.5714285714285714,1.0666666666666667,1.0653873489694385,0.042057142857142904,0,2
