code,ATR_n_BACK,TPk_BACK,SLk_BACK,J_th_BACK,dJ_th_BACK,vEMA_th_BACK,winrate_BACK,pf_BACK,trades_BACK,PF_eff_BACK,winrate_FWD,pf_FWD,trades_FWD,ATR_n_FWD,TPk_FWD,SLk_FWD,J_th_FWD,dJ_th_FWD,vEMA_th_FWD,PF_eff_FWD
6702.T,5,1.2,2.0,1.0,0.05,0.02,0.3795180722891566,0.37425742574257426,166,0.36659899147137265,0.21568627450980393,0.1692307692307692,51,5,1.2,2.0,1.0,0.05,0.02,0.1648240703718513
6723.T,3,1.2,2.0,0.8,0.02,0.02,0.46408839779005523,0.5305263157894736,181,0.5190336236639363,0.3880597014925373,0.3804878048780488,67,3,1.2,2.0,0.8,0.02,0.02,0.380082113496065
6740.T,1,0.8,1.5,0.8,0.02,0.02,1.0,999.0,2,,1.0,999.0,2,1,0.8,1.5,0.8,0.02,0.02,
6752.T,2,1.2,2.0,0.8,0.05,0.02,0.4437869822485207,0.4787234042553192,169,0.47821297013109654,0.36507936507936506,0.37297297297297294,63,2,1.2,2.0,0.8,0.05,0.02,0.3446321471411436
6753.T,5,1.2,2.0,1.0,0.02,0.05,0.5,0.6086956521739131,140,0.599360255897641,0.3,0.2571428571428571,70,5,1.2,2.0,1.0,0.02,0.05,0.256868681098989
6758.T,5,1.2,2.0,0.6,0.05,0.05,0.26973684210526316,0.2236363636363636,152,0.2213853197459755,0.25,0.19999999999999998,48,5,1.2,2.0,0.6,0.05,0.05,0.19978675196588033
6762.T,5,1.2,2.0,1.0,0.05,0.05,0.3821138211382114,0.37105263157894736,123,0.3706570003577517,0.425531914893617,0.5,47,5,1.2,2.0,1.0,0.05,0.05,0.44397055992417844
6814.T,3,1.2,2.0,0.6,0.05,0.05,0.27807486631016043,0.23458646616541354,187,0.23086469116057282,0.22857142857142856,0.1846153846153846,70,3,1.2,2.0,0.6,0.05,0.05,0.1775882239696714
6845.T,1,1.2,1.5,0.8,0.05,0.05,0.26785714285714285,0.2926829268292683,112,0.29233189453429714,0.10909090909090909,0.09999999999999999,55,1,1.2,1.5,0.8,0.05,0.05,0.09784169531351988
6857.T,3,1.2,2.0,0.6,0.05,0.05,0.4793388429752066,0.58,121,0.5517919816200504,0.3125,0.3103448275862069,48,3,1.2,2.0,0.6,0.05,0.05,0.27243647995347314
6869.T,3,1.2,2.0,0.8,0.05,0.02,0.2727272727272727,0.22666666666666666,187,0.22476009596161536,0.15789473684210525,0.11249999999999999,76,3,1.2,2.0,0.8,0.05,0.02,0.1123800479808077
6902.T,1,1.2,1.5,0.6,0.02,0.05,0.24060150375939848,0.256,133,0.2531613502501636,0.2545454545454545,0.28,55,1,1.2,1.5,0.6,0.02,0.05,0.27284310156534397
6920.T,2,1.2,1.5,1.0,0.02,0.05,0.25165562913907286,0.27142857142857146,151,0.2687038888993717,0.4,0.5538461538461538,45,2,1.2,1.5,1.0,0.02,0.05,0.5326936744847194
6954.T,3,1.2,1.5,1.0,0.05,0.05,0.31543624161073824,0.3722772277227723,149,0.3681853338350265,0.12280701754385964,0.112,57,3,1.2,1.5,1.0,0.05,0.05,0.11186567164179104
6963.T,3,1.2,2.0,1.0,0.05,0.05,0.46987951807228917,0.5379310344827586,166,0.5312511359092728,0.2857142857142857,0.25263157894736843,56,3,1.2,2.0,1.0,0.05,0.05,0.2397441023590564
6965.T,3,1.2,2.0,0.6,0.02,0.02,0.36507936507936506,0.3508474576271186,189,0.3446321471411436,0.296875,0.2780487804878049,64,3,1.2,2.0,0.6,0.02,0.02,0.25306321915678176
6966.T,2,1.2,2.0,1.0,0.02,0.05,0.3404255319148936,0.31999999999999995,141,0.30934722885039534,0.2857142857142857,0.24615384615384614,56,2,1.2,2.0,1.0,0.02,0.05,0.2397441023590564
6971.T,1,1.2,1.5,0.6,0.02,0.05,0.2905982905982906,0.32771084337349393,117,0.32731779998458665,0.31746031746031744,0.38095238095238093,63,1,1.2,1.5,0.6,0.02,0.05,0.37164674964050187
6976.T,1,1.2,1.5,1.0,0.05,0.02,0.2714285714285714,0.2980392156862745,140,0.2976817592708725,0.09259259259259259,0.08333333333333333,54,1,1.2,1.5,1.0,0.05,0.02,0.08153474609459989
6981.T,3,1.2,2.0,0.6,0.05,0.05,0.3684210526315789,0.35,171,0.34962681594029055,0.2542372881355932,0.20930232558139536,59,3,1.2,2.0,0.6,0.05,0.05,0.20432735996510487
