run,code,ATR_n,TPk,SLk,J_th,train_trades,train_pf_eff,train_exp_bp,forward_trades,forward_pf_eff,forward_exp_bp
AM15_jonly,5706.T,8,1.0,2.0,0.3,40,0.5873057833965866,-18.676591725538465,23,999.0,52.37299757266038
AM15_jonly,8316.T,1,1.0,2.0,0.6,65,0.5886324478776758,-7.220431098319028,17,999.0,10.61587979142852
AM15_jonly,4568.T,3,1.0,2.0,0.3,77,1.0880044682305516,1.4842200873528346,13,999.0,24.48928118626672
AM15_jonly,285A.T,1,1.0,2.0,0.6,47,1.4243848249306748,15.64552545913622,12,999.0,45.68344888054926
AM15_jonly,8411.T,8,1.5,2.0,1.0,41,1.7197869968643351,10.750771004583164,8,999.0,29.90133502692083
AM15_jonly,1360.T,1,2.5,0.8,0.6,55,1.270055556306483,4.297732093345407,7,999.0,60.79812299518637
AM15_jonly,1579.T,1,1.0,1.5,0.4,0,0.0,0.0,7,999.0,13.496534064984328
AM15_jonly,4755.T,3,2.5,2.0,0.6,16,0.433512620205445,-26.53854353605504,6,999.0,68.8312713259132
AM15_jonly,6752.T,5,2.5,2.0,0.8,20,3.06477164072695,57.592416051492265,5,999.0,50.26154289393331
AM15_jonly,7735.T,1,2.5,1.5,1.2,24,0.6724901673771484,-11.09474939310806,7,3.8044745535366418,41.89610339495099
AM15_jonly,4062.T,3,2.0,2.0,1.0,17,3.1471949778125703,31.829200610900177,8,1.678612089107613,22.91493527777329
AM15_jonly,6861.T,1,1.5,0.8,1.0,41,1.100451500852787,0.8918001797053516,6,1.6759106436329243,4.524318170109613
AM15_jonly,6758.T,8,2.0,1.2,0.3,74,1.070795504207366,1.8118576159610296,28,1.5516202726803676,8.184517649603093
AM15_jonly,4519.T,2,2.5,2.0,1.2,1,999.0,46.01951672862454,7,1.2322203019789162,6.545475476150796
