run,code,ATR_n,TPk,SLk,J_th,train_trades,train_pf_eff,train_exp_bp,forward_trades,forward_pf_eff,forward_exp_bp
AM15_jcross,5706.T,8,1.0,2.0,0.3,13,0.2815045607104367,-53.61358624847607,9,999.0,52.39868355230843
AM15_jcross,7012.T,8,2.5,2.0,1.0,13,0.5191300996343694,-22.773506557597408,8,999.0,90.17811386227044
AM15_jcross,8306.T,8,1.0,2.0,0.8,18,0.4833615305432296,-8.899888981573758,8,999.0,10.866533393012894
AM15_jcross,6526.T,1,1.0,2.0,0.6,23,0.4947996112773653,-23.417775322653966,7,999.0,27.706721692492163
AM15_jcross,6525.T,3,1.2,2.0,0.8,12,0.6954765432676959,-19.21734670453399,6,999.0,50.49949052404612
AM15_jcross,3350.T,8,2.0,1.5,0.8,9,2.253881131156286,66.67722056669908,5,999.0,112.41274480031996
AM15_jcross,9983.T,8,1.2,2.0,0.8,12,0.6111391358990542,-5.67527054834764,5,999.0,48.23316074360048
AM15_jcross,3692.T,8,1.5,2.0,0.8,2,0.0,-350.11063269052954,5,13.181014382793878,96.24755829499333
AM15_jcross,8729.T,5,1.2,1.0,0.4,13,2.340603974218548,34.446376707447754,6,4.732499815442885,21.699837463259048
AM15_jcross,4755.T,1,2.5,2.0,0.8,3,0.0,-65.74219307725154,5,4.399737291354392,35.50475392074356
