code,mode,signal_mode,forward_trades,forward_winrate,forward_pf,forward_pf_eff,forward_exp_bp,forward_slices_pass,forward_slices_total
1579.T,refine,j-cross,5,0.6,1.925374779173731,1.9253747791737308,15.087441683915415,1,1
3905.T,refine,j-cross,0,0.0,0.0,0.0,0.0,0,1
4568.T,refine,j-cross,5,1.0,999.0,999.0,36.01410382400592,1,1
4911.T,refine,j-cross,2,0.5,0.3465456257368957,0.3465456257368957,-7.2264366094977435,0,1
5706.T,refine,j-cross,6,1.0,999.0,999.0,78.70864016552297,1,1
6315.T,refine,j-cross,0,0.0,0.0,0.0,0.0,0,1
6525.T,refine,j-cross,5,1.0,999.0,999.0,45.386734581629035,1,1
6920.T,refine,j-cross,6,1.0,999.0,999.0,50.015828155657665,1,1
7003.T,refine,j-cross,2,0.0,0.0,0.0,-49.85608917653637,0,1
7735.T,refine,j-cross,6,1.0,999.0,999.0,53.246193419516324,1,1
8306.T,refine,j-cross,7,1.0,999.0,999.0,26.074969260962035,1,1
8308.T,refine,j-cross,0,0.0,0.0,0.0,0.0,0,1
8316.T,refine,j-cross,6,1.0,999.0,999.0,31.222129076447057,1,1
