run,code,ATR_n,TPk,SLk,J_th,train_trades,train_pf_eff,train_exp_bp,forward_trades,forward_pf_eff,forward_exp_bp
AM10_jonly,6594.T,5,1.0,2.0,0.3,35,0.7473863425022965,-7.602126736677509,8,999.0,31.273352845357763
AM10_jonly,5801.T,8,2.5,0.8,0.8,18,1.9751775729530017,22.83521784562752,6,2.3827442659402216,26.43243200956918
AM10_jonly,8002.T,1,1.2,1.5,0.3,27,0.9391269843423476,-0.7858197355100869,10,2.062623245875844,5.149895922877545
AM10_jcross,8306.T,1,1.5,0.8,0.4,14,0.6529895181412381,-6.366232286602058,7,999.0,26.074969260962035
AM10_jcross,5706.T,1,1.2,1.2,0.4,9,1.41801358951233,12.01358620227223,6,999.0,78.70864016552297
AM10_jcross,6920.T,5,1.2,0.8,0.3,17,0.8019205500622549,-6.563082825837459,6,999.0,50.01582815565767
AM10_jcross,7735.T,1,1.2,1.5,0.6,11,2.6265343078880106,27.868321715706887,6,999.0,53.24619341951632
AM10_jcross,8316.T,5,1.5,2.0,0.3,15,0.7765929353664979,-4.716327229687284,6,999.0,31.222129076447057
AM10_jcross,4568.T,2,1.2,2.0,0.3,12,0.2779025554432884,-34.50324632490489,5,999.0,36.01410382400592
AM10_jcross,6525.T,1,1.2,2.0,0.6,8,0.50013567710069,-47.32261712078044,5,999.0,45.38673458162904
AM10_jcross,1579.T,8,1.5,1.0,0.4,2,0.0,-30.011570277986657,5,1.9253747791737308,15.087441683915417
AM15_jonly,5706.T,8,1.0,2.0,0.3,40,0.5873057833965866,-18.676591725538465,23,999.0,52.37299757266038
AM15_jonly,8316.T,1,1.0,2.0,0.6,65,0.5886324478776758,-7.220431098319028,17,999.0,10.61587979142852
AM15_jonly,4568.T,3,1.0,2.0,0.3,77,1.0880044682305516,1.4842200873528346,13,999.0,24.48928118626672
AM15_jonly,285A.T,1,1.0,2.0,0.6,47,1.4243848249306748,15.64552545913622,12,999.0,45.68344888054926
AM15_jonly,8411.T,8,1.5,2.0,1.0,41,1.7197869968643351,10.750771004583164,8,999.0,29.90133502692083
AM15_jonly,1360.T,1,2.5,0.8,0.6,55,1.270055556306483,4.297732093345407,7,999.0,60.79812299518637
AM15_jonly,1579.T,1,1.0,1.5,0.4,0,0.0,0.0,7,999.0,13.496534064984328
AM15_jonly,4755.T,3,2.5,2.0,0.6,16,0.433512620205445,-26.538543536055037,6,999.0,68.8312713259132
AM15_jonly,6752.T,5,2.5,2.0,0.8,20,3.06477164072695,57.592416051492265,5,999.0,50.26154289393331
AM15_jonly,7735.T,1,2.5,1.5,1.2,24,0.6724901673771484,-11.09474939310806,7,3.8044745535366418,41.89610339495099
AM15_jonly,4062.T,3,2.0,2.0,1.0,17,3.1471949778125703,31.829200610900177,8,1.678612089107613,22.91493527777329
AM15_jonly,6861.T,1,1.5,0.8,1.0,41,1.100451500852787,0.8918001797053516,6,1.6759106436329243,4.524318170109613
AM15_jonly,6758.T,8,2.0,1.2,0.3,74,1.070795504207366,1.8118576159610296,28,1.5516202726803676,8.184517649603093
AM15_jonly,4519.T,2,2.5,2.0,1.2,1,999.0,46.01951672862454,7,1.2322203019789162,6.545475476150796
AM15_jcross,5706.T,8,1.0,2.0,0.3,13,0.2815045607104367,-53.61358624847607,9,999.0,52.39868355230843
AM15_jcross,7012.T,8,2.5,2.0,1.0,13,0.5191300996343694,-22.773506557597408,8,999.0,90.17811386227044
AM15_jcross,8306.T,8,1.0,2.0,0.8,18,0.4833615305432296,-8.899888981573758,8,999.0,10.866533393012894
AM15_jcross,6526.T,1,1.0,2.0,0.6,23,0.4947996112773653,-23.417775322653966,7,999.0,27.706721692492163
AM15_jcross,6525.T,3,1.2,2.0,0.8,12,0.6954765432676959,-19.21734670453399,6,999.0,50.49949052404612
AM15_jcross,3350.T,8,2.0,1.5,0.8,9,2.253881131156286,66.67722056669908,5,999.0,112.41274480031996
AM15_jcross,9983.T,8,1.2,2.0,0.8,12,0.6111391358990542,-5.67527054834764,5,999.0,48.23316074360048
AM15_jcross,3692.T,8,1.5,2.0,0.8,2,0.0,-350.11063269052954,5,13.181014382793878,96.24755829499333
AM15_jcross,8729.T,5,1.2,1.0,0.4,13,2.340603974218548,34.446376707447754,6,4.732499815442885,21.699837463259048
AM15_jcross,4755.T,1,2.5,2.0,0.8,3,0.0,-65.74219307725154,5,4.399737291354392,35.50475392074356
