code,ATR_n_BACK,TPk_BACK,SLk_BACK,J_th_BACK,dJ_th_BACK,vEMA_th_BACK,winrate_BACK,pf_BACK,trades_BACK,PF_eff_BACK,winrate_FWD,pf_FWD,trades_FWD,ATR_n_FWD,TPk_FWD,SLk_FWD,J_th_FWD,dJ_th_FWD,vEMA_th_FWD,PF_eff_FWD
1376.T,1,1.2,1.5,0.6,0.02,0.05,0.46153846153846156,0.6857142857142856,13,0.6848918671946391,0.25,0.26666666666666666,20,1,1.2,1.5,0.6,0.02,0.05,0.26634683724235964
1382.T,2,1.2,1.5,0.6,0.02,0.02,0.4,0.7999999999999999,5,0.5326936744847194,0.125,0.1263157894736842,24,2,1.2,1.5,0.6,0.02,0.02,0.11414864453243985
1401.T,3,1.2,1.5,0.6,0.02,0.05,0.6666666666666666,1.5999999999999999,3,1.5980810234541576,0.2826086956521739,0.325,46,3,1.2,1.5,0.6,0.02,0.05,0.31477353492278864
142A.T,2,1.2,1.5,0.8,0.02,0.02,0.5,0.7999999999999999,2,0.799040511727079,0.26666666666666666,0.32,15,2,1.2,1.5,0.8,0.02,0.02,0.29056018608257417
145A.T,5,1.2,1.5,0.6,0.02,0.05,0.5294117647058824,0.8999999999999999,17,0.8989205756929639,0.3076923076923077,0.35555555555555557,13,5,1.2,1.5,0.6,0.02,0.05,0.35512911632314625
1490.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0,0.0,0.0,0,1,0.8,1.5,0.6,0.02,0.02,0.0
1491.T,5,1.2,1.5,0.6,0.02,0.05,0.28,0.3111111111111111,25,0.31073797678275294,0.4166666666666667,0.5714285714285714,84,5,1.2,1.5,0.6,0.02,0.05,0.5707432226621993
1798.T,1,0.8,1.5,0.6,0.02,0.02,0.0,0.0,0,0.0,0.6,0.8000000000000002,5,1,0.8,1.5,0.6,0.02,0.02,0.7987739872068231
186A.T,2,1.2,2.0,0.8,0.02,0.02,0.31092436974789917,0.2810126582278481,119,0.27044304229527705,0.29365079365079366,0.25227272727272726,126,2,1.2,2.0,0.8,0.02,0.02,0.24917224121587325
1980.T,1,1.2,1.5,0.6,0.02,0.05,0.3157894736842105,0.39999999999999997,19,0.36878792848942105,0.3076923076923077,0.3764705882352941,26,1,1.2,1.5,0.6,0.02,0.05,0.35512911632314625
2138.T,2,0.8,1.5,1.0,0.02,0.05,1.0,999.0,4,,0.2777777777777778,0.20512820512820512,18,2,0.8,1.5,1.0,0.02,0.05,0.20481384287354437
