winrate,pf,trades,code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,PF_eff
0.25,0.26666666666666666,20,1376.T,1,1.2,1.5,0.6,0.02,0.05,0.26634683724235964
0.125,0.1263157894736842,24,1382.T,2,1.2,1.5,0.6,0.02,0.02,0.11414864453243985
0.2826086956521739,0.325,46,1401.T,3,1.2,1.5,0.6,0.02,0.05,0.31477353492278864
0.26666666666666666,0.32,15,142A.T,2,1.2,1.5,0.8,0.02,0.02,0.29056018608257417
0.3076923076923077,0.35555555555555557,13,145A.T,5,1.2,1.5,0.6,0.02,0.05,0.35512911632314625
0.0,0.0,0,1490.T,1,0.8,1.5,0.6,0.02,0.02,0.0
0.4166666666666667,0.5714285714285714,84,1491.T,5,1.2,1.5,0.6,0.02,0.05,0.5707432226621993
0.6,0.8000000000000002,5,1798.T,1,0.8,1.5,0.6,0.02,0.02,0.7987739872068231
0.29365079365079366,0.25227272727272726,126,186A.T,2,1.2,2.0,0.8,0.02,0.02,0.24917224121587325
0.3076923076923077,0.3764705882352941,26,1980.T,1,1.2,1.5,0.6,0.02,0.05,0.35512911632314625
0.2777777777777778,0.20512820512820512,18,2138.T,2,0.8,1.5,1.0,0.02,0.05,0.20481384287354437
0.2462686567164179,0.2613861386138614,134,2160.T,2,1.2,1.5,0.6,0.02,0.02,0.2610726424454812
0.2920353982300885,0.33,113,219A.T,3,1.2,1.5,0.6,0.05,0.05,0.3296042110874201
0.32432432432432434,0.3272727272727272,37,228A.T,1,1.2,2.0,0.6,0.05,0.02,0.28769292283086767
0.7777777777777778,1.866666666666667,9,2315.T,1,0.8,1.5,0.6,0.02,0.02,1.863805970149254
0.4,0.4444444444444444,20,2471.T,1,1.0,1.5,1.0,0.02,0.02,0.4438521677327648
0.20481927710843373,0.2193548387096774,83,2998.T,1,1.2,1.5,0.6,0.05,0.02,0.20581346514182336
0.21311475409836064,0.22127659574468084,61,319A.T,1,1.2,1.5,0.6,0.02,0.05,0.21640680525941725
0.6666666666666666,1.0666666666666667,3,3237.T,1,0.8,1.5,0.6,0.02,0.02,1.0650319829424304
0.2765957446808511,0.22941176470588234,47,3267.T,1,1.2,2.0,0.8,0.02,0.02,0.22916715666674511
0.23728813559322035,0.26046511627906976,59,3388.T,5,1.2,1.5,0.8,0.02,0.05,0.24859038142620238
0.08045977011494253,0.07088607594936709,87,338A.T,2,1.2,1.5,1.0,0.05,0.05,0.06991604477611942
0.25,0.26666666666666666,96,341A.T,5,1.2,1.5,1.0,0.05,0.02,0.26634683724235964
0.35,0.3333333333333333,100,3446.T,3,1.2,2.0,0.6,0.05,0.02,0.3227324454833451
0.4166666666666667,0.5714285714285714,24,3489.T,1,1.2,1.5,0.6,0.02,0.05,0.5707432226621993
