code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,TMAX,train_trades,train_winrate,train_pf,train_pf_eff,train_exp_bp,train_slices_pass,train_slices_total
1540.T,3,2.0,1.0,0.4,0.05,0.01,60,8,0.5,2.0,1.997601918465228,0.4992000000000001,0,2
4503.T,1,2.0,1.5,0.4,0.01,0.01,60,8,0.375,1.0,0.7992537313432837,-0.1882999999999999,0,2
5802.T,1,1.0,1.0,0.4,0.01,0.01,60,1,0.0,0.0,0.0,-1.0008,0,2
6723.T,1,1.5,1.0,0.4,0.01,0.01,60,12,0.08333333333333333,0.13636363636363635,0.13618196352009304,-0.7924666666666665,0,2
7011.T,8,2.0,1.0,0.6,0.01,0.01,60,12,0.3333333333333333,1.0,0.9988009592326139,-0.0008000000000000229,0,2
7741.T,1,1.2,1.5,0.6,0.01,0.01,60,17,0.29411764705882354,0.3333333333333333,0.3329335465529496,-0.7066823529411763,0,2
8316.T,1,2.0,1.0,0.4,0.05,0.01,60,25,0.2,0.5,0.49940047961630696,-0.4008,0,2
8750.T,1,1.0,1.0,1.0,0.01,0.05,60,2,1.0,999.0,999.0,0.9992,0,2
9983.T,1,2.0,1.0,0.4,0.05,0.01,60,21,0.23809523809523808,0.6666666666666666,0.6242505995203838,-0.2865142857142856,0,2
