winrate,pf,trades,code,ATR_n,TPk,SLk,J_th,dJ_th,vEMA_th,PF_eff
0.0,0.0,0,3923.T,5,1.2,1.5,0.6,0.02,0.05,0.0
0.0,0.0,0,3935.T,1,1.2,1.5,0.6,0.05,0.05,0.0
0.0,0.0,0,4004.T,5,1.2,2.5,0.6,0.02,0.02,0.0
0.0,0.0,0,4005.T,3,1.2,2.5,0.6,0.05,0.05,0.0
0.0,0.0,0,402A.T,1,1.2,2.5,0.6,0.05,0.02,0.0
0.0,0.0,0,4042.T,2,1.2,2.5,0.6,0.02,0.05,0.0
0.0,0.0,0,4043.T,2,1.2,2.5,0.6,0.05,0.02,0.0
0.0,0.0,0,4062.T,3,1.2,2.0,0.6,0.02,0.05,0.0
0.0,0.0,0,4063.T,3,1.2,2.5,0.6,0.05,0.05,0.0
0.0,0.0,0,4088.T,5,1.2,1.5,1.0,0.02,0.05,0.0
0.0,0.0,0,4176.T,1,1.2,1.5,0.8,0.02,0.02,0.0
0.0,0.0,0,4182.T,5,1.2,2.5,0.6,0.05,0.05,0.0
0.0,0.0,0,4188.T,5,1.2,2.5,0.6,0.05,0.02,0.0
0.0,0.0,0,4204.T,2,1.2,1.5,0.6,0.05,0.02,0.0
0.0,0.0,0,423A.T,2,1.2,1.5,1.0,0.05,0.05,0.0
0.0,0.0,0,4307.T,3,1.2,2.5,0.8,0.05,0.05,0.0
0.0,0.0,0,4385.T,5,1.2,2.5,0.6,0.02,0.05,0.0
0.0,0.0,0,4443.T,5,1.2,2.5,0.6,0.02,0.05,0.0
0.0,0.0,0,4446.T,5,1.2,1.5,1.0,0.05,0.02,0.0
0.0,0.0,0,4452.T,5,1.2,2.5,0.6,0.02,0.05,0.0
0.0,0.0,0,4502.T,2,1.2,2.5,0.6,0.02,0.05,0.0
0.0,0.0,0,4503.T,5,1.2,2.5,0.6,0.02,0.02,0.0
0.0,0.0,0,4506.T,2,1.2,2.5,1.0,0.05,0.02,0.0
0.0,0.0,0,4507.T,3,1.2,2.5,0.6,0.05,0.02,0.0
0.0,0.0,0,4519.T,2,1.2,2.5,0.6,0.02,0.02,0.0
0.0,0.0,0,4523.T,5,1.2,2.5,0.8,0.02,0.05,0.0
0.0,0.0,0,4528.T,5,1.2,2.5,0.6,0.05,0.02,0.0
0.0,0.0,0,4543.T,5,1.2,2.0,0.6,0.02,0.05,0.0
0.0,0.0,0,4568.T,5,1.2,2.5,1.0,0.05,0.02,0.0
0.0,0.0,0,4571.T,2,1.2,1.5,0.6,0.05,0.05,0.0
0.0,0.0,0,4578.T,1,1.2,2.5,0.6,0.05,0.02,0.0
0.0,0.0,0,4587.T,5,1.2,2.5,0.6,0.02,0.02,0.0
0.0,0.0,0,4588.T,1,1.2,2.5,1.0,0.02,0.02,0.0
0.0,0.0,0,4592.T,3,1.2,2.5,0.6,0.02,0.02,0.0
0.0,0.0,0,4612.T,2,1.2,2.5,0.6,0.02,0.02,0.0
0.0,0.0,0,4661.T,5,1.2,2.5,0.6,0.05,0.02,0.0
0.0,0.0,0,4680.T,2,1.2,1.5,1.0,0.05,0.02,0.0
0.0,0.0,0,4689.T,2,1.2,2.5,1.0,0.02,0.02,0.0
0.0,0.0,0,4704.T,3,1.2,2.5,0.6,0.02,0.02,0.0
0.0,0.0,0,4732.T,1,1.2,2.5,0.6,0.02,0.02,0.0
0.0,0.0,0,4751.T,5,1.2,2.5,0.6,0.05,0.02,0.0
0.0,0.0,0,4755.T,3,1.2,2.5,0.6,0.05,0.05,0.0
0.0,0.0,0,4814.T,1,1.2,2.5,0.6,0.02,0.05,0.0
0.0,0.0,0,4889.T,2,1.2,2.5,0.6,0.02,0.02,0.0
0.0,0.0,0,4901.T,3,1.2,2.5,0.6,0.05,0.05,0.0
0.0,0.0,0,4902.T,5,1.2,2.5,0.6,0.02,0.02,0.0
0.0,0.0,0,4911.T,5,1.2,2.5,0.8,0.02,0.02,0.0
0.0,0.0,0,5016.T,3,1.2,2.5,0.6,0.02,0.02,0.0
0.0,0.0,0,5019.T,5,1.2,2.5,1.0,0.05,0.05,0.0
0.0,0.0,0,5020.T,5,1.2,2.5,1.0,0.05,0.02,0.0
0.0,0.0,0,5076.T,3,1.2,1.5,0.6,0.05,0.05,0.0
0.0,0.0,0,5101.T,5,1.2,2.5,0.6,0.02,0.02,0.0
0.0,0.0,0,5105.T,5,1.2,2.0,0.6,0.05,0.05,0.0
0.0,0.0,0,5108.T,5,1.2,2.5,1.0,0.05,0.02,0.0
0.0,0.0,0,5246.T,3,1.2,2.5,0.6,0.05,0.02,0.0
0.0,0.0,0,5253.T,5,1.2,2.5,0.6,0.02,0.05,0.0
0.0,0.0,0,5401.T,1,1.2,2.5,0.6,0.05,0.02,0.0
