winrate_TR,pf_TR,trades_TR,code,ATR_n_TR,TPk_TR,SLk_TR,J_th_TR,dJ_th_TR,vEMA_th_TR,PF_eff_TR,winrate_FW,pf_FW,trades_FW,ATR_n_FW,TPk_FW,SLk_FW,J_th_FW,dJ_th_FW,vEMA_th_FW,PF_eff_FW
0.2777777777777778,0.18756660746003553,792,1321.T,1,1.2,2.5,0.6,0.05,0.02,0.18443328903981498,0.0,0.0,0,1,1.2,2.5,0.6,0.05,0.02,0.0
0.32249674902470743,0.23069767441860461,769,1357.T,5,1.2,2.5,0.6,0.05,0.05,0.22825832010148311,0.0,0.0,0,5,1.2,2.5,0.6,0.05,0.05,0.0
0.3166421207658321,0.22582056892778993,679,1360.T,1,1.2,2.5,0.6,0.05,0.02,0.22219441502857018,0.0,0.0,0,1,1.2,2.5,0.6,0.05,0.02,0.0
0.1961023142509135,0.19544764795144157,821,1407.T,3,1.2,1.5,1.0,0.05,0.05,0.19491745816372683,0.0,0.0,0,3,1.2,1.5,1.0,0.05,0.05,0.0
0.3075313807531381,0.2147945205479452,956,1458.T,5,1.2,2.5,0.6,0.05,0.02,0.21296194281274103,0.0,0.0,0,5,1.2,2.5,0.6,0.05,0.02,0.0
0.36774193548387096,0.2825473321858864,930,1540.T,5,1.2,2.5,0.6,0.05,0.02,0.2789083003642916,0.0,0.0,0,5,1.2,2.5,0.6,0.05,0.02,0.0
0.3175745118191161,0.37682926829268293,973,1541.T,2,1.2,1.5,0.6,0.02,0.02,0.37184264777660747,0.0,0.0,0,2,1.2,1.5,0.6,0.02,0.02,0.0
0.42748091603053434,0.3690617848970252,786,1542.T,5,1.2,2.5,1.0,0.05,0.02,0.35804649178929415,0.0,0.0,0,5,1.2,2.5,1.0,0.05,0.02,0.0
0.34027055150884494,0.25113599999999997,961,1570.T,2,1.2,2.5,0.6,0.02,0.02,0.24732678602784017,0.0,0.0,0,2,1.2,2.5,0.6,0.02,0.02,0.0
0.3300395256916996,0.23751111111111112,1012,1579.T,2,1.2,2.5,0.6,0.05,0.02,0.23622694425099605,0.0,0.0,0,2,1.2,2.5,0.6,0.05,0.02,0.0
0.20842105263157895,0.21148197596795726,950,1605.T,5,1.2,1.5,0.6,0.05,0.02,0.21038566665154473,0.0,0.0,0,5,1.2,1.5,0.6,0.05,0.02,0.0
0.4,0.5333333333333333,65,168A.T,3,1.2,1.5,1.0,0.05,0.05,0.5326936744847194,0.0,0.0,0,3,1.2,1.5,1.0,0.05,0.05,0.0
0.32538860103626943,0.23295208655332303,965,1802.T,5,1.2,2.5,0.6,0.02,0.02,0.2312923766084561,0.0,0.0,0,5,1.2,2.5,0.6,0.02,0.02,0.0
0.3443496801705757,0.25542009884678746,938,1803.T,3,1.2,2.5,0.6,0.02,0.05,0.251848904285588,0.0,0.0,0,3,1.2,2.5,0.6,0.02,0.05,0.0
0.26344676180021953,0.21524663677130046,911,1812.T,5,1.2,2.0,0.6,0.02,0.05,0.21437624652076576,0.0,0.0,0,5,1.2,2.0,0.6,0.02,0.05,0.0
0.3932432432432432,0.316734693877551,740,186A.T,2,1.2,2.5,1.0,0.02,0.05,0.31078446879181293,0.0,0.0,0,2,1.2,2.5,1.0,0.02,0.05,0.0
0.3915289256198347,0.310974358974359,968,1893.T,5,1.2,2.5,1.0,0.02,0.02,0.3085578319521794,0.0,0.0,0,5,1.2,2.5,1.0,0.02,0.02,0.0
0.36496350364963503,0.27768595041322314,959,1911.T,5,1.2,2.5,1.0,0.02,0.02,0.27558997212845915,0.0,0.0,0,5,1.2,2.5,1.0,0.02,0.02,0.0
0.3445867287543655,0.2546236559139785,859,1925.T,5,1.2,2.5,0.6,0.05,0.05,0.2521134267229868,0.0,0.0,0,5,1.2,2.5,0.6,0.05,0.05,0.0
0.3587521663778163,0.2775418994413408,577,1928.T,1,1.2,2.5,0.6,0.05,0.02,0.2682756653006174,0.0,0.0,0,1,1.2,2.5,0.6,0.05,0.02,0.0
0.22819593787335724,0.23653250773993806,837,1942.T,3,1.2,1.5,0.8,0.05,0.05,0.23624882003076178,0.0,0.0,0,3,1.2,1.5,0.8,0.05,0.05,0.0
0.2712765957446808,0.30357142857142855,940,2036.T,5,1.2,1.5,0.6,0.02,0.02,0.2974530372122702,0.0,0.0,0,5,1.2,1.5,0.6,0.02,0.02,0.0
0.25103734439834025,0.2681440443213296,964,2127.T,5,1.2,1.5,1.0,0.02,0.02,0.2678224429888547,0.0,0.0,0,5,1.2,1.5,1.0,0.02,0.02,0.0
0.3532440782698249,0.26683954619124794,971,215A.T,5,1.2,2.5,0.8,0.02,0.02,0.2619070177797882,0.0,0.0,0,5,1.2,2.5,0.8,0.02,0.02,0.0
0.23529411764705882,0.24648648648648647,969,2160.T,3,1.2,1.5,0.6,0.05,0.02,0.24585861899294736,0.0,0.0,0,3,1.2,1.5,0.6,0.05,0.02,0.0
0.3903868698710434,0.3103689320388349,853,2181.T,3,1.2,2.5,1.0,0.05,0.02,0.30708142625129187,0.0,0.0,0,3,1.2,2.5,1.0,0.05,0.02,0.0
0.3365487674169346,0.24547231270358308,933,218A.T,5,1.2,2.5,0.8,0.02,0.02,0.24324933307286745,0.0,0.0,0,5,1.2,2.5,0.8,0.02,0.02,0.0
0.4017991004497751,0.32484848484848483,667,219A.T,2,1.2,2.5,1.0,0.05,0.05,0.3220880095311857,0.0,0.0,0,2,1.2,2.5,1.0,0.05,0.05,0.0
0.2820121951219512,0.19096774193548388,656,2267.T,1,1.2,2.5,1.0,0.05,0.05,0.18834907012346283,0.0,0.0,0,1,1.2,2.5,1.0,0.05,0.05,0.0
0.32127659574468087,0.22900473933649287,940,2269.T,2,1.2,2.5,0.6,0.05,0.02,0.22698592249853092,0.0,0.0,0,2,1.2,2.5,0.6,0.05,0.02,0.0
0.3004059539918809,0.2114285714285714,739,2334.T,3,1.2,2.5,0.6,0.02,0.05,0.20590888671911256,0.0,0.0,0,3,1.2,2.5,0.6,0.02,0.05,0.0
0.33607520564042304,0.2455813953488372,851,2413.T,5,1.2,2.5,0.6,0.05,0.05,0.2427337942124007,0.0,0.0,0,5,1.2,2.5,0.6,0.05,0.05,0.0
0.3113026819923372,0.21910112359550563,1044,2432.T,2,1.2,2.5,0.6,0.02,0.02,0.21675400450437227,0.0,0.0,0,2,1.2,2.5,0.6,0.02,0.02,0.0
0.32210526315789473,0.23167192429022082,475,2433.T,1,1.2,2.5,1.0,0.05,0.02,0.22784957260881483,0.0,0.0,0,1,1.2,2.5,1.0,0.05,0.02,0.0
0.3393939393939394,0.3116883116883117,825,247A.T,5,1.2,2.0,0.6,0.05,0.05,0.30792820486484307,0.0,0.0,0,5,1.2,2.0,0.6,0.05,0.05,0.0
0.32570659488559894,0.23466666666666663,743,2502.T,5,1.2,2.5,0.8,0.05,0.05,0.2316275957362307,0.0,0.0,0,5,1.2,2.5,0.8,0.05,0.05,0.0
0.3147751605995717,0.22223622047244096,934,2503.T,5,1.2,2.5,0.6,0.05,0.02,0.22028250959692897,0.0,0.0,0,5,1.2,2.5,0.6,0.05,0.02,0.0
0.35978835978835977,0.27199999999999996,756,2670.T,3,1.2,2.5,1.0,0.05,0.05,0.26948599588627503,0.0,0.0,0,3,1.2,2.5,1.0,0.05,0.05,0.0
0.27035490605427975,0.22424242424242424,958,2726.T,5,1.2,2.0,0.8,0.05,0.02,0.22208055261443355,0.0,0.0,0,5,1.2,2.0,0.8,0.05,0.02,0.0
0.44497041420118344,0.3881290322580645,845,2768.T,5,1.2,2.5,1.0,0.05,0.02,0.3844391969409874,0.0,0.0,0,5,1.2,2.5,1.0,0.05,0.02,0.0
0.20809248554913296,0.2117647058823529,346,276A.T,2,1.2,1.5,1.0,0.05,0.02,0.20996684979689667,0.0,0.0,0,2,1.2,1.5,1.0,0.05,0.02,0.0
0.3127853881278539,0.21956594323873121,876,2801.T,5,1.2,2.5,0.6,0.02,0.05,0.21825627095010666,0.0,0.0,0,5,1.2,2.5,0.6,0.02,0.05,0.0
0.31688804554079697,0.22708215297450426,1054,2802.T,2,1.2,2.5,0.6,0.02,0.02,0.22244703916968792,0.0,0.0,0,2,1.2,2.5,0.6,0.02,0.02,0.0
0.44664031620553357,0.40781954887218047,759,285A.T,5,1.2,2.5,0.6,0.05,0.02,0.38704643085641166,0.0,0.0,0,5,1.2,2.5,0.6,0.05,0.02,0.0
0.2598752598752599,0.1694915254237288,962,2897.T,2,1.2,2.5,0.8,0.02,0.05,0.16837308690432548,0.0,0.0,0,2,1.2,2.5,0.8,0.02,0.05,0.0
