delta_bucket,count,mean,median,win
0-0.1,188,34.21109414329689,48.06538674224317,0.8670212765957447
0.1-0.2,193,19.040820731264553,35.63987241622678,0.772020725388601
0.2-0.4,271,27.595475317588193,40.60142934132401,0.7933579335793358
0.4-0.6,191,20.88059619727833,34.07912224832362,0.8219895287958116
>0.6,210,29.942964428926942,37.96500420572703,0.8904761904761904
