z_bucket,count,mean,median,win
<-1,108,19.475495078361323,29.966748735006213,0.8333333333333334
-1/-0.5,242,25.380454559746447,39.981835416692896,0.8140495867768595
-0.5/0,268,23.031930035526234,34.59969511419796,0.7985074626865671
0/0.5,173,33.833651344541295,43.95465530291905,0.8323699421965318
0.5/1,102,19.952553749106787,37.366323528194826,0.803921568627451
1/1.5,61,27.726142846621624,37.52896865600508,0.8852459016393442
>=1.5,42,31.548179519191226,39.38913630603223,0.8333333333333334
