date,code,session,signal_mode,side,entry_ts,exit_ts,entry_px,exit_px,bars,exit_reason,tp_px,sl_px,tp_dist_bp,sl_dist_bp,pnl_bp,pnl_yen,live_demo_class,budget_factor,forward_exp_boot_mean,scenario,signal_ts,fill_ts,entry_limit_px,adj_jth,candidate_id
2026-03-23,1802.T,AM0930,j-only,SELL,2026-03-23 09:13:00+09:00,2026-03-23 09:14:00+09:00,3715.0,3703.9970703125,1,TP,3703.9970703125,3737.005859375,29.617576547779272,59.235153095558545,21.617576547779272,43235.15309555854,LIVE_STRONG,2.0,3.992180957521199,baseline_current_all,,,,,
2026-03-23,6501.T,MID1030,j-cross,SELL,2026-03-23 10:30:00+09:00,2026-03-23 10:31:00+09:00,4777.0,4797.718658495258,1,SL,4751.101676880928,4797.718658495258,54.2146182103251,43.37169456826008,-51.37169456826008,-51371.69456826008,LIVE_BASE,1.0,6.550347328802483,baseline_current_all,,,,,
2026-03-23,6702.T,AM15,j-only,BUY,2026-03-23 09:09:00+09:00,2026-03-23 09:21:00+09:00,3253.0,3269.5006858710562,12,TP,3269.5006858710562,3219.9986282578875,50.72451850924146,101.44903701848293,42.72451850924146,42724.51850924146,LIVE_BASE,1.0,11.670457995934898,baseline_current_all,,,,,
2026-03-23,7012.T,AM1030,j-cross,BUY,2026-03-23 09:25:00+09:00,2026-03-23 09:26:00+09:00,15370.0,15440.719641447067,1,TP,15440.719641447067,15228.560717105865,46.011477844546036,92.02295568909207,38.011477844546036,76022.95568909208,LIVE_STRONG,2.0,7.100394459778008,baseline_current_all,,,,,
2026-03-23,1802.T,AM0930,j-only,SELL,2026-03-23 09:13:00+09:00,2026-03-23 09:14:00+09:00,3715.0,3703.9970703125,1,TP,3703.9970703125,3737.005859375,29.617576547779272,59.235153095558545,21.617576547779272,43235.15309555854,LIVE_STRONG,2.0,3.992180957521199,baseline_current_live_strong,,,,,
2026-03-23,7012.T,AM1030,j-cross,BUY,2026-03-23 09:25:00+09:00,2026-03-23 09:26:00+09:00,15370.0,15440.719641447067,1,TP,15440.719641447067,15228.560717105865,46.011477844546036,92.02295568909207,38.011477844546036,76022.95568909208,LIVE_STRONG,2.0,7.100394459778008,baseline_current_live_strong,,,,,
2026-03-23,7012.T,AM1030,j-cross,BUY,,2026-03-23 09:31:00+09:00,15493.524537225392,15377.22955963495,0,SL_SAME_BAR,15551.672026020613,15377.22955963495,37.53018795401476,75.06037590802951,-83.06037590802951,-166120.75181605903,LIVE_STRONG,2.0,7.100394459778008,actual_like_all,2026-03-23T09:30:00+09:00,2026-03-23 09:31:00+09:00,15493.524537225392,3.7505571155177604,C_7012.T_AM1030_68e1c11a
2026-03-23,7012.T,AM0945,j-cross,BUY,,2026-03-23 09:31:00+09:00,15493.524537225392,15377.22955963495,0,SL_SAME_BAR,15551.672026020613,15377.22955963495,37.53018795401476,75.06037590802951,-83.06037590802951,-41530.18795401476,DEMO_ONLY,0.5,10.08371077422473,actual_like_all,2026-03-23T09:30:00+09:00,2026-03-23 09:31:00+09:00,15493.524537225392,3.7505571155177604,C_7012.T_AM0945_b2e0b376
2026-03-23,7011.T,AM0945,j-cross,BUY,,2026-03-23 09:32:00+09:00,4602.724905760654,4572.545454086431,0,SL_SAME_BAR,4617.814631597766,4572.545454086431,32.78433133865018,65.56866267730037,-73.56866267730037,-36784.33133865018,DEMO_ONLY,0.5,6.448865277518235,actual_like_all,2026-03-23T09:31:00+09:00,2026-03-23 09:32:00+09:00,4602.724905760654,3.1531050450882727,C_7011.T_AM0945_a59646ab
2026-03-23,6501.T,MID1030,j-cross,SELL,,2026-03-23 10:31:00+09:00,4711.590058418552,4732.30871691381,0,SL_SAME_BAR,4685.69173529948,4732.30871691381,54.96726752107353,43.973814016858825,-51.973814016858825,-51973.81401685882,LIVE_BASE,1.0,6.550347328802483,actual_like_all,2026-03-23T10:30:00+09:00,2026-03-23 10:31:00+09:00,4711.590058418552,2.007028915694365,C_6501.T_MID1030_e49e8427
2026-03-23,6525.T,MID1030,j-cross,SELL,,2026-03-23 10:37:00+09:00,5253.312513456994,5277.661853951175,0,SL_SAME_BAR,5216.788502715722,5277.661853951175,69.52567669962764,46.35045113308452,-54.35045113308452,-27175.225566542264,DEMO_ONLY,0.5,24.06343168282048,actual_like_all,2026-03-23T10:36:00+09:00,2026-03-23 10:37:00+09:00,5253.312513456994,2.8132309715713815,C_6525.T_MID1030_d5550803
2026-03-23,7012.T,AM1030,j-cross,BUY,,2026-03-23 09:31:00+09:00,15493.524537225392,15377.22955963495,0,SL_SAME_BAR,15551.672026020613,15377.22955963495,37.53018795401476,75.06037590802951,-83.06037590802951,-166120.75181605903,LIVE_STRONG,2.0,7.100394459778008,actual_like_live_strong,2026-03-23T09:30:00+09:00,2026-03-23 09:31:00+09:00,15493.524537225392,3.7505571155177604,C_7012.T_AM1030_68e1c11a
2026-03-23,6501.T,MID1030,j-cross,SELL,,2026-03-23 10:31:00+09:00,4711.590058418552,4732.30871691381,0,SL_SAME_BAR,4685.69173529948,4732.30871691381,54.96726752107353,43.973814016858825,-51.973814016858825,-51973.81401685882,LIVE_BASE,1.0,6.550347328802483,actual_like_live_base_only,2026-03-23T10:30:00+09:00,2026-03-23 10:31:00+09:00,4711.590058418552,2.007028915694365,C_6501.T_MID1030_e49e8427
