ratio_bucket,count,mean,median,win,pf
1.0-1.1,279,24.542997006234362,41.40576020934321,0.7992831541218638,2.4882249302388812
1.1-1.2,253,31.24147001776685,42.67830443500189,0.8181818181818182,3.436339849137411
1.2-1.4,304,23.136345097711317,34.07912224832362,0.8256578947368421,2.8050128073921576
1.4-1.6,137,24.863761673908183,39.19584709407287,0.8175182481751825,3.003250786094453
>1.6,80,33.37227470788788,37.67213402018528,0.975,20.46559508718868
