count,mean,std,median,win_rate,se_mean,ci95_low,ci95_high,session,signal_mode,side
298,28.312216064861776,48.97180643832298,36.89425210344743,0.8657718120805369,2.836860578004403,22.751969331973147,33.87246279775041,AM15,j-cross,BUY
541,23.539414365129545,63.23074084819089,41.62286126521281,0.7541589648798521,2.7185018803723384,18.21115067959976,28.86767805065933,AM15,j-cross,SELL
110,32.27777113771852,15.328439589831587,35.13670704370627,0.990909090909091,1.4615093700415471,29.413212772437085,35.14232950299995,AM15,j-only,BUY
104,30.180153181559255,34.76972999882588,39.66775135100351,0.9230769230769231,3.4094525335839543,23.497626215734705,36.862680147383806,AM15,j-only,SELL
