scenario,trades,pnl_yen_sum,pnl_bp_mean,win_rate,pf
actual_like_all,17,-847331.4529498604,-49.06001550757438,0.11764705882352941,0.02330075092919919
actual_like_no_live_base,10,-546937.3471566569,-53.36261578355609,0.1,0.001899434455208882
actual_like_live_strong,4,-373499.024318502,-46.68737803981276,0.0,0.0
actual_like_live_base_only,7,-300394.10579320346,-42.91344368474335,0.14285714285714285,0.05999862039123666
baseline_current_all,17,95730.3610979607,3.862084898277896,0.6470588235294118,1.3438884867748777
baseline_current_live_strong,6,126098.34441394472,10.508195367828725,0.6666666666666666,2.4763533196545313
