code,mode,signal_mode,session,ATR_n,TPk,SLk,J_th,forward_pf_eff,forward_exp_bp,ts,date,side,pnl_bp,bars,gap_bp,gap_bucket,market_ret_5m,market_bias,vol_spike,repeat_index,j_abs,j_range,sector_code,batch_folder,batch_kind,run_path,ts_exit,win
6857.T,refine,j-cross,AM15,20,2.0,5.0,1.3,8.727104795358919,44.05404555453031,2025-10-01 00:21:00+00:00,2025-10-01,BUY,38.08819117028045,14,-33.97893306150187,<80bp,0.0,neutral,0.8464519976147883,3,1.859005752066573,16.152334854308883,68,NIGHTLY_20251104_partial,nightly,NIGHTLY_20251104_partial\RUN_refine_AM0945_j-cross,2025-10-01 00:35:00+00:00,True
6857.T,refine,j-cross,AM15,20,2.0,5.0,1.3,8.727104795358919,44.05404555453031,2025-10-01 00:35:00+00:00,2025-10-01,SELL,38.56988239029868,116,-33.97893306150187,<80bp,0.0,neutral,1.584368026549179,1,1.6702985760258966,16.152334854308883,68,NIGHTLY_20251104_partial,nightly,NIGHTLY_20251104_partial\RUN_refine_AM0945_j-cross,2025-10-01 02:31:00+00:00,True
6857.T,refine,j-cross,AM15,20,2.0,5.0,1.3,8.727104795358919,44.05404555453031,2025-10-01 00:41:00+00:00,2025-10-01,SELL,38.92888783050601,110,-33.97893306150187,<80bp,0.0,neutral,0.6211612739821439,2,1.5765787887017289,16.152334854308883,68,NIGHTLY_20251104_partial,nightly,NIGHTLY_20251104_partial\RUN_refine_AM0945_j-cross,2025-10-01 02:31:00+00:00,True
6857.T,refine,j-cross,AM15,20,2.0,5.0,1.3,8.727104795358919,44.05404555453031,2025-10-03 00:09:00+00:00,2025-10-03,BUY,27.344312532891287,1,0.0,<80bp,0.0,neutral,0.0,1,2.9424904921113537,11.32964584588222,68,NIGHTLY_20251104_partial,nightly,NIGHTLY_20251104_partial\RUN_refine_AM0945_j-cross,2025-10-03 00:10:00+00:00,True
6857.T,refine,j-cross,AM15,20,2.0,5.0,1.3,8.727104795358919,44.05404555453031,2025-10-03 00:15:00+00:00,2025-10-03,SELL,-114.02471357963246,5,0.0,<80bp,0.0,neutral,0.0,1,1.8905259049904592,11.32964584588222,68,NIGHTLY_20251104_partial,nightly,NIGHTLY_20251104_partial\RUN_refine_AM0945_j-cross,2025-10-03 00:20:00+00:00,False
6857.T,refine,j-cross,AM15,20,2.0,5.0,1.3,8.727104795358919,44.05404555453031,2025-10-09 00:09:00+00:00,2025-10-09,BUY,34.50413364212234,1,-27.75464890369137,<80bp,-17.959227659888334,down,0.0,1,2.242533650817837,7.414014289505476,68,NIGHTLY_20251104_partial,nightly,NIGHTLY_20251104_partial\RUN_refine_AM0945_j-cross,2025-10-09 00:10:00+00:00,True
6857.T,refine,j-cross,AM15,20,2.0,5.0,1.3,8.727104795358919,44.05404555453031,2025-10-09 00:28:00+00:00,2025-10-09,SELL,60.834060299917866,14,-27.75464890369137,<80bp,-0.0097040530677716,neutral,0.6647588765235825,1,1.8310754253434811,7.414014289505476,68,NIGHTLY_20251104_partial,nightly,NIGHTLY_20251104_partial\RUN_refine_AM0945_j-cross,2025-10-09 00:42:00+00:00,True
6857.T,refine,j-cross,AM15,20,2.0,5.0,1.3,8.727104795358919,44.05404555453031,2025-10-09 00:30:00+00:00,2025-10-09,SELL,59.19081497339607,12,-27.75464890369137,<80bp,-3.7148541988485375,neutral,0.5889084507042254,2,1.7129175715790996,7.414014289505476,68,NIGHTLY_20251104_partial,nightly,NIGHTLY_20251104_partial\RUN_refine_AM0945_j-cross,2025-10-09 00:42:00+00:00,True
6857.T,refine,j-cross,AM15,20,2.0,5.0,1.3,8.727104795358919,44.05404555453031,2025-10-10 00:25:00+00:00,2025-10-10,SELL,45.07574911373433,21,-19.46607341490545,<80bp,12.987214353157306,neutral,1.3219508573973722,1,1.9020083889778148,7.414014289505476,68,NIGHTLY_20251104_partial,nightly,NIGHTLY_20251104_partial\RUN_refine_AM0945_j-cross,2025-10-10 00:46:00+00:00,True
6857.T,refine,j-cross,AM15,20,2.0,5.0,1.3,8.727104795358919,44.05404555453031,2025-10-10 00:28:00+00:00,2025-10-10,SELL,45.57025372932381,18,-19.46607341490545,<80bp,3.407270318565025,neutral,1.3088865096359743,2,1.8191574153917929,7.414014289505476,68,NIGHTLY_20251104_partial,nightly,NIGHTLY_20251104_partial\RUN_refine_AM0945_j-cross,2025-10-10 00:46:00+00:00,True
6857.T,refine,j-cross,AM15,20,2.0,5.0,1.3,8.727104795358919,44.05404555453031,2025-10-10 00:30:00+00:00,2025-10-10,SELL,47.488009505065584,15,-19.46607341490545,<80bp,-16.833574884487223,down,0.9983660130718954,3,1.7554752089020365,7.414014289505476,68,NIGHTLY_20251104_partial,nightly,NIGHTLY_20251104_partial\RUN_refine_AM0945_j-cross,2025-10-10 00:45:00+00:00,True
