session,signal_mode,side,count,win_rate,mean_bp,last_updated
MID1030,,,0,0.0,0.0,2025-11-10T08:18:54.417947+00:00
PM1230,,,0,0.0,0.0,2025-11-10T08:18:54.417947+00:00
