nky_window_alignment,side,count,mean,median
aligned,BUY,290,40.51064664264479,38.09177984841737
aligned,SELL,257,44.481568057162335,45.13131957809892
counter,BUY,66,-18.846565224850934,9.460160109605244
counter,SELL,203,-17.189686228737774,-57.42648024321952
flat,BUY,52,28.526557518288804,41.17942293901461
flat,SELL,185,42.87190495221782,46.84574596845127
