run,entries,trimmed_entries,plans,trimmed_mean_pf,trimmed_mean_win,trimmed_mean_exp_bp,trimmed_mean_trades
NIGHTLY_20251109,83,77,24,1.8241566408869263,0.44244536787836325,7.67791820590644,30.441558441558442
NIGHTLY_20251107,47,17,4,1.650039713390374,0.31450657185951303,11.782482842728045,11.823529411764707
