code,mode,signal_mode,forward_trades,forward_winrate,forward_pf,forward_pf_eff,forward_exp_bp,forward_slices_pass,forward_slices_total
4176.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
4182.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
4088.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
4004.T,coarse,j-only,3,0.6666666666666666,1.3309529923585335,1.3309529923585333,5.141910583979684,0,1
3905.T,coarse,j-only,3,0.6666666666666666,1.1754511209762348,1.1754511209762346,13.403355947375521,0,1
423A.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
4443.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
4188.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
4204.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
4446.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
4062.T,coarse,j-only,6,0.5,0.5528075909789473,0.5528075909789474,-25.855319685460092,0,1
4307.T,coarse,j-only,3,1.0,999.0,999.0,10.491419509613417,0,1
4507.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
4063.T,coarse,j-only,4,0.25,0.272594849848527,0.272594849848527,-11.946476197119065,0,1
4385.T,coarse,j-only,1,0.0,0.0,0.0,-48.54617353217997,0,1
4528.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
4452.T,coarse,j-only,5,0.6,0.9142703542310159,0.9142703542310157,-0.8139081961295116,0,1
4571.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
4587.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
4503.T,coarse,j-only,4,0.5,0.22790272303041548,0.22790272303041548,-8.686664968911105,0,1
4502.T,coarse,j-only,11,0.45454545454545453,0.14733716126975904,0.14733716126975904,-18.8420975108837,0,1
4506.T,coarse,j-only,3,0.6666666666666666,1.3112595312562738,1.3112595312562736,6.181192143152288,0,1
4588.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
4523.T,coarse,j-only,5,0.8,1.7767777094839714,1.7767777094839716,7.100198978409308,0,1
4543.T,coarse,j-only,5,0.6,0.6050062130813296,0.6050062130813295,-7.108554331761416,0,1
4680.T,coarse,j-only,1,1.0,999.0,999.0,1.3896713615027032,0,1
4519.T,coarse,j-only,1,1.0,999.0,999.0,24.116620385999433,0,1
4612.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
4578.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
4732.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
4568.T,coarse,j-only,1,1.0,999.0,999.0,10.32396774981676,0,1
4814.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
4751.T,coarse,j-only,2,1.0,999.0,999.0,17.405055656564855,0,1
4592.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
4704.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
4902.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
4661.T,coarse,j-only,4,1.0,999.0,999.0,20.93500971798693,0,1
5019.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
4889.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
4689.T,coarse,j-only,4,1.0,999.0,999.0,12.623692071837105,0,1
5101.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
5105.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
5246.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
5253.T,coarse,j-only,0,0.0,0.0,0.0,0.0,0,1
