code,ATR_n_BACK,TPk_BACK,SLk_BACK,J_th_BACK,dJ_th_BACK,vEMA_th_BACK,winrate_BACK,pf_BACK,trades_BACK,PF_eff_BACK,winrate_FWD,pf_FWD,trades_FWD,ATR_n_FWD,TPk_FWD,SLk_FWD,J_th_FWD,dJ_th_FWD,vEMA_th_FWD,PF_eff_FWD
5713.T,2,1.2,1.5,0.8,0.02,0.05,0.3877551020408163,0.5152542372881356,98,0.5060589907604833,0.3140495867768595,0.3662650602409639,121,2,1.2,1.5,0.8,0.02,0.05,0.3658257764533615
5724.T,3,1.2,2.0,1.0,0.02,0.05,0.35294117647058826,0.36,68,0.3269237759441679,0.3,0.26666666666666666,80,3,1.2,2.0,1.0,0.02,0.05,0.256868681098989
5801.T,2,1.2,2.0,0.6,0.02,0.02,0.39285714285714285,0.40615384615384614,112,0.3878213420514147,0.20491803278688525,0.15625,122,2,1.2,2.0,0.6,0.02,0.02,0.15447429275712396
5802.T,5,1.2,1.5,1.0,0.02,0.05,0.3076923076923077,0.35555555555555557,91,0.35512911632314625,0.06862745098039216,0.059574468085106386,102,5,1.2,1.5,1.0,0.02,0.05,0.05887666928515319
5803.T,2,1.2,2.0,0.6,0.02,0.02,0.4016393442622951,0.4083333333333333,122,0.40231030875321105,0.2932330827067669,0.26,133,2,1.2,2.0,0.6,0.02,0.02,0.24867074446817017
6098.T,5,1.2,2.0,0.6,0.05,0.05,0.3246753246753247,0.28846153846153844,77,0.2881539691815581,0.2545454545454545,0.21265822784810126,110,5,1.2,2.0,0.6,0.05,0.05,0.20465959957480423
6146.T,3,1.2,1.5,1.0,0.05,0.05,0.3595505617977528,0.44912280701754387,89,0.4485841469345005,0.18681318681318682,0.19154929577464788,91,3,1.2,1.5,1.0,0.05,0.05,0.1835633608021668
6315.T,5,1.2,1.5,0.8,0.05,0.02,0.208,0.21224489795918366,125,0.20984902328185912,0.20754716981132076,0.2095238095238095,106,5,1.2,1.5,0.8,0.05,0.02,0.20927251497613975
6323.T,5,1.2,1.5,1.0,0.02,0.05,0.2894736842105263,0.32592592592592595,114,0.3255350232962174,0.36363636363636365,0.45714285714285713,88,5,1.2,1.5,1.0,0.02,0.05,0.4565945781297594
6326.T,5,1.2,1.5,1.0,0.02,0.05,0.37623762376237624,0.4903225806451613,101,0.4819609435814127,0.1188118811881188,0.10909090909090909,101,5,1.2,1.5,1.0,0.02,0.05,0.10773579933398816
6330.T,5,1.2,2.0,1.0,0.02,0.05,0.3853211009174312,0.38181818181818183,109,0.37571836936867054,0.47058823529411764,0.5581395348837209,85,5,1.2,2.0,1.0,0.02,0.05,0.5327646719090141
6361.T,5,1.2,2.0,0.6,0.05,0.05,0.24509803921568626,0.19736842105263158,102,0.19459748568105228,0.42857142857142855,0.44999999999999996,91,5,1.2,2.0,0.6,0.05,0.05,0.4495201919232308
6501.T,3,1.2,1.5,0.6,0.05,0.02,0.2631578947368421,0.2926829268292683,114,0.2853716113310996,0.08870967741935484,0.08,124,3,1.2,1.5,0.6,0.05,0.02,0.07778270468139707
6503.T,5,1.2,1.5,0.6,0.02,0.05,0.22772277227722773,0.2358974358974359,101,0.23561450986824126,0.152,0.14476190476190476,125,5,1.2,1.5,0.6,0.02,0.05,0.14322424266806133
6506.T,5,1.2,2.0,0.8,0.02,0.02,0.3884297520661157,0.39166666666666666,121,0.3806747571241774,0.4032258064516129,0.410958904109589,124,5,1.2,2.0,0.8,0.02,0.02,0.4049731458767844
6525.T,3,1.2,2.0,1.0,0.02,0.05,0.43103448275862066,0.46153846153846156,116,0.45406079992245524,0.1984126984126984,0.15306122448979592,126,3,1.2,2.0,1.0,0.02,0.05,0.1483564989845646
6526.T,2,1.2,2.0,1.0,0.05,0.02,0.3333333333333333,0.3069767441860465,132,0.29968012794882043,0.3191489361702128,0.2903225806451613,94,2,1.2,2.0,1.0,0.05,0.02,0.28095011995201924
6594.T,3,1.2,2.0,0.8,0.05,0.02,0.34782608695652173,0.32432432432432434,115,0.31965880314540857,0.25,0.208,104,3,1.2,2.0,0.8,0.05,0.02,0.19978675196588033
6701.T,5,1.2,1.5,1.0,0.05,0.05,0.3068181818181818,0.36,88,0.35367366912510056,0.10091743119266056,0.08979591836734693,109,5,1.2,1.5,1.0,0.05,0.05,0.08968822070405989
6702.T,5,1.2,2.0,1.0,0.05,0.02,0.4107142857142857,0.42461538461538456,112,0.4177359359286589,0.20652173913043478,0.15833333333333333,92,5,1.2,2.0,1.0,0.05,0.02,0.1559978748226737
6723.T,5,1.2,2.0,0.8,0.02,0.05,0.4158415841584158,0.4421052631578947,101,0.42666323301187997,0.45544554455445546,0.5207547169811321,101,5,1.2,2.0,0.8,0.02,0.05,0.5012831231143906
6752.T,3,1.2,2.0,0.6,0.05,0.05,0.4563106796116505,0.5035714285714286,103,0.5030345004855201,0.22522522522522523,0.17857142857142858,111,3,1.2,2.0,0.6,0.05,0.05,0.17423263252838403
6758.T,5,1.2,2.0,0.6,0.02,0.05,0.24528301886792453,0.19746835443037974,106,0.1947920831667333,0.25,0.19999999999999998,92,5,1.2,2.0,0.6,0.02,0.05,0.19978675196588033
6762.T,1,1.2,1.5,0.6,0.02,0.05,0.36633663366336633,0.46249999999999997,101,0.46194529584221755,0.19047619047619047,0.19047619047619047,105,1,1.2,1.5,0.6,0.02,0.05,0.1880095321710774
6857.T,3,1.2,1.5,0.6,0.02,0.05,0.46153846153846156,0.7024390243902439,78,0.6848918671946391,0.2823529411764706,0.31999999999999995,85,3,1.2,1.5,0.6,0.02,0.05,0.31437659477786717
6920.T,3,1.2,1.5,0.8,0.05,0.05,0.2653061224489796,0.28888888888888886,98,0.28854240701255635,0.17857142857142858,0.18181818181818182,112,3,1.2,1.5,0.8,0.05,0.05,0.17370445907110413
6954.T,1,1.2,1.5,1.0,0.02,0.02,0.22556390977443608,0.23529411764705882,133,0.23273024613410062,0.2037037037037037,0.20465116279069767,108,1,1.2,1.5,1.0,0.02,0.02,0.20440571230227603
6981.T,5,1.2,2.0,1.0,0.05,0.02,0.3739130434782609,0.35833333333333334,115,0.357951263938869,0.21100917431192662,0.16626506024096385,109,5,1.2,2.0,1.0,0.05,0.02,0.1602940219261133
7011.T,1,1.2,2.0,0.6,0.02,0.05,0.22935779816513763,0.18292682926829268,109,0.1783810285409646,0.4105263157894737,0.4254545454545454,95,1,1.2,2.0,0.6,0.02,0.05,0.4174116067858571
7012.T,3,1.2,2.0,1.0,0.02,0.05,0.3277310924369748,0.2925,119,0.2921881247500999,0.2894736842105263,0.24444444444444446,114,3,1.2,2.0,1.0,0.02,0.05,0.2441838079582982
7013.T,1,1.2,2.0,1.0,0.02,0.05,0.35353535353535354,0.3442622950819672,99,0.32777513994402246,0.297029702970297,0.2571428571428571,101,1,1.2,2.0,1.0,0.02,0.05,0.2532508123511159
7182.T,5,1.2,1.5,0.6,0.02,0.05,0.24324324324324326,0.2571428571428571,111,0.25683445019798967,0.1717171717171717,0.16585365853658535,99,5,1.2,1.5,0.6,0.02,0.05,0.16565474023610172
7201.T,1,1.2,2.0,0.6,0.05,0.05,0.41304347826086957,0.43018867924528303,92,0.4217720319279697,0.37606837606837606,0.3771428571428571,117,1,1.2,2.0,0.6,0.05,0.05,0.3612582364314549
7203.T,5,1.2,2.0,0.6,0.02,0.05,0.36363636363636365,0.3540983606557377,99,0.342491574798652,0.422680412371134,0.4472727272727272,97,5,1.2,2.0,0.6,0.02,0.05,0.4388173302107729
7261.T,3,1.2,1.5,0.6,0.05,0.05,0.125,0.11531531531531532,128,0.11414864453243985,0.3247863247863248,0.3848101265822785,117,3,1.2,1.5,0.6,0.05,0.05,0.38434860057758236
7267.T,5,1.2,2.0,1.0,0.05,0.05,0.4177215189873418,0.43043478260869567,79,0.4299758357526556,0.5375,0.6972972972972973,80,5,1.2,2.0,1.0,0.05,0.05,0.6965538109080691
7453.T,3,1.2,2.0,0.6,0.05,0.05,0.33,0.3,100,0.29520729021824116,0.21839080459770116,0.17272727272727273,87,3,1.2,2.0,0.6,0.05,0.05,0.1674683067949291
7532.T,3,1.2,1.5,0.8,0.02,0.05,0.2808988764044944,0.3125,89,0.31212519989339027,0.38636363636363635,0.5132075471698113,88,3,1.2,1.5,0.8,0.02,0.05,0.5030995814577904
7711.T,1,1.2,1.5,0.6,0.05,0.05,0.3387096774193548,0.42,62,0.409264652348016,0.16666666666666666,0.16744186046511625,54,1,1.2,1.5,0.6,0.05,0.05,0.1598081023454158
7735.T,2,1.2,2.0,0.8,0.02,0.02,0.4263565891472868,0.4714285714285714,129,0.44547046046446287,0.32116788321167883,0.3,137,2,1.2,2.0,0.8,0.02,0.02,0.2835682931128624
7794.T,1,0.8,1.5,0.6,0.02,0.05,1.0,999.0,3,,0.42105263157894735,0.3950617283950617,95,1,0.8,1.5,0.6,0.02,0.05,0.38728435743361117
