ts,code,px,vwap
2025-10-07 10:05:28,6146,0.000,0.000
2025-10-07 10:05:28,8035,0.000,0.000
2025-10-07 10:05:28,6920,0.000,0.000
2025-10-07 10:05:28,9984,0.000,0.000
2025-10-07 10:05:28,6857,0.000,0.000
2025-10-07 10:05:28,7735,0.000,0.000
2025-10-07 10:05:28,5803,0.000,0.000
2025-10-07 10:05:28,5706,0.000,0.000
2025-10-07 10:05:28,7974,0.000,0.000
2025-10-07 10:05:28,7012,0.000,0.000
2025-10-07 10:05:28,4062,0.000,0.000
2025-10-07 10:05:28,5801,0.000,0.000
2025-10-07 10:05:28,8001,0.000,0.000
2025-10-07 10:05:28,4704,0.000,0.000
2025-10-07 10:05:28,6098,0.000,0.000
2025-10-07 10:05:28,8136,0.000,0.000
2025-10-07 10:05:28,3110,0.000,0.000
2025-10-07 10:05:28,4519,0.000,0.000
2025-10-07 10:05:28,5108,0.000,0.000
2025-10-07 10:05:28,6871,0.000,0.000
2025-10-07 10:05:28,8473,0.000,0.000
2025-10-07 10:05:28,4452,0.000,0.000
2025-10-07 10:05:28,8766,0.000,0.000
2025-10-07 10:05:28,4004,0.000,0.000
2025-10-07 10:05:28,6301,0.000,0.000
2025-10-07 10:05:28,4063,0.000,0.000
2025-10-07 10:05:28,9101,0.000,0.000
2025-10-07 10:05:28,6701,0.000,0.000
2025-10-07 10:05:28,7832,0.000,0.000
2025-10-07 10:05:28,5713,0.000,0.000
2025-10-07 10:05:28,2914,0.000,0.000
2025-10-07 10:05:28,6525,0.000,0.000
2025-10-07 10:05:28,8411,0.000,0.000
2025-10-07 10:05:28,8630,0.000,0.000
2025-10-07 10:05:28,7003,0.000,0.000
2025-10-07 10:05:28,6954,0.000,0.000
2025-10-07 10:05:28,7751,0.000,0.000
2025-10-07 10:05:28,6758,0.000,0.000
2025-10-07 10:05:28,8053,0.000,0.000
2025-10-07 10:05:28,9104,0.000,0.000
2025-10-07 10:05:28,6501,0.000,0.000
2025-10-07 10:05:28,8015,0.000,0.000
2025-10-07 10:05:28,4502,0.000,0.000
2025-10-07 10:05:28,5802,0.000,0.000
2025-10-07 10:05:28,9697,0.000,0.000
2025-10-07 10:05:28,9022,0.000,0.000
2025-10-07 10:05:28,2802,0.000,0.000
2025-10-07 10:05:28,8309,0.000,0.000
2025-10-07 10:05:28,7011,0.000,0.000
2025-10-07 10:05:28,8316,0.000,0.000
2025-10-07 10:05:28,7936,0.000,0.000
2025-10-07 10:05:28,6503,0.000,0.000
2025-10-07 10:05:28,4568,0.000,0.000
2025-10-07 10:05:28,8002,0.000,0.000
2025-10-07 10:05:28,8591,0.000,0.000
2025-10-07 10:05:28,6702,0.000,0.000
2025-10-07 10:05:28,6988,0.000,0.000
2025-10-07 10:05:28,6361,0.000,0.000
2025-10-07 10:05:29,6506,0.000,0.000
2025-10-07 10:05:29,8031,0.000,0.000
2025-10-07 10:05:29,4901,0.000,0.000
2025-10-07 10:05:29,3038,0.000,0.000
2025-10-07 10:05:29,9020,0.000,0.000
2025-10-07 10:05:29,4661,0.000,0.000
2025-10-07 10:05:29,8795,0.000,0.000
2025-10-07 10:05:29,8058,0.000,0.000
2025-10-07 10:05:29,6976,0.000,0.000
2025-10-07 10:05:29,8802,0.000,0.000
2025-10-07 10:05:29,8725,0.000,0.000
2025-10-07 10:05:29,9021,0.000,0.000
2025-10-07 10:05:29,7270,0.000,0.000
2025-10-07 10:05:29,7203,0.000,0.000
2025-10-07 10:05:29,6981,0.000,0.000
2025-10-07 10:05:29,9201,0.000,0.000
2025-10-07 10:05:29,6526,0.000,0.000
2025-10-07 10:05:29,7013,0.000,0.000
2025-10-07 10:05:29,9202,0.000,0.000
2025-10-07 10:05:29,3099,0.000,0.000
2025-10-07 10:05:29,2897,0.000,0.000
2025-10-07 10:05:29,1605,0.000,0.000
2025-10-07 10:05:29,7453,0.000,0.000
2025-10-07 10:05:29,6594,0.000,0.000
2025-10-07 10:05:29,7259,0.000,0.000
2025-10-07 10:05:29,4507,0.000,0.000
2025-10-07 10:05:29,4543,0.000,0.000
2025-10-07 10:05:29,4911,0.000,0.000
2025-10-07 10:05:29,9843,0.000,0.000
2025-10-07 10:05:29,5726,0.000,0.000
2025-10-07 10:05:29,6323,0.000,0.000
2025-10-07 10:05:29,1802,0.000,0.000
2025-10-07 10:05:29,5991,0.000,0.000
2025-10-07 10:05:29,6315,0.000,0.000
2025-10-07 10:05:29,2267,0.000,0.000
2025-10-07 10:05:29,9433,0.000,0.000
2025-10-07 10:05:29,6963,0.000,0.000
2025-10-07 10:05:29,2413,0.000,0.000
2025-10-07 10:05:29,8306,0.000,0.000
2025-10-07 10:05:29,6762,0.000,0.000
2025-10-07 10:05:29,7269,0.000,0.000
2025-10-07 10:05:29,6902,0.000,0.000
2025-10-07 10:05:29,5016,0.000,0.000
2025-10-07 10:05:29,4385,0.000,0.000
2025-10-07 10:05:29,9503,0.000,0.000
2025-10-07 10:05:29,3064,0.000,0.000
2025-10-07 10:05:29,2503,0.000,0.000
2025-10-07 10:05:29,9107,0.000,0.000
2025-10-07 10:05:29,9502,0.000,0.000
2025-10-07 10:05:29,1803,0.000,0.000
2025-10-07 10:05:29,6971,0.000,0.000
2025-10-07 10:05:29,3382,0.000,0.000
2025-10-07 10:05:29,6326,0.000,0.000
2025-10-07 10:05:29,7733,0.000,0.000
2025-10-07 10:05:29,7202,0.000,0.000
2025-10-07 10:05:29,6869,0.000,0.000
2025-10-07 10:05:29,4506,0.000,0.000
2025-10-07 10:05:29,8267,0.000,0.000
2025-10-07 10:05:29,6723,0.000,0.000
2025-10-07 10:05:29,5411,0.000,0.000
2025-10-07 10:05:29,7731,0.000,0.000
2025-10-07 10:05:29,1911,0.000,0.000
2025-10-07 10:05:29,8233,0.000,0.000
