ts,code,px,vwap
2025-10-07 10:15:29,6146,0.000,0.000
2025-10-07 10:15:29,8035,0.000,0.000
2025-10-07 10:15:29,6920,0.000,0.000
2025-10-07 10:15:29,9984,0.000,0.000
2025-10-07 10:15:29,6857,0.000,0.000
2025-10-07 10:15:29,7735,0.000,0.000
2025-10-07 10:15:29,5803,0.000,0.000
2025-10-07 10:15:29,5706,0.000,0.000
2025-10-07 10:15:29,7974,0.000,0.000
2025-10-07 10:15:29,7012,0.000,0.000
2025-10-07 10:15:29,4062,0.000,0.000
2025-10-07 10:15:29,5801,0.000,0.000
2025-10-07 10:15:29,8001,0.000,0.000
2025-10-07 10:15:29,4704,0.000,0.000
2025-10-07 10:15:29,6098,0.000,0.000
2025-10-07 10:15:29,8136,0.000,0.000
2025-10-07 10:15:29,3110,0.000,0.000
2025-10-07 10:15:29,4519,0.000,0.000
2025-10-07 10:15:29,5108,0.000,0.000
2025-10-07 10:15:29,6871,0.000,0.000
2025-10-07 10:15:29,8473,0.000,0.000
2025-10-07 10:15:29,4452,0.000,0.000
2025-10-07 10:15:29,8766,0.000,0.000
2025-10-07 10:15:29,4004,0.000,0.000
2025-10-07 10:15:29,6301,0.000,0.000
2025-10-07 10:15:29,4063,0.000,0.000
2025-10-07 10:15:29,9101,0.000,0.000
2025-10-07 10:15:29,6701,0.000,0.000
2025-10-07 10:15:29,7832,0.000,0.000
2025-10-07 10:15:29,5713,0.000,0.000
2025-10-07 10:15:29,2914,0.000,0.000
2025-10-07 10:15:29,6525,0.000,0.000
2025-10-07 10:15:29,8411,0.000,0.000
2025-10-07 10:15:29,8630,0.000,0.000
2025-10-07 10:15:29,7003,0.000,0.000
2025-10-07 10:15:29,6954,0.000,0.000
2025-10-07 10:15:29,7751,0.000,0.000
2025-10-07 10:15:29,6758,0.000,0.000
2025-10-07 10:15:29,8053,0.000,0.000
2025-10-07 10:15:29,9104,0.000,0.000
2025-10-07 10:15:29,6501,0.000,0.000
2025-10-07 10:15:29,8015,0.000,0.000
2025-10-07 10:15:29,4502,0.000,0.000
2025-10-07 10:15:29,5802,0.000,0.000
2025-10-07 10:15:29,9697,0.000,0.000
2025-10-07 10:15:29,9022,0.000,0.000
2025-10-07 10:15:29,2802,0.000,0.000
2025-10-07 10:15:29,8309,0.000,0.000
2025-10-07 10:15:29,7011,0.000,0.000
2025-10-07 10:15:29,8316,0.000,0.000
2025-10-07 10:15:29,7936,0.000,0.000
2025-10-07 10:15:29,6503,0.000,0.000
2025-10-07 10:15:29,4568,0.000,0.000
2025-10-07 10:15:29,8002,0.000,0.000
2025-10-07 10:15:29,8591,0.000,0.000
2025-10-07 10:15:29,6702,0.000,0.000
2025-10-07 10:15:29,6988,0.000,0.000
2025-10-07 10:15:29,6361,0.000,0.000
2025-10-07 10:15:29,6506,0.000,0.000
2025-10-07 10:15:29,8031,0.000,0.000
2025-10-07 10:15:29,4901,0.000,0.000
2025-10-07 10:15:29,3038,0.000,0.000
2025-10-07 10:15:29,9020,0.000,0.000
2025-10-07 10:15:29,4661,0.000,0.000
2025-10-07 10:15:29,8795,0.000,0.000
2025-10-07 10:15:29,8058,0.000,0.000
2025-10-07 10:15:29,6976,0.000,0.000
2025-10-07 10:15:29,8802,0.000,0.000
