ticker,rows,status
8729.T,3476,OK
6740.T,4294,OK
9432.T,6023,OK
9501.T,6008,OK
9434.T,6024,OK
5016.T,6022,OK
8306.T,5972,OK
8136.T,6013,OK
7013.T,6004,OK
7201.T,6006,OK
7011.T,5997,OK
7203.T,6019,OK
5401.T,6015,OK
4689.T,6024,OK
7267.T,6014,OK
4568.T,6018,OK
6758.T,6014,OK
4005.T,6028,OK
6526.T,6015,OK
9984.T,6010,OK
4755.T,6024,OK
3436.T,6003,OK
6525.T,6020,OK
8316.T,6021,OK
6723.T,6027,OK
6315.T,6022,OK
6501.T,6013,OK
8750.T,6029,OK
6857.T,6019,OK
2181.T,5918,OK
7532.T,6012,OK
9433.T,6020,OK
6920.T,6023,OK
7261.T,6006,OK
4506.T,6016,OK
5020.T,5966,OK
2502.T,6014,OK
6762.T,6017,OK
8035.T,6020,OK
3382.T,5931,OK
8801.T,6001,OK
8058.T,6015,OK
8604.T,6001,OK
8411.T,6023,OK
4503.T,6016,OK
6981.T,6011,OK
8308.T,6016,OK
7269.T,5993,OK
6752.T,6024,OK
7211.T,6014,OK
4063.T,5998,OK
5803.T,6019,OK
7205.T,5913,OK
8410.T,6006,OK
3697.T,6075,OK
6146.T,6074,OK
3656.T,5054,OK
7182.T,6079,OK
8267.T,6080,OK
6702.T,6062,OK
4612.T,5910,OK
7453.T,6068,OK
4543.T,6070,OK
6902.T,6104,OK
7272.T,5971,OK
8031.T,6007,OK
6178.T,6001,OK
7974.T,6008,OK
6594.T,6016,OK
8766.T,6021,OK
3402.T,6016,OK
9503.T,6014,OK
5801.T,6024,OK
6326.T,6015,OK
8113.T,6022,OK
4188.T,6018,OK
9509.T,6029,OK
6971.T,5998,OK
6503.T,6015,OK
2413.T,5999,OK
8601.T,5952,OK
8002.T,5926,OK
8233.T,6009,OK
4519.T,6014,OK
7733.T,5977,OK
9504.T,5999,OK
6361.T,6003,OK
4502.T,5927,OK
2801.T,5949,OK
1605.T,6017,OK
6098.T,5935,OK
7270.T,5893,OK
6701.T,5998,OK
3231.T,6013,OK
8697.T,5986,OK
6963.T,6016,OK
3315.T,2835,OK
3861.T,6030,OK
5713.T,6011,OK
8802.T,5992,OK
7012.T,6008,OK
7751.T,5991,OK
8725.T,6007,OK
9107.T,6014,OK
2914.T,5904,OK
4901.T,5996,OK
9843.T,5884,OK
6869.T,5922,OK
4446.T,2632,OK
3092.T,5904,OK
9101.T,6001,OK
4661.T,6027,OK
6954.T,6007,OK
7936.T,5938,OK
5076.T,5849,OK
8593.T,5936,OK
3064.T,5976,OK
8473.T,5961,OK
3407.T,5921,OK
8331.T,5957,OK
4751.T,5997,OK
8591.T,5911,OK
5802.T,6016,OK
4004.T,6000,OK
5411.T,5987,OK
6323.T,5962,OK
7762.T,5435,OK
3853.T,5981,OK
9506.T,5866,OK
3099.T,6014,OK
7731.T,5929,OK
7186.T,5964,OK
6472.T,5953,OK
5019.T,5967,OK
4507.T,5988,OK
7202.T,5993,OK
8524.T,4833,OK
8309.T,5987,OK
8848.T,4764,OK
4385.T,6012,OK
2897.T,5991,OK
2802.T,5975,OK
9020.T,5943,OK
7259.T,5977,OK
5726.T,5939,OK
9104.T,6010,OK
2503.T,5980,OK
6506.T,5900,OK
9022.T,5953,OK
9831.T,5933,OK
7003.T,5915,OK
7832.T,5979,OK
8515.T,3791,OK
8001.T,6007,OK
3289.T,5903,OK
2267.T,5968,OK
4528.T,5966,OK
1802.T,5995,OK
1803.T,6004,OK
6871.T,5663,OK
8053.T,5993,OK
7167.T,6010,OK
5991.T,5834,OK
8630.T,5984,OK
8015.T,5973,OK
9697.T,5992,OK
9502.T,5954,OK
6976.T,5988,OK
6988.T,5956,OK
6965.T,5979,OK
7752.T,5897,OK
6301.T,5995,OK
3110.T,5556,OK
9202.T,5965,OK
3003.T,5850,OK
5706.T,5998,OK
5535.T,4588,OK
9424.T,3391,OK
1911.T,6005,OK
4911.T,6001,OK
7735.T,6000,OK
9508.T,5905,OK
9023.T,5950,OK
4902.T,5999,OK
8795.T,5909,OK
8698.T,5045,OK
9201.T,5909,OK
4704.T,5795,OK
1861.T,4481,OK
4452.T,5967,OK
2127.T,5974,OK
9021.T,5857,OK
5406.T,5916,OK
9009.T,5721,OK
4062.T,6004,OK
3038.T,5936,OK
5108.T,5912,OK
7951.T,5736,OK
