ticker,rows,status
8729.T,1865,OK
6740.T,4091,OK
9432.T,6024,OK
9501.T,6009,OK
9434.T,6026,OK
5016.T,6017,OK
8306.T,5970,OK
8136.T,6015,OK
7013.T,5997,OK
7201.T,6009,OK
7011.T,5994,OK
7203.T,6019,OK
5401.T,6013,OK
4689.T,6024,OK
7267.T,6016,OK
4568.T,6017,OK
6758.T,6014,OK
4005.T,6029,OK
6526.T,6016,OK
9984.T,6008,OK
4755.T,6026,OK
3436.T,5996,OK
6525.T,6018,OK
8316.T,6019,OK
6723.T,6023,OK
6315.T,6007,OK
6501.T,6014,OK
8750.T,6022,OK
6857.T,6020,OK
2181.T,5932,OK
7532.T,6004,OK
9433.T,6021,OK
6920.T,6022,OK
7261.T,6007,OK
4506.T,6016,OK
5020.T,5965,OK
2502.T,6009,OK
6762.T,6017,OK
8035.T,6018,OK
3382.T,5929,OK
8801.T,5994,OK
8058.T,6014,OK
8604.T,6002,OK
8411.T,6022,OK
4503.T,6017,OK
6981.T,6012,OK
8308.T,6013,OK
7269.T,5999,OK
6752.T,6022,OK
7211.T,6018,OK
4063.T,5998,OK
5803.T,6016,OK
7205.T,5930,OK
8410.T,5944,OK
3697.T,6020,OK
6146.T,6024,OK
3656.T,5239,OK
7182.T,6006,OK
8267.T,6026,OK
6702.T,6000,OK
4612.T,5865,OK
7453.T,6021,OK
4543.T,6099,OK
6902.T,6099,OK
7272.T,6062,OK
8031.T,6099,OK
6178.T,6086,OK
7974.T,6109,OK
6594.T,6018,OK
8766.T,6025,OK
3402.T,6018,OK
9503.T,6015,OK
5801.T,6022,OK
6326.T,6012,OK
8113.T,6025,OK
4188.T,6021,OK
9509.T,6028,OK
6971.T,6002,OK
6503.T,6013,OK
2413.T,6001,OK
8601.T,5948,OK
8002.T,5922,OK
8233.T,5976,OK
4519.T,6013,OK
7733.T,5975,OK
9504.T,5994,OK
6361.T,5985,OK
4502.T,5927,OK
2801.T,5942,OK
1605.T,6017,OK
6098.T,5935,OK
7270.T,5890,OK
6701.T,5999,OK
3231.T,6014,OK
8697.T,5972,OK
6963.T,6018,OK
3315.T,2774,OK
3861.T,6031,OK
5713.T,6005,OK
8802.T,5995,OK
7012.T,6005,OK
7751.T,5990,OK
8725.T,6001,OK
9107.T,6013,OK
2914.T,5900,OK
4901.T,5994,OK
9843.T,5826,OK
6869.T,5928,OK
4446.T,1763,OK
3092.T,5895,OK
9101.T,6008,OK
4661.T,6025,OK
6954.T,5997,OK
7936.T,5937,OK
5076.T,5770,OK
8593.T,5930,OK
3064.T,5977,OK
8473.T,5958,OK
3407.T,5916,OK
8331.T,5938,OK
4751.T,5984,OK
8591.T,5906,OK
5802.T,6018,OK
4004.T,5989,OK
5411.T,5984,OK
6323.T,5954,OK
7762.T,5563,OK
3853.T,5983,OK
9506.T,5884,OK
3099.T,6012,OK
7731.T,5902,OK
7186.T,5936,OK
6472.T,5944,OK
5019.T,5968,OK
4507.T,5954,OK
7202.T,5978,OK
8524.T,4844,OK
8309.T,5989,OK
8848.T,4623,OK
4385.T,6016,OK
2897.T,5975,OK
2802.T,5970,OK
9020.T,5954,OK
7259.T,5965,OK
5726.T,5947,OK
9104.T,6008,OK
2503.T,5974,OK
6506.T,5902,OK
9022.T,5946,OK
9831.T,5949,OK
7003.T,5903,OK
7832.T,5986,OK
8515.T,3648,OK
8001.T,6009,OK
3289.T,5898,OK
2267.T,5950,OK
4528.T,5963,OK
1802.T,5999,OK
1803.T,6007,OK
6871.T,5598,OK
8053.T,5994,OK
7167.T,6017,OK
5991.T,5671,OK
8630.T,5983,OK
8015.T,5965,OK
9697.T,5993,OK
9502.T,5963,OK
6976.T,5953,OK
6988.T,5947,OK
6965.T,5965,OK
7752.T,5896,OK
6301.T,5993,OK
3110.T,5548,OK
9202.T,5958,OK
3003.T,5837,OK
5706.T,5990,OK
5535.T,4352,OK
9424.T,3393,OK
1911.T,6014,OK
4911.T,6008,OK
7735.T,5983,OK
9508.T,5914,OK
9023.T,5946,OK
4902.T,6004,OK
8795.T,5912,OK
8698.T,5078,OK
9201.T,5869,OK
4704.T,5760,OK
1861.T,3920,OK
4452.T,4369,OK
2127.T,4375,OK
9021.T,4272,OK
5406.T,4320,OK
9009.T,4195,OK
4062.T,4394,OK
3038.T,4333,OK
5108.T,4310,OK
7951.T,4225,OK
