ticker,rows,status
8729.T,2186,OK
6740.T,4345,OK
9432.T,6345,OK
9501.T,6331,OK
9434.T,6346,OK
5016.T,6339,OK
8306.T,6291,OK
8136.T,6336,OK
7013.T,6318,OK
7201.T,6330,OK
7011.T,6315,OK
7203.T,6341,OK
5401.T,6335,OK
4689.T,6346,OK
7267.T,6337,OK
4568.T,6339,OK
6758.T,6335,OK
4005.T,6351,OK
6526.T,6337,OK
9984.T,6331,OK
4755.T,6349,OK
3436.T,6317,OK
6525.T,6340,OK
8316.T,6340,OK
6723.T,6345,OK
6315.T,6328,OK
6501.T,6335,OK
8750.T,6344,OK
6857.T,6342,OK
2181.T,6246,OK
7532.T,6325,OK
9433.T,6343,OK
6920.T,6344,OK
7261.T,6327,OK
4506.T,6337,OK
5020.T,6286,OK
2502.T,6332,OK
6762.T,6338,OK
8035.T,6340,OK
3382.T,6250,OK
8801.T,6316,OK
8058.T,6336,OK
8604.T,6324,OK
8411.T,6343,OK
4503.T,6337,OK
6981.T,6334,OK
8308.T,6335,OK
7269.T,6320,OK
6752.T,6343,OK
7211.T,6338,OK
4063.T,6319,OK
5803.T,6338,OK
7205.T,6250,OK
8410.T,6264,OK
3697.T,6342,OK
6146.T,6345,OK
3656.T,5462,OK
7182.T,6328,OK
8267.T,6346,OK
6702.T,6322,OK
4612.T,6180,OK
7453.T,6342,OK
4543.T,6327,OK
6902.T,6331,OK
7272.T,6289,OK
8031.T,6328,OK
6178.T,6315,OK
7974.T,6330,OK
6594.T,6340,OK
8766.T,6346,OK
3402.T,6339,OK
9503.T,6337,OK
5801.T,6343,OK
6326.T,6335,OK
8113.T,6346,OK
4188.T,6343,OK
9509.T,6350,OK
6971.T,6323,OK
6503.T,6335,OK
2413.T,6322,OK
8601.T,6268,OK
8002.T,6243,OK
8233.T,6297,OK
4519.T,6335,OK
7733.T,6296,OK
9504.T,6315,OK
6361.T,6306,OK
4502.T,6249,OK
2801.T,6261,OK
1605.T,6338,OK
6098.T,6256,OK
7270.T,6210,OK
6701.T,6320,OK
3231.T,6335,OK
8697.T,6291,OK
6963.T,6339,OK
3315.T,2906,OK
3861.T,6352,OK
5713.T,6328,OK
8802.T,6316,OK
7012.T,6326,OK
7751.T,6312,OK
8725.T,6322,OK
9107.T,6336,OK
2914.T,6219,OK
4901.T,6315,OK
9843.T,6147,OK
6869.T,6236,OK
4446.T,1795,OK
3092.T,6214,OK
9101.T,6327,OK
4661.T,6346,OK
6954.T,6320,OK
7936.T,6258,OK
5076.T,6086,OK
8593.T,6251,OK
3064.T,6295,OK
8473.T,6280,OK
3407.T,6232,OK
8331.T,6258,OK
4751.T,6306,OK
8591.T,6228,OK
5802.T,6339,OK
4004.T,6311,OK
5411.T,6306,OK
6323.T,6275,OK
7762.T,5829,OK
3853.T,6303,OK
9506.T,6200,OK
3099.T,6333,OK
7731.T,6223,OK
7186.T,6257,OK
6472.T,6263,OK
5019.T,6287,OK
4507.T,6274,OK
7202.T,6299,OK
8524.T,5081,OK
8309.T,6310,OK
8848.T,4864,OK
4385.T,6335,OK
2897.T,6296,OK
2802.T,6288,OK
9020.T,6267,OK
7259.T,6285,OK
5726.T,6269,OK
9104.T,6328,OK
2503.T,6292,OK
6506.T,6224,OK
9022.T,6266,OK
9831.T,6257,OK
7003.T,6224,OK
7832.T,6307,OK
8515.T,3810,OK
8001.T,6331,OK
3289.T,6214,OK
2267.T,6268,OK
4528.T,6282,OK
1802.T,6319,OK
1803.T,6328,OK
6871.T,5905,OK
8053.T,6316,OK
7167.T,6338,OK
5991.T,5986,OK
8630.T,6303,OK
8015.T,6286,OK
9697.T,6310,OK
9502.T,6282,OK
6976.T,6274,OK
6988.T,6268,OK
6965.T,6287,OK
7752.T,6210,OK
6301.T,6315,OK
3110.T,5826,OK
9202.T,6280,OK
3003.T,6154,OK
5706.T,6311,OK
5535.T,4655,OK
9424.T,3555,OK
1911.T,6330,OK
4911.T,6329,OK
7735.T,6303,OK
9508.T,6228,OK
9023.T,6265,OK
4902.T,6325,OK
8795.T,6229,OK
8698.T,5335,OK
9201.T,6189,OK
4704.T,6079,OK
1861.T,4199,OK
4452.T,6232,OK
2127.T,6291,OK
9021.T,6164,OK
5406.T,6223,OK
9009.T,6036,OK
4062.T,6314,OK
3038.T,6220,OK
5108.T,6225,OK
7951.T,6027,OK
