ticker,rows,status
8729.T,1287,OK
6740.T,4168,OK
9432.T,6089,OK
9501.T,6079,OK
9434.T,6091,OK
5016.T,6086,OK
8306.T,6035,OK
8136.T,6080,OK
7013.T,6079,OK
7201.T,6076,OK
7011.T,6080,OK
7203.T,6091,OK
5401.T,6081,OK
4689.T,6090,OK
7267.T,6088,OK
4568.T,6085,OK
6758.T,6088,OK
4005.T,6095,OK
6526.T,6087,OK
9984.T,6076,OK
4755.T,6094,OK
3436.T,6064,OK
6525.T,6085,OK
8316.T,6086,OK
6723.T,6088,OK
6315.T,6075,OK
6501.T,6088,OK
8750.T,6087,OK
6857.T,6088,OK
2181.T,5999,OK
7532.T,6062,OK
9433.T,6090,OK
6920.T,6092,OK
7261.T,6082,OK
4506.T,6085,OK
5020.T,6034,OK
2502.T,6068,OK
6762.T,6089,OK
8035.T,6084,OK
3382.T,5993,OK
8801.T,6063,OK
8058.T,6085,OK
8604.T,6075,OK
8411.T,6089,OK
4503.T,6083,OK
6981.T,6084,OK
8308.T,6088,OK
7269.T,6070,OK
6752.T,6086,OK
7211.T,6088,OK
4063.T,6071,OK
5803.T,6086,OK
7205.T,6002,OK
8410.T,6004,OK
3697.T,6084,OK
6146.T,6095,OK
3656.T,5277,OK
7182.T,6075,OK
8267.T,6096,OK
6702.T,6078,OK
4612.T,5933,OK
7453.T,6089,OK
4543.T,6078,OK
6902.T,6085,OK
7272.T,6038,OK
8031.T,6082,OK
6178.T,6050,OK
7974.T,6078,OK
6594.T,6019,OK
8766.T,6094,OK
3402.T,6088,OK
9503.T,6090,OK
5801.T,6090,OK
6326.T,6085,OK
8113.T,6093,OK
4188.T,6097,OK
9509.T,6099,OK
6971.T,6077,OK
6503.T,6090,OK
2413.T,6071,OK
8601.T,6013,OK
8002.T,5991,OK
8233.T,6002,OK
4519.T,6084,OK
7733.T,6047,OK
9504.T,6065,OK
6361.T,6038,OK
4502.T,5993,OK
2801.T,6006,OK
1605.T,6089,OK
6098.T,6008,OK
7270.T,5963,OK
6701.T,6085,OK
3231.T,6087,OK
8697.T,6029,OK
6963.T,6091,OK
3315.T,2866,OK
3861.T,6101,OK
5713.T,6077,OK
8802.T,6051,OK
7012.T,6091,OK
7751.T,6055,OK
8725.T,6073,OK
9107.T,6082,OK
2914.T,5969,OK
4901.T,6058,OK
9843.T,5862,OK
6869.T,5986,OK
4446.T,1414,OK
3092.T,5960,OK
9101.T,6081,OK
4661.T,6095,OK
6954.T,6074,OK
7936.T,6013,OK
5076.T,5804,OK
8593.T,5991,OK
3064.T,6023,OK
8473.T,6034,OK
3407.T,5988,OK
8331.T,5987,OK
4751.T,6054,OK
8591.T,5966,OK
5802.T,6097,OK
4004.T,6061,OK
5411.T,6062,OK
6323.T,6026,OK
7762.T,5608,OK
3853.T,6054,OK
9506.T,5953,OK
3099.T,6086,OK
7731.T,5982,OK
7186.T,5996,OK
6472.T,6021,OK
5019.T,6038,OK
4507.T,6016,OK
7202.T,6040,OK
8524.T,4952,OK
8309.T,6058,OK
8848.T,4627,OK
4385.T,6094,OK
2897.T,6050,OK
2802.T,6041,OK
9020.T,6020,OK
7259.T,6039,OK
5726.T,6024,OK
9104.T,6081,OK
2503.T,6044,OK
6506.T,5998,OK
9022.T,5995,OK
9831.T,6025,OK
7003.T,5988,OK
7832.T,6058,OK
8515.T,3613,OK
8001.T,6085,OK
3289.T,5958,OK
2267.T,6015,OK
4528.T,6037,OK
1802.T,6075,OK
1803.T,6082,OK
6871.T,5649,OK
8053.T,6069,OK
7167.T,6091,OK
5991.T,5695,OK
8630.T,6061,OK
8015.T,6047,OK
9697.T,6068,OK
9502.T,6026,OK
6976.T,6019,OK
6988.T,6000,OK
6965.T,6054,OK
7752.T,5959,OK
6301.T,6066,OK
3110.T,5650,OK
9202.T,6021,OK
3003.T,5887,OK
5706.T,6069,OK
5535.T,4271,OK
9424.T,3432,OK
1911.T,6091,OK
4911.T,6085,OK
7735.T,6046,OK
9508.T,6001,OK
9023.T,6015,OK
4902.T,6079,OK
8795.T,5988,OK
8698.T,5186,OK
9201.T,5897,OK
4704.T,5783,OK
1861.T,3802,OK
4452.T,5958,OK
2127.T,6047,OK
9021.T,5898,OK
5406.T,5985,OK
9009.T,5762,OK
4062.T,6073,OK
3038.T,5899,OK
5108.T,5975,OK
7951.T,5814,OK
