code,注目,コード,銘柄名,M,市場,貸借区分,T,現在値,前日比,前日比率,出来高,出来高乖離率,5DVMA,始値,高値,安値,時刻,一般信用売(1日),特別空売り料,逆日歩,一人当たり売建可能数量
3902.T,,3902,メディカル・データ・ビジ,0,東Ｐ,貸借,▼,460,-86,-15.75%,"511,600",209.87,"165,100",472,472,451,11:30,〇,-,-,0
2936.T,,2936,ベースフード,0,東Ｇ,貸借,▼,361,-69,-16.05%,"451,000",206.46,"147,160",380,385,361,11:30,〇,1.2,0.05,"3,200"
6797.T,,6797,名古屋電機工業,0,東Ｓ,信用,▲,"1,253.00",-18,-1.42%,"8,900",202.72,"2,940","1,245.00","1,264.00","1,245.00",11:28,〇,1,-,200
3041.T,,3041,ビューティカダンホールディ,0,東Ｓ,貸借,▼,463,8,1.76%,"10,700",202.25,"3,540",455,468,452,11:20,〇,0.3,-,100
6467.T,,6467,ニチダイ,0,東Ｓ,信用,▼,359,-2,-0.55%,"9,900",198.19,"3,320",359,360,359,11:23,〇,0.2,-,0
3349.T,,3349,コスモス薬品,0,東Ｐ,貸借,▲,"7,582.00",-802,-9.57%,"1,216,900",189.97,"419,660","7,634.00","7,716.00","7,291.00",11:30,〇,-,-,"6,100"
212A.T,,212A,フィットイージー,0,東Ｐ,信用,▲,"2,876.00",-123,-4.10%,"550,900",184.55,"193,600","2,849.00","2,930.00","2,842.00",11:30,〇,1,-,"4,100"
5246.T,,5246,ＥＬＥＭＥＮＴＳ,0,東Ｇ,信用,▼,838,-102,-10.85%,"1,608,900",179.28,"576,080",940,959,818,11:30,〇,2.2,-,0
4429.T,,4429,リックソフト,0,東Ｇ,貸借,▲,"1,068.00",-113,-9.57%,"33,300",178.42,"11,960","1,061.00","1,100.00","1,027.00",11:30,〇,-,-,200
3541.T,,3541,農業総合研究所,0,東Ｇ,貸借,▼,491,-23,-4.47%,"620,400",174.65,"225,880",504,504,463,11:30,〇,1.5,-,0
5962.T,,5962,浅香工業,0,東Ｓ,信用,▲,"1,673.00",1,0.06%,"1,200",172.72,440,"1,672.00","1,673.00","1,672.00",11:11,〇,1.3,-,700
6312.T,,6312,フロイント産業,0,東Ｓ,信用,▲,"1,083.00",7,0.65%,"64,800",170.67,"23,940","1,082.00","1,085.00","1,082.00",11:29,〇,0.1,-,400
181A.T,,181A,ＭＸ米債１－３ヘ無,0,東Ｐ,貸借,▼,509.6,-1.8,-0.35%,"1,480",169.09,550,519.8,519.8,509.6,11:07,✕,-,-,0
6147.T,,6147,ヤマザキ,0,東Ｓ,信用,▼,318,4,1.27%,"17,000",168.98,"6,320",314,330,314,10:15,〇,0.3,-,0
1691.T,,1691,ＷＴガソリン上場投信,0,東Ｐ,貸借,▲,"7,619.00",-32,-0.42%,431,167.7,161,"8,024.00","8,474.00","7,580.00",10:31,✕,-,-,0
5250.T,,5250,プライム・ストラテジー,0,東Ｓ,信用,▲,911,-35,-3.70%,"8,100",162.98,"3,080",931,934,902,11:09,〇,1,-,100
1550.T,,1550,ＭＡＸＩＳ海外株式,0,東Ｐ,貸借,▼,"6,776.00",40,0.59%,"13,870",162.04,"5,293","6,771.00","6,781.00","6,762.00",11:30,〇,5,-,53
5724.T,,5724,アサカ理研,0,東Ｓ,信用,▲,"1,742.00",152,9.56%,"1,194,400",160.26,"458,920","1,720.00","1,888.00","1,690.00",11:30,〇,1,-,"10,100"
4385.T,,4385,メルカリ,0,東Ｐ,貸借,▲,"2,329.00",244.5,11.73%,"7,379,900",158.86,"2,850,900","2,201.00","2,343.00","2,200.00",11:30,〇,-,-,"65,900"
3647.T,,3647,ジー・スリーホールディング,0,東Ｓ,信用,▼,149,6,4.20%,"5,000,600",158.85,"1,931,780",158,177,148,11:30,〇,0.3,-,"38,700"
2653.T,,2653,イオン九州,0,東Ｓ,信用,▼,"2,917.00",81,2.86%,"24,100",158.02,"9,340","2,888.00","2,930.00","2,871.00",11:30,〇,3.6,-,0
2001.T,,2001,ニップン,0,東Ｐ,貸借,▼,"2,257.00",12,0.53%,"417,000",154.54,"163,820","2,204.00","2,269.00","2,201.00",11:30,〇,-,-,0
7619.T,,7619,田中商事,0,東Ｓ,貸借,▲,818,26,3.28%,"29,500",150.42,"11,780",800,818,800,11:20,〇,-,-,0
2622.T,,2622,ＩＳ米ドル新興債ヘジ,0,東Ｐ,貸借,▲,"1,746.00",-4,-0.23%,"3,740",150,"1,496","1,760.00","1,760.00","1,744.00",11:29,〇,2,5,31
4365.T,,4365,松本油脂製薬,0,東Ｓ,信用,▲,"19,790.00",0,0.00%,400,150,160,"19,790.00","19,790.00","19,780.00",9:53,〇,0.4,-,0
7077.T,,7077,ＡＬＩＮＫインターネット,0,東Ｇ,信用,▼,"1,022.00",-18,-1.73%,"2,900",150,"1,160","1,027.00","1,028.00","1,022.00",10:04,〇,1,-,0
2849.T,,2849,ＧＸ高配当ＥＳＧ日株,0,東Ｐ,貸借,▲,"4,795.00",33,0.69%,"3,582",146.52,"1,453","4,826.00","4,826.00","4,782.00",11:20,〇,5,-,49
9948.T,,9948,アークス,0,東Ｐ,貸借,▲,"3,170.00",155,5.14%,"121,000",137.9,"50,860","3,085.00","3,215.00","3,055.00",11:30,〇,-,0.05,"13,100"
3935.T,,3935,エディア,0,東Ｓ,信用,▲,"1,160.00",80,7.41%,"472,400",131.45,"204,100","1,110.00","1,177.00","1,110.00",11:30,〇,-,-,"3,000"
2934.T,,2934,ジェイフロンティア,0,東Ｇ,信用,▼,"1,756.00",-8,-0.45%,"98,200",131.05,"42,500","1,736.00","1,779.00","1,736.00",11:27,〇,2.3,-,"1,000"
5969.T,,5969,ロブテックス,0,東Ｓ,信用,▼,"1,175.00",-11,-0.93%,"1,000",127.27,440,"1,185.00","1,185.00","1,175.00",11:18,〇,0.7,-,600
2186.T,,2186,ソーバル,0,東Ｓ,信用,▼,913,-7,-0.76%,"7,100",126.11,"3,140",919,919,912,11:08,〇,0.6,-,0
9252.T,,9252,ラストワンマイル,0,東Ｇ,信用,▼,"4,070.00",5,0.12%,"32,700",124.27,"14,580","4,120.00","4,220.00","4,065.00",11:30,〇,5,-,0
9679.T,,9679,ホウライ,0,東Ｓ,信用,▼,"1,921.00",21,1.11%,"1,200",122.22,540,"1,969.00","1,969.00","1,921.00",10:50,〇,0.1,-,"2,600"
1469.T,,1469,ＪＰＸ日経４００ベア２倍,0,東Ｐ,貸借,▼,364.4,-7.9,-2.12%,"61,140",120.78,"27,692",369.7,369.7,364.4,11:20,〇,0.3,-,710
2564.T,,2564,ＧＸスーパーディビＥＴＦ,0,東Ｐ,貸借,▲,"3,121.00",30,0.97%,"72,195",120.18,"32,788","3,107.00","3,121.00","3,104.00",11:30,〇,3,-,497
