code,ATR_n_TRAIN,TPk_TRAIN,SLk_TRAIN,J_th_TRAIN,dJ_th_TRAIN,vEMA_th_TRAIN,winrate_TRAIN,pf_TRAIN,trades_TRAIN,PF_eff_TRAIN,winrate_TEST,pf_TEST,trades_TEST,ATR_n_TEST,TPk_TEST,SLk_TEST,J_th_TEST,dJ_th_TEST,vEMA_th_TEST,PF_eff_TEST
4680.T,1,1.2,1.5,0.8,0.05,0.02,0.24074074074074073,0.26440677966101694,162,0.25335430859639085,0.25,0.2736842105263158,52,1,1.2,1.5,0.8,0.05,0.02,0.26634683724235964
4689.T,2,1.2,2.0,0.6,0.02,0.02,0.2485207100591716,0.19999999999999998,338,0.19821362793465291,0.4326923076923077,0.4576271186440678,104,2,1.2,2.0,0.6,0.02,0.02,0.4571391782270143
4704.T,3,1.2,2.0,0.8,0.05,0.05,0.40977443609022557,0.4165605095541401,266,0.41611635600536856,0.4507042253521127,0.4923076923076923,71,3,1.2,2.0,0.8,0.05,0.05,0.4917827740698594
4732.T,1,1.2,1.5,0.6,0.02,0.02,0.2871287128712871,0.32447552447552447,202,0.3218357616678513,0.2028985507246377,0.20363636363636364,69,1,1.2,1.5,0.6,0.02,0.02,0.20339213025780195
4751.T,2,1.2,1.5,0.6,0.02,0.02,0.19345238095238096,0.1918819188191882,336,0.19165178325557244,0.3090909090909091,0.35789473684210527,110,2,1.2,1.5,0.6,0.02,0.02,0.35746549208843004
4755.T,3,1.2,2.0,1.0,0.05,0.02,0.4057971014492754,0.42000000000000004,276,0.40931919914960857,0.4270833333333333,0.4555555555555555,96,3,1.2,2.0,1.0,0.05,0.02,0.446795827123696
4814.T,1,1.2,1.5,1.0,0.02,0.05,0.2222222222222222,0.23272727272727273,72,0.2282972890648797,0.34782608695652173,0.42666666666666664,23,1,1.2,1.5,1.0,0.02,0.05,0.42615493958777545
4889.T,3,1.2,1.5,0.8,0.02,0.05,0.29411764705882354,0.33587786259541985,187,0.3329335465529496,0.3076923076923077,0.3622641509433962,78,3,1.2,1.5,0.8,0.02,0.05,0.35512911632314625
4901.T,5,1.2,2.0,0.6,0.05,0.02,0.2956810631229236,0.2542857142857143,301,0.25161822063627387,0.4,0.4,95,5,1.2,2.0,0.6,0.05,0.02,0.39957350393176067
4902.T,5,1.2,2.0,0.8,0.02,0.02,0.3223684210526316,0.28965517241379307,304,0.28513254892217876,0.16216216216216217,0.11999999999999998,111,5,1.2,2.0,0.8,0.02,0.02,0.11600521081889828
4911.T,2,1.2,1.5,0.6,0.02,0.02,0.26495726495726496,0.2929133858267716,351,0.2880262309713889,0.11764705882352941,0.11162790697674417,102,2,1.2,1.5,0.6,0.02,0.02,0.10653873489694386
5016.T,3,1.2,1.5,1.0,0.02,0.02,0.27137546468401486,0.30103092783505153,269,0.29760182324528955,0.37681159420289856,0.48372093023255813,69,3,1.2,1.5,1.0,0.02,0.02,0.4831407745326524
5019.T,2,1.2,1.5,1.0,0.05,0.05,0.2323943661971831,0.24220183486238533,284,0.24191134758709731,0.29411764705882354,0.3333333333333333,68,2,1.2,1.5,1.0,0.05,0.05,0.3329335465529496
5020.T,5,1.2,2.0,0.6,0.02,0.05,0.31095406360424027,0.2721649484536082,283,0.2704805257384226,0.3076923076923077,0.2769230769230769,78,5,1.2,2.0,0.6,0.02,0.05,0.2663823359545071
5076.T,3,1.2,1.5,0.6,0.02,0.05,0.1580547112462006,0.15018050541516245,329,0.15000038487295347,0.24324324324324326,0.2634146341463415,111,3,1.2,1.5,0.6,0.02,0.05,0.25683445019798967
5101.T,2,1.2,2.0,1.0,0.05,0.05,0.3659574468085106,0.3510204081632653,235,0.34593947655836993,0.22549019607843138,0.1769230769230769,102,2,1.2,2.0,1.0,0.05,0.05,0.17449728969171827
5105.T,1,1.2,1.5,0.6,0.02,0.02,0.23790322580645162,0.25513513513513514,248,0.24943592694125746,0.13793103448275862,0.1297297297297297,87,1,1.2,1.5,0.6,0.02,0.02,0.12784648187633263
5108.T,2,1.2,2.0,1.0,0.05,0.02,0.23624595469255663,0.18717948717948718,309,0.1853953333920669,0.24242424242424243,0.19459459459459458,99,2,1.2,2.0,1.0,0.05,0.02,0.19179528188724512
5246.T,3,1.2,1.5,1.0,0.02,0.02,0.18315018315018314,0.18018018018018017,273,0.17915706540965898,0.1391304347826087,0.13333333333333333,115,3,1.2,1.5,1.0,0.02,0.02,0.12913786048114406
5253.T,1,1.2,1.5,0.8,0.05,0.02,0.19270833333333334,0.1922077922077922,192,0.19073870279936725,0.19402985074626866,0.1925925925925926,67,1,1.2,1.5,0.8,0.05,0.02,0.19236160467503752
5401.T,5,1.2,2.0,0.6,0.05,0.02,0.31365313653136534,0.2756756756756757,271,0.27390119221128756,0.4189189189189189,0.46499999999999997,74,5,1.2,2.0,0.6,0.05,0.02,0.4320969286703923
5406.T,5,1.2,1.5,0.6,0.02,0.02,0.23376623376623376,0.2451063829787234,308,0.24377507137436308,0.2857142857142857,0.32,91,5,1.2,1.5,0.6,0.02,0.02,0.3196162046908316
5411.T,5,1.2,1.5,0.6,0.05,0.02,0.19875776397515527,0.19922178988326847,322,0.1982115998082676,0.26262626262626265,0.28493150684931506,99,5,1.2,1.5,0.6,0.05,0.02,0.2845897713000556
5595.T,1,1.2,1.5,0.6,0.02,0.02,0.17437722419928825,0.17043478260869566,281,0.1687628667009779,0.17857142857142858,0.17647058823529413,84,1,1.2,1.5,0.6,0.02,0.02,0.17370445907110413
5631.T,5,1.2,2.0,0.6,0.05,0.05,0.3048780487804878,0.2631578947368421,246,0.2628773052182636,0.18947368421052632,0.14210526315789473,95,5,1.2,2.0,0.6,0.05,0.05,0.14011018969035766
5706.T,3,1.2,2.0,0.8,0.05,0.02,0.2757475083056478,0.23162790697674418,301,0.22819679467662474,0.1323529411764706,0.09310344827586206,68,3,1.2,2.0,0.8,0.05,0.02,0.09142783564540287
5711.T,3,1.2,2.0,1.0,0.02,0.02,0.25903614457831325,0.21061224489795918,332,0.20953244718372818,0.1485148514851485,0.10975609756097561,101,3,1.2,2.0,1.0,0.02,0.02,0.1045395795170304
5713.T,5,1.2,2.0,0.8,0.05,0.05,0.3488372093023256,0.32142857142857145,258,0.3210858513737362,0.4875,0.6157894736842104,80,5,1.2,2.0,0.8,0.05,0.05,0.5701231702440975
5724.T,3,1.2,2.0,1.0,0.02,0.05,0.40145985401459855,0.4125,137,0.4020099277362226,0.2839506172839506,0.2421052631578947,81,3,1.2,2.0,1.0,0.02,0.05,0.23767734285596104
5726.T,2,1.2,1.5,0.6,0.02,0.05,0.2867132867132867,0.32799999999999996,286,0.3211829507922572,0.20430107526881722,0.20821917808219179,93,2,1.2,1.5,0.6,0.02,0.05,0.2051590503083041
5801.T,2,1.2,2.0,0.6,0.02,0.02,0.3116883116883117,0.2769230769230769,308,0.2714084177649695,0.24528301886792453,0.20259740259740258,106,2,1.2,2.0,0.6,0.02,0.02,0.1947920831667333
5802.T,5,1.2,2.0,1.0,0.02,0.05,0.27626459143968873,0.23027027027027028,257,0.22878805467060492,0.18072289156626506,0.140625,83,5,1.2,2.0,1.0,0.02,0.05,0.1322118211538914
5803.T,3,1.2,2.0,0.6,0.02,0.05,0.39768339768339767,0.3987096774193548,259,0.3957314510093399,0.2872340425531915,0.253125,94,3,1.2,2.0,0.6,0.02,0.05,0.24153323745128819
5838.T,2,1.2,1.5,0.6,0.02,0.05,0.25517241379310346,0.2753488372093023,290,0.27374536049909187,0.23333333333333334,0.24705882352941175,90,2,1.2,1.5,0.6,0.02,0.05,0.24318624269954578
5952.T,2,1.2,2.0,1.0,0.05,0.05,0.5263157894736842,0.7058823529411765,38,0.6659558398862677,0.24096385542168675,0.21052631578947367,83,2,1.2,2.0,1.0,0.05,0.05,0.1902730971103622
5991.T,2,1.2,1.5,1.0,0.02,0.05,0.19480519480519481,0.1935483870967742,308,0.19331625283719653,0.10309278350515463,0.09195402298850575,97,2,1.2,1.5,1.0,0.02,0.05,0.09184373698012402
6098.T,5,1.2,2.0,1.0,0.05,0.05,0.44505494505494503,0.486,182,0.4806750567099893,0.09782608695652174,0.06666666666666667,92,5,1.2,2.0,1.0,0.05,0.05,0.06499087112143095
6113.T,5,1.2,1.5,0.8,0.02,0.05,0.24054982817869416,0.2545454545454545,291,0.25308975484568114,0.23170731707317074,0.24516129032258066,82,5,1.2,1.5,0.8,0.02,0.05,0.24098047179070636
6141.T,2,1.2,1.5,0.6,0.02,0.02,0.14792899408284024,0.13937282229965156,338,0.13872231106372898,0.24742268041237114,0.2704225352112676,97,2,1.2,1.5,0.6,0.02,0.02,0.26269825043082046
6146.T,1,1.2,1.5,0.6,0.02,0.02,0.23875432525951557,0.25555555555555554,289,0.2506081604962202,0.16842105263157894,0.17297297297297295,95,1,1.2,1.5,0.6,0.02,0.02,0.16183098971687676
6177.T,1,1.2,1.5,1.0,0.02,0.05,0.3875,0.5391304347826086,80,0.5055154257865193,0.17073170731707318,0.17500000000000002,41,1,1.2,1.5,1.0,0.02,0.05,0.16450834064969275
