code,ATR_n_TRAIN,TPk_TRAIN,SLk_TRAIN,J_th_TRAIN,dJ_th_TRAIN,vEMA_th_TRAIN,winrate_TRAIN,pf_TRAIN,trades_TRAIN,PF_eff_TRAIN,winrate_TEST,pf_TEST,trades_TEST,ATR_n_TEST,TPk_TEST,SLk_TEST,J_th_TEST,dJ_th_TEST,vEMA_th_TEST,PF_eff_TEST
7205.T,3,1.2,1.5,1.0,0.02,0.05,0.19330855018587362,0.19439252336448598,269,0.19147514566731846,0.23880597014925373,0.25098039215686274,67,3,1.2,1.5,1.0,0.02,0.05,0.2506793762281032
7211.T,3,1.2,2.0,0.8,0.05,0.02,0.2902208201892745,0.2475336322869955,317,0.24507174907814658,0.26595744680851063,0.21739130434782608,94,3,1.2,2.0,0.8,0.05,0.02,0.21715951300639166
7259.T,5,1.2,2.0,1.0,0.02,0.02,0.35587188612099646,0.3314917127071823,281,0.3311382629268735,0.18947368421052632,0.144,95,5,1.2,2.0,1.0,0.02,0.02,0.14011018969035766
7261.T,3,1.2,1.5,0.6,0.02,0.05,0.2152317880794702,0.22127659574468084,302,0.21914613190827062,0.2823529411764706,0.31999999999999995,85,3,1.2,1.5,0.6,0.02,0.05,0.31437659477786717
7267.T,3,1.2,2.0,0.6,0.02,0.02,0.39792387543252594,0.40588235294117647,289,0.3961289047599351,0.4,0.4434782608695652,85,3,1.2,2.0,0.6,0.02,0.02,0.39957350393176067
7269.T,2,1.2,2.0,0.6,0.02,0.05,0.2945205479452055,0.2529411764705882,292,0.2502183592582385,0.2159090909090909,0.1701492537313433,88,2,1.2,2.0,0.6,0.02,0.05,0.16504122988485767
7270.T,2,1.2,1.5,1.0,0.05,0.05,0.26013513513513514,0.2825688073394495,296,0.2809411844885163,0.23655913978494625,0.2514285714285714,93,2,1.2,1.5,1.0,0.05,0.05,0.24759001771824984
7272.T,3,1.2,2.0,0.6,0.05,0.02,0.3166144200626959,0.28186046511627905,319,0.27768525617276024,0.40476190476190477,0.425,84,3,1.2,2.0,0.6,0.05,0.02,0.4075649740103958
7276.T,2,1.2,1.5,0.8,0.05,0.02,0.2695035460992908,0.2980392156862745,282,0.29479164510319417,0.13333333333333333,0.12307692307692308,105,2,1.2,1.5,0.8,0.05,0.02,0.12292930949647368
7453.T,5,1.2,2.0,1.0,0.05,0.02,0.3805668016194332,0.37105263157894736,247,0.3682344055841716,0.1956521739130435,0.14594594594594593,92,5,1.2,2.0,1.0,0.05,0.02,0.1457903325156424
7532.T,2,1.2,2.0,1.0,0.02,0.02,0.3597122302158273,0.3468208092485549,278,0.3367192448863151,0.4,0.43902439024390244,75,2,1.2,2.0,1.0,0.02,0.02,0.39957350393176067
7599.T,2,1.2,1.5,1.0,0.05,0.05,0.2962962962962963,0.3386243386243386,270,0.3364381102008754,0.4,0.5333333333333333,65,2,1.2,1.5,1.0,0.05,0.05,0.5326936744847194
7711.T,2,1.2,2.0,0.6,0.05,0.02,0.4166666666666667,0.42857142857142855,180,0.4281144684983151,0.14285714285714285,0.13333333333333333,28,2,1.2,2.0,0.6,0.05,0.02,0.09989337598294017
7730.T,3,1.2,2.0,0.6,0.02,0.02,0.39672131147540984,0.39890109890109887,305,0.39414451610660084,0.10526315789473684,0.07228915662650602,95,3,1.2,2.0,0.6,0.02,0.02,0.0705129712820754
7731.T,2,1.2,2.0,1.0,0.02,0.02,0.33647798742138363,0.30865384615384617,318,0.30394098284856674,0.34146341463414637,0.3230769230769231,82,2,1.2,2.0,1.0,0.02,0.02,0.310779391946925
7733.T,1,1.2,2.0,1.0,0.05,0.02,0.314410480349345,0.2769230769230769,229,0.27486584983840867,0.390625,0.40540540540540543,64,1,1.2,2.0,1.0,0.05,0.02,0.38420529224207756
7735.T,2,1.2,2.0,0.8,0.02,0.05,0.2898550724637681,0.25,276,0.24463683914189427,0.20202020202020202,0.15384615384615385,99,2,1.2,2.0,0.8,0.02,0.05,0.1517367736449724
7741.T,3,1.2,2.0,0.6,0.05,0.02,0.25925925925925924,0.21,351,0.20977608956417435,0.25892857142857145,0.22597402597402597,112,3,1.2,2.0,0.6,0.05,0.02,0.20941502916905527
7751.T,5,1.2,1.5,0.8,0.05,0.05,0.2196969696969697,0.22524271844660193,264,0.22497257126296397,0.15294117647058825,0.14647887323943662,85,5,1.2,1.5,0.8,0.05,0.05,0.14427120350627817
7762.T,1,1.2,1.5,0.8,0.05,0.05,0.4528301886792453,0.6857142857142856,53,0.661274906256893,0.0,0.0,23,1,1.2,1.5,0.8,0.05,0.05,0.0
7776.T,1,1.2,1.5,0.6,0.05,0.02,0.23529411764705882,0.2526315789473684,51,0.24585861899294736,0.4,0.5517241379310345,50,1,1.2,1.5,0.6,0.05,0.02,0.5326936744847194
7794.T,1,1.2,2.0,1.0,0.05,0.05,0.6666666666666666,1.3,39,1.1987205117952817,0.38461538461538464,0.4166666666666667,65,1,1.2,2.0,1.0,0.05,0.05,0.37460015993602563
7832.T,2,1.2,2.0,0.8,0.05,0.05,0.23841059602649006,0.18782608695652173,302,0.18762581923752242,0.3835616438356164,0.39069767441860465,73,2,1.2,2.0,0.8,0.05,0.05,0.37293527033630985
7911.T,5,1.2,1.5,0.8,0.05,0.02,0.2202797202797203,0.227027027027027,286,0.22573790241617028,0.25252525252525254,0.2702702702702703,99,5,1.2,1.5,0.8,0.05,0.02,0.2699461188267159
7912.T,5,1.2,2.0,0.6,0.02,0.02,0.2993421052631579,0.25754716981132075,304,0.2560647102661283,0.27884615384615385,0.24857142857142855,104,5,1.2,2.0,0.6,0.02,0.02,0.2317526322804212
7936.T,5,1.2,2.0,0.8,0.02,0.02,0.36585365853658536,0.35195530726256985,287,0.3457847630178698,0.3707865168539326,0.3535714285714286,89,5,1.2,2.0,0.8,0.02,0.02,0.35319443651110993
7951.T,1,1.2,1.5,0.8,0.02,0.05,0.22527472527472528,0.23428571428571426,182,0.2323451133390797,0.234375,0.25,64,1,1.2,1.5,0.8,0.02,0.05,0.24460423828379968
7974.T,5,1.2,2.0,1.0,0.02,0.05,0.21292775665399238,0.16231884057971016,263,0.16214576971143912,0.32432432432432434,0.31304347826086953,74,5,1.2,2.0,1.0,0.02,0.05,0.28769292283086767
8001.T,1,1.2,2.0,0.8,0.02,0.05,0.3991228070175439,0.3985401459854015,228,0.3981152064721557,0.26582278481012656,0.225,79,1,1.2,2.0,0.8,0.02,0.05,0.21700974782500793
8002.T,5,1.2,2.0,1.0,0.05,0.02,0.35051546391752575,0.32380952380952377,291,0.3234642650876157,0.14606741573033707,0.10684931506849314,89,5,1.2,2.0,1.0,0.05,0.02,0.1025221490351228
8015.T,5,1.2,2.0,0.6,0.05,0.05,0.3453815261044177,0.31851851851851853,249,0.316226883479737,0.2235294117647059,0.18095238095238095,85,5,1.2,2.0,0.6,0.05,0.05,0.17254310397053305
8031.T,2,1.2,2.0,1.0,0.05,0.05,0.4117647058823529,0.4260869565217391,238,0.4195521791283487,0.20512820512820512,0.16,78,2,1.2,2.0,1.0,0.05,0.05,0.15467361442519767
8035.T,2,1.2,1.5,0.6,0.05,0.05,0.2326388888888889,0.24700460829493084,288,0.24224305106658048,0.14705882352941177,0.14285714285714285,68,2,1.2,1.5,0.6,0.05,0.05,0.13776560547018604
8053.T,5,1.2,2.0,0.6,0.02,0.02,0.3119266055045872,0.27443946188340806,327,0.2717099826735973,0.3118279569892473,0.2806451612903226,93,5,1.2,2.0,0.6,0.02,0.02,0.27158511595361856
8058.T,5,1.2,1.5,1.0,0.05,0.05,0.32113821138211385,0.3784431137724551,246,0.37798922411041463,0.21428571428571427,0.21818181818181817,70,5,1.2,1.5,1.0,0.05,0.05,0.21792013956193065
8105.T,5,1.2,1.5,0.6,0.02,0.02,0.30201342281879195,0.34951456310679613,298,0.34573868295883226,0.1836734693877551,0.18,98,5,1.2,1.5,0.6,0.02,0.02,0.17978411513859277
8113.T,5,1.2,2.0,1.0,0.02,0.05,0.27611940298507465,0.2288659793814433,268,0.2286219532805435,0.10588235294117647,0.072,85,5,1.2,2.0,1.0,0.02,0.05,0.07097687240893116
8136.T,5,1.2,2.0,1.0,0.05,0.02,0.3082706766917293,0.2733333333333333,266,0.2671062009978617,0.3617021276595745,0.36428571428571427,94,5,1.2,2.0,1.0,0.05,0.02,0.33963747834199653
8233.T,3,1.2,1.5,0.8,0.05,0.02,0.26855123674911663,0.2980392156862745,283,0.29336753087564255,0.1111111111111111,0.10126582278481013,90,3,1.2,1.5,0.8,0.05,0.02,0.09988006396588486
8267.T,3,1.2,2.0,0.6,0.02,0.05,0.25704225352112675,0.21159420289855072,284,0.2073616051209848,0.3132530120481928,0.28888888888888886,83,3,1.2,2.0,0.6,0.02,0.05,0.2733923974269941
8306.T,2,1.2,2.0,1.0,0.02,0.05,0.39271255060728744,0.39060402684563755,247,0.38758629881380785,0.125,0.09375,80,2,1.2,2.0,1.0,0.02,0.05,0.085622893699663
8308.T,2,1.2,2.0,1.0,0.05,0.05,0.3346613545816733,0.3111111111111111,251,0.3014746197329451,0.20689655172413793,0.1636363636363636,87,2,1.2,2.0,1.0,0.05,0.05,0.15635484936460198
8309.T,2,1.2,1.5,1.0,0.02,0.05,0.26119402985074625,0.28717948717948716,268,0.2824890698025026,0.19791666666666666,0.20266666666666666,96,2,1.2,1.5,1.0,0.02,0.05,0.19716584055603245
8316.T,5,1.2,2.0,0.6,0.02,0.05,0.3483606557377049,0.32075471698113206,244,0.3204127154169779,0.26744186046511625,0.2262295081967213,86,5,1.2,2.0,0.6,0.02,0.05,0.21881406167691653
8331.T,1,1.2,1.5,0.6,0.05,0.02,0.22608695652173913,0.23502824858757063,230,0.23342756522364108,0.27941176470588236,0.32340425531914896,68,1,1.2,1.5,0.6,0.05,0.02,0.3098320351594796
8359.T,1,1.2,1.5,0.6,0.05,0.02,0.2804878048780488,0.311864406779661,246,0.31149036897835286,0.11940298507462686,0.1103448275862069,67,1,1.2,1.5,0.6,0.05,0.02,0.10834447616638358
8411.T,2,1.2,2.0,0.6,0.05,0.05,0.370242214532872,0.35274725274725277,289,0.35237113945630544,0.19387755102040816,0.15,98,2,1.2,2.0,0.6,0.05,0.05,0.14414993496272377
8473.T,3,1.2,2.0,0.6,0.05,0.02,0.1891891891891892,0.14297872340425533,296,0.13985072637611626,0.29069767441860467,0.2542372881355932,86,3,1.2,2.0,0.6,0.05,0.02,0.24563944913837749
8591.T,2,1.2,2.0,1.0,0.02,0.02,0.288961038961039,0.24495412844036696,308,0.243575629109087,0.08849557522123894,0.058823529411764705,113,2,1.2,2.0,1.0,0.02,0.02,0.05819031610656708
8601.T,2,1.2,2.0,0.8,0.02,0.05,0.2684563758389262,0.2222222222222222,298,0.21994871776060224,0.4,0.4551724137931034,55,2,1.2,2.0,0.8,0.02,0.05,0.39957350393176067
8604.T,5,1.2,1.5,0.6,0.02,0.05,0.21908127208480566,0.22443438914027147,283,0.2241652114347461,0.20270270270270271,0.20689655172413793,74,5,1.2,1.5,0.6,0.02,0.05,0.20314589281196924
8630.T,5,1.2,2.0,1.0,0.02,0.05,0.28185328185328185,0.23804347826086955,259,0.2352327886049881,0.24705882352941178,0.2032258064516129,85,5,1.2,2.0,1.0,0.02,0.05,0.19666508396641347
8697.T,3,1.2,1.5,0.6,0.05,0.02,0.14733542319749215,0.13874538745387455,319,0.13806950018813496,0.19318181818181818,0.19428571428571428,88,3,1.2,1.5,0.6,0.05,0.02,0.1913195591459203
8725.T,3,1.2,2.0,0.6,0.05,0.05,0.296028880866426,0.25492227979274606,277,0.25203867171080285,0.20238095238095238,0.15454545454545454,84,3,1.2,2.0,0.6,0.05,0.05,0.15207648283969996
8729.T,2,1.2,2.0,1.0,0.05,0.02,0.38,0.37254901960784315,250,0.36734983425984447,0.45614035087719296,0.5379310344827586,57,2,1.2,2.0,1.0,0.05,0.02,0.5026892468818924
8750.T,5,1.2,1.5,1.0,0.05,0.02,0.23776223776223776,0.2506912442396313,286,0.24924199448367595,0.18888888888888888,0.1971014492753623,90,5,1.2,1.5,1.0,0.05,0.02,0.18607792738849782
8766.T,5,1.2,2.0,0.8,0.05,0.05,0.3534136546184739,0.3341772151898734,249,0.327600636763928,0.19736842105263158,0.14754098360655737,76,5,1.2,2.0,0.8,0.05,0.05,0.1473836694830265
8795.T,5,1.2,2.0,0.8,0.05,0.05,0.27208480565371024,0.22536585365853656,283,0.22403271701028324,0.38461538461538464,0.39473684210526316,65,5,1.2,2.0,0.8,0.05,0.05,0.37460015993602563
8801.T,2,1.2,2.0,1.0,0.05,0.05,0.33687943262411346,0.3081081081081081,282,0.30448783053623474,0.3068181818181818,0.26999999999999996,88,2,1.2,2.0,1.0,0.05,0.05,0.2652906050694477
8802.T,2,1.2,2.0,0.6,0.02,0.02,0.2691131498470948,0.22278481012658227,327,0.22068494777821085,0.2413793103448276,0.19384615384615383,87,2,1.2,2.0,0.6,0.02,0.02,0.19070553596743123
8830.T,5,1.2,2.0,0.8,0.05,0.02,0.32081911262798635,0.2834170854271357,293,0.28311489474561935,0.37037037037037035,0.36,81,5,1.2,2.0,0.8,0.05,0.02,0.352564856410377
9020.T,2,1.2,2.0,1.0,0.02,0.05,0.28807947019867547,0.2439252336448598,302,0.24253182447951055,0.29545454545454547,0.26440677966101694,88,2,1.2,2.0,1.0,0.02,0.05,0.2513446234409462
9021.T,1,1.2,1.5,0.6,0.02,0.02,0.1794871794871795,0.17777777777777778,234,0.17479011194029853,0.22058823529411764,0.22641509433962265,68,1,1.2,1.5,0.6,0.02,0.02,0.22614354105483367
9022.T,3,1.2,1.5,1.0,0.02,0.05,0.2366412213740458,0.24799999999999997,262,0.2477025586353945,0.17391304347826086,0.17066666666666666,92,3,1.2,1.5,1.0,0.02,0.05,0.1682190551004377
9023.T,5,1.2,2.0,0.6,0.02,0.02,0.3333333333333333,0.3040358744394619,339,0.29968012794882043,0.23529411764705882,0.187012987012987,102,5,1.2,2.0,0.6,0.02,0.02,0.18441854027619722
9024.T,5,1.2,2.0,0.8,0.05,0.02,0.32413793103448274,0.28775510204081634,290,0.2874482859917258,0.2828282828282828,0.24000000000000002,99,5,1.2,2.0,0.8,0.05,0.02,0.23636742486104154
9101.T,5,1.2,1.5,0.8,0.02,0.05,0.22962962962962963,0.23961352657004828,270,0.23817553714941778,0.18,0.17560975609756097,100,5,1.2,1.5,0.8,0.02,0.05,0.1753991367205783
9104.T,5,1.2,2.0,0.8,0.05,0.02,0.3392857142857143,0.3114754098360656,280,0.3077795908663562,0.24,0.19199999999999998,100,5,1.2,2.0,0.8,0.05,0.02,0.18927165975714977
9107.T,3,1.2,2.0,0.6,0.02,0.02,0.3221884498480243,0.28778280542986423,329,0.28489770011278004,0.3181818181818182,0.2876712328767123,110,3,1.2,2.0,0.6,0.02,0.02,0.27970145275223246
9143.T,2,1.2,1.5,1.0,0.05,0.05,0.23381294964028776,0.24761904761904763,278,0.2438386538134278,0.14018691588785046,0.1348314606741573,107,2,1.2,1.5,1.0,0.05,0.05,0.13027834430332808
9201.T,5,1.2,1.5,0.8,0.02,0.02,0.24067796610169492,0.25470852017937223,295,0.25326730505635087,0.1956521739130435,0.1972602739726027,92,5,1.2,1.5,0.8,0.02,0.02,0.19436120555523542
9202.T,3,1.2,2.0,1.0,0.05,0.02,0.3122923588039867,0.27378640776699026,301,0.27217325630134426,0.36363636363636365,0.3764705882352941,88,3,1.2,2.0,1.0,0.05,0.02,0.342491574798652
9227.T,5,1.2,2.0,0.6,0.02,0.05,0.3101851851851852,0.27162162162162157,216,0.2695109875512882,0.23076923076923078,0.18620689655172412,78,5,1.2,2.0,0.6,0.02,0.05,0.1798080767692923
9240.T,2,1.2,1.5,0.8,0.05,0.05,0.3422222222222222,0.43076923076923074,225,0.4157170229931424,0.21518987341772153,0.22295081967213112,79,2,1.2,1.5,0.8,0.05,0.05,0.2190917532154894
9418.T,1,1.2,1.5,0.8,0.05,0.05,0.31932773109243695,0.38,119,0.37485851167443207,0.31746031746031744,0.37209302325581395,63,1,1.2,1.5,0.8,0.05,0.05,0.37164674964050187
9432.T,3,1.2,2.0,0.6,0.05,0.02,0.5102040816326531,0.7377049180327869,147,0.6243335998933761,0.3333333333333333,0.3931034482758621,57,3,1.2,2.0,0.6,0.05,0.02,0.29968012794882043
9433.T,2,1.2,2.0,0.6,0.05,0.05,0.2677165354330709,0.2217391304347826,254,0.21912095376903004,0.3132530120481928,0.28888888888888886,83,2,1.2,2.0,0.6,0.05,0.05,0.2733923974269941
9434.T,3,1.2,2.0,0.8,0.02,0.05,0.4297520661157025,0.4622222222222222,242,0.45169178705329466,0.35294117647058826,0.33962264150943394,85,3,1.2,2.0,0.8,0.02,0.05,0.3269237759441679
9501.T,2,1.2,2.0,1.0,0.02,0.05,0.3925619834710744,0.3986013986013986,242,0.387341661974666,0.19230769230769232,0.14285714285714285,78,2,1.2,2.0,1.0,0.02,0.05,0.14270482283277167
9502.T,5,1.2,2.0,1.0,0.02,0.02,0.36395759717314485,0.34525139664804466,283,0.3429672575414279,0.2222222222222222,0.19636363636363635,81,5,1.2,2.0,1.0,0.02,0.02,0.171245787399326
9503.T,2,1.2,2.0,0.8,0.05,0.05,0.3287671232876712,0.2969072164948453,292,0.29356420697027313,0.23529411764705882,0.187012987012987,102,2,1.2,2.0,0.8,0.05,0.05,0.18441854027619722
9504.T,5,1.2,1.5,0.6,0.02,0.05,0.23,0.2410480349344978,300,0.23867443856782877,0.10989010989010989,0.1,91,5,1.2,1.5,0.6,0.02,0.05,0.0986469767564295
9509.T,2,1.2,2.0,0.8,0.02,0.02,0.2155688622754491,0.16615384615384612,334,0.16470968864362656,0.23958333333333334,0.19436619718309858,96,2,1.2,2.0,0.8,0.02,0.02,0.18883953268007866
9513.T,5,1.2,2.0,1.0,0.05,0.02,0.30526315789473685,0.2636363636363636,285,0.2633552639550241,0.2727272727272727,0.23478260869565215,66,5,1.2,2.0,1.0,0.05,0.02,0.22476009596161536
9602.T,2,1.2,2.0,1.0,0.05,0.02,0.40384615384615385,0.4144736842105263,260,0.40601823786614394,0.5,0.6153846153846154,80,2,1.2,2.0,1.0,0.05,0.02,0.599360255897641
9697.T,3,1.2,1.5,0.6,0.02,0.02,0.2598187311178248,0.28429752066115704,331,0.28047952656542363,0.25252525252525254,0.2702702702702703,99,3,1.2,1.5,0.6,0.02,0.02,0.2699461188267159
9831.T,1,1.2,1.5,1.0,0.05,0.02,0.2958579881656805,0.33613445378151263,169,0.3357313074483525,0.22448979591836735,0.23157894736842105,49,1,1.2,1.5,1.0,0.05,0.02,0.2313012007631018
9843.T,2,1.2,1.5,0.8,0.02,0.05,0.29276315789473684,0.33271028037383177,304,0.33076560718004666,0.3563218390804598,0.46792452830188674,87,2,1.2,1.5,0.8,0.02,0.05,0.44232599756320445
9861.T,3,1.2,1.5,0.8,0.02,0.02,0.17465753424657535,0.1692946058091286,292,0.16909156057295033,0.3333333333333333,0.4,75,3,1.2,1.5,0.8,0.02,0.02,0.3995202558635394
9962.T,2,1.2,1.5,1.0,0.05,0.05,0.2356902356902357,0.24778761061946902,297,0.24640015780130187,0.14084507042253522,0.13114754098360656,71,2,1.2,1.5,1.0,0.05,0.05,0.1309902478241113
9983.T,3,1.2,2.0,0.6,0.02,0.02,0.3230240549828179,0.29072164948453605,291,0.28598915763643784,0.2,0.15333333333333332,115,3,1.2,2.0,0.6,0.02,0.02,0.14984006397441024
9984.T,3,1.2,1.5,1.0,0.05,0.05,0.3456221198156682,0.42857142857142855,217,0.42202843929247125,0.06493506493506493,0.05714285714285714,77,3,1.2,1.5,1.0,0.05,0.05,0.05548892442549159
