ranking,n_codes,WR_BACK_med,WR_FWD_med,PF_BACK_med,PF_FWD_med,TR_BACK_sum,TR_FWD_sum
TICK,100,0.3229887801384579,0.2638006022080963,0.3130986411405587,0.22528794637702532,20546,15625.0
NEAGARI,100,0.31057781919850885,0.25,0.2979473094575548,0.2151549636555634,9728,8238.0
NESAGARI,100,0.4027027027027027,0.23952954675846233,0.3995735039317606,0.2130063965884861,7001,6655.0
DEKIDAKA,285,0.35534787123572165,0.2542372881355932,0.3234427122980976,0.21209347176355445,28159,22962.0
YORI,200,0.35214626391096976,0.23956521739130435,0.32473518294413817,0.1997867519658803,15701,13788.0
