code,ATR_n_BACK,TPk_BACK,SLk_BACK,J_th_BACK,dJ_th_BACK,vEMA_th_BACK,winrate_BACK,pf_BACK,trades_BACK,PF_eff_BACK,winrate_FWD,pf_FWD,trades_FWD,ATR_n_FWD,TPk_FWD,SLk_FWD,J_th_FWD,dJ_th_FWD,vEMA_th_FWD,PF_eff_FWD,ranking,stamp
8750.T,5,1.2,1.5,1.0,0.05,0.05,0.2988505747126437,0.340983606557377,87,0.3405746443426894,0.2608695652173913,0.2823529411764706,92.0,5.0,1.2,1.5,1.0,0.05,0.05,0.2820142982566161,DEKIDAKA,20251015
8918.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,4,,1.0,999.0,1.0,1.0,0.8,1.5,0.6,0.02,0.02,,DEKIDAKA,20251015
9432.T,2,1.2,2.0,1.0,0.05,0.02,0.7407407407407407,4.0,27,1.7124578739932594,0.5084745762711864,0.8571428571428571,59.0,2.0,1.2,2.0,1.0,0.05,0.02,0.620027850928594,DEKIDAKA,20251015
9433.T,1,1.2,1.5,0.8,0.02,0.02,0.3176470588235294,0.3789473684210526,85,0.3719671347695023,0.2990654205607476,0.3413333333333333,107.0,1.0,1.2,1.5,0.8,0.02,0.02,0.3409239516702203,DEKIDAKA,20251015
9434.T,2,1.2,2.0,1.0,0.05,0.02,0.7,1.4608695652173913,80,1.398507263761162,0.3583333333333333,0.344,120.0,2.0,1.2,2.0,1.0,0.05,0.02,0.3347076753714099,DEKIDAKA,20251015
9501.T,5,1.2,2.0,0.6,0.05,0.02,0.3697478991596639,0.3616438356164383,119,0.3516246834599494,0.2232142857142857,0.1785714285714285,112.0,5.0,1.2,2.0,0.6,0.05,0.02,0.1722299585912761,DEKIDAKA,20251015
9704.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,4,,0.8333333333333334,2.6666666666666665,6.0,1.0,0.8,1.5,0.6,0.02,0.02,2.6625799573560776,DEKIDAKA,20251015
9984.T,3,1.2,2.0,1.0,0.05,0.05,0.5263157894736842,0.6857142857142857,76,0.6659558398862677,0.1553398058252427,0.1116279069767441,103.0,3.0,1.2,2.0,1.0,0.05,0.05,0.1102271734984167,DEKIDAKA,20251015
1357.T,3,1.2,2.0,1.0,0.05,0.05,0.2873563218390804,0.25,87,0.2416775225393713,0.1929824561403508,0.1466666666666666,57.0,3.0,1.2,2.0,1.0,0.05,0.05,0.1433252785842184,DEKIDAKA,20251016
1360.T,1,1.2,2.0,1.0,0.05,0.05,0.3012048192771084,0.2727272727272727,83,0.2583449378869142,0.1395348837209302,0.0972972972972972,43.0,1.0,1.2,2.0,1.0,0.05,0.05,0.0971935550104282,DEKIDAKA,20251016
1366.T,1,1.0,1.5,0.6,0.05,0.02,0.6153846153846154,1.0666666666666669,13,1.0652452025586356,0.2,0.2222222222222222,5.0,1.0,1.0,1.5,0.6,0.05,0.02,0.1664445628997868,DEKIDAKA,20251016
1459.T,3,1.2,2.0,0.8,0.05,0.02,0.4931506849315068,0.6,73,0.5831613300625696,0.238095238095238,0.2,42.0,3.0,1.2,2.0,0.8,0.05,0.02,0.1873000799680128,DEKIDAKA,20251016
1568.T,2,1.2,2.0,0.8,0.05,0.05,0.2627118644067797,0.2162790697674418,118,0.2135651486531824,0.1132075471698113,0.076595744680851,53.0,2.0,1.2,2.0,0.8,0.05,0.05,0.0765140752209754,DEKIDAKA,20251016
1570.T,3,1.2,2.0,1.0,0.02,0.02,0.325,0.2925,120,0.288580863950716,0.1739130434782608,0.1285714285714285,69.0,3.0,1.2,2.0,1.0,0.02,0.02,0.1261811065047665,DEKIDAKA,20251016
1579.T,5,1.2,2.0,0.6,0.05,0.02,0.2764227642276423,0.2344827586206896,123,0.2289690865226943,0.1746031746031746,0.1294117647058823,63.0,5.0,1.2,2.0,0.6,0.05,0.02,0.1267877464398855,DEKIDAKA,20251016
186A.T,3,1.2,2.0,0.6,0.02,0.05,0.2413793103448276,0.1953488372093023,116,0.1907055359674312,0.25,0.2042553191489361,64.0,3.0,1.2,2.0,0.6,0.02,0.05,0.1997867519658803,DEKIDAKA,20251016
2134.T,1,0.8,1.5,1.0,0.02,0.02,1.0,999.0,1,,0.3333333333333333,0.2666666666666666,3.0,1.0,0.8,1.5,1.0,0.02,0.02,0.2662579957356076,DEKIDAKA,20251016
215A.T,3,1.2,2.0,0.6,0.02,0.02,0.1654135338345864,0.12,133,0.1187921227905234,0.25,0.2081632653061224,68.0,3.0,1.2,2.0,0.6,0.02,0.02,0.1997867519658803,DEKIDAKA,20251016
