code,ATR_n_BACK,TPk_BACK,SLk_BACK,J_th_BACK,dJ_th_BACK,vEMA_th_BACK,winrate_BACK,pf_BACK,trades_BACK,PF_eff_BACK,winrate_FWD,pf_FWD,trades_FWD,ATR_n_FWD,TPk_FWD,SLk_FWD,J_th_FWD,dJ_th_FWD,vEMA_th_FWD,PF_eff_FWD
4568.T,3,1.2,2.0,1.0,0.05,0.05,0.24242424242424243,0.19199999999999998,99,0.19179528188724512,0.2571428571428571,0.20769230769230768,105,3,1.2,2.0,1.0,0.05,0.05,0.20747085781072186
4571.T,3,1.2,1.5,0.8,0.05,0.05,0.37142857142857144,0.4952380952380952,35,0.47216030238418305,0.14285714285714285,0.13714285714285712,84,3,1.2,1.5,0.8,0.05,0.05,0.13317341862117982
4586.T,1,1.2,1.5,0.6,0.02,0.02,0.625,1.3333333333333333,24,1.3317341862117984,0.4642857142857143,0.6933333333333334,28,1,1.2,1.5,0.6,0.02,0.02,0.6925017768301351
4597.T,1,0.8,1.5,0.6,0.02,0.02,1.0,999.0,4,,1.0,999.0,6,1,0.8,1.5,0.6,0.02,0.02,
4689.T,1,1.2,2.0,0.6,0.05,0.05,0.26851851851851855,0.220253164556962,108,0.22001832178521005,0.422680412371134,0.4555555555555555,97,1,1.2,2.0,0.6,0.05,0.05,0.4388173302107729
4755.T,3,1.2,2.0,1.0,0.05,0.05,0.4205607476635514,0.43548387096774194,107,0.4350195405708684,0.38461538461538464,0.38571428571428573,117,3,1.2,2.0,1.0,0.05,0.05,0.37460015993602563
5016.T,3,1.2,1.5,1.0,0.02,0.05,0.30666666666666664,0.3538461538461538,75,0.3534217648023618,0.22916666666666666,0.24109589041095889,96,3,1.2,1.5,1.0,0.02,0.05,0.2375525845675099
5020.T,5,1.2,2.0,0.6,0.05,0.05,0.2222222222222222,0.17142857142857143,117,0.171245787399326,0.3069306930693069,0.2657142857142857,101,5,1.2,2.0,0.6,0.05,0.05,0.2654309704689553
5108.T,2,1.2,1.5,1.0,0.05,0.02,0.23478260869565218,0.2511627906976744,115,0.24516015700717197,0.21951219512195122,0.22736842105263158,123,2,1.2,1.5,1.0,0.05,0.02,0.22473014392324098
5401.T,5,1.2,1.5,0.6,0.05,0.05,0.24528301886792453,0.26,106,0.25968816631130065,0.5362318840579711,0.9249999999999999,69,5,1.2,1.5,0.6,0.05,0.05,0.9238905916844352
